15:3:001:1	Diyin God bich'į' nahadláhígíí hasht'enályaa
15:3:001:0	Tsosts'id nídeezidgo áádóó Ízrel dine'é kin hadaas'áágóó kéédahat'į́ hazlį́į'go diné łá'í nilínígi át'éego Jerúsalem kin haal'áagi nidahaaskaigo áłah daazlį́į́' .
15:3:002:0	Ákohgo Jázadak biye' Jéshuwa yiizį' áádóó bik'isóó nááda'iiłniihii áádóó Zerábabel éí Shiyáltiyel biye' jílį́įgo hak'isóó bił jíkaigo Diyin God yá naal'a'í Mózes bibee haz'áanii t'áá yee ak'e'ashchínígi át'éego Ízrel dine'é biDiyin God bibikáá' náá'iiniihí bikáa'gi didlidgo náádahaniihii náádahidoonih biniyé ádajiilaa .
15:3:003:0	Bikáá' náá'iiniihí bá haz'ą́ągi nideiz'ą́ ; ákwii kéyahgi kéédahat'ínígíí yéédaaldzidgo biniinaa abínígo áádóó e'e'áahgo didlidgo náádahaniihii Bóhólníihii yich'į' náádayiiłniih nít'éé' .
15:3:004:0	Áádóó t'áá bee ak'e'ashchínígi át'éego chadaha'ohgi hodílzingo áłah daazlį́į'go t'áá ákwíí jį́ bee haz'ánígi át'éego bi'é'él'į' bik'ehgo t'áá ákwíí jį́ didlidgo náádahaniihii náádayiisnii' .
15:3:005:0	Áádóó bik'ijį' t'áá ákwíí jį́ didlidgo náádahaniihii áádóó dah néitį́įhgo áádóó hodílzingo áłah nída'adleehii t'áá ałtso éí Bóhólníihii bá dílzingo nidahideest'áanii náádahaniihii índa t'ááłá'í jinítínígo náádahizhdoołnihii Bóhólníihii bich'į' t'áá hó ádeiznízingo náádajiiłniihii náádayiisnii' .
15:3:006:0	Tsosts'id nídízííd binih ła'a jį́į́ góne' Bóhólníihii bich'į' didlidgo nááhániihii náádayiiłniihgo yaa nídiikai . Nidi Bóhólníihii bikin bii' sohodizin bitł'ááh nástł'inii t'ah doo álnéeh da .
15:3:002:1	Diyin God bikin bii' sohodizin ánálnééh
15:3:007:0	Ákohgo da'atł'inii áádóó kin ádeił'íní béeso yaa deiznil ; ch'iyáán áádóó doodlį́įłii índa ak'ah bidookįįłii éí Sáídan dine'é índa Táir dine'é yaa dayiiznil , áko Lébanan kéyahdę́ę́' gadtsoh tónteel bibąąhgóó Jápa kin haal'áajį' adayiizyį́ ; Pérzha dine'é aláahgo binanit'a'í Sáíras t'áá yee nihoní'áanii bik'ehgo ádáát'įįd .
15:3:008:0	Jerúsalem kin haal'áagi Diyin God bikin ánálnéhíjį' nináhaaskaigo naaki béédaahááh góne' naaki nídízííd binih , Shiyáltiyel biye' Zerábabel áádóó Jázadak biye' Jéshuwa áádóó dabik'isóó nidahaasdzí'ígíí éí nááda'iiłniihii áádóó Líívai dine'é danilíinii índa yisnááh danilį́į́ nít'éé' yę́ę éí Jerúsalemjį' nidahaaskaígíí t'áá ałtso bił . Diyin God bikin bidazhdeeshnish , áádóó yik'i dadéez'į́į' dooleeł biniyé Líívai dine'é naadiindóó yówehgo béédááhaígíí nídeidiinil .
15:3:009:0	Jéshuwa áádóó biye'ké áádóó bik'isóó danilíinii áádóó Hodaváíyah ba'áłchíní náás ahoolchíiłii ła' Kádmiyel ba'áłchíní náás ahoolchíiłii índa Hénadad biye'kéhígíí dabiye'ké áádóó dabik'isóó éí Líívai dine'é danilíiniida yił deizį'go Diyin God bikin ałtso bini'doonishígíí díí diné nidaalnishii bił nidajishnish .
15:3:010:0	Áádóó dahałbį'ii Bóhólníihii bikin bii' sohodizin bitł'ááh nástł'inii ałtso ádayiilaago Ízrel dine'é aláahgo binanit'a'í David yę́ę bibik'eh hoogáałii bik'ehgo nááda'iiłniihii bi'éé' ayóó ádanóolninii yiih dahaaskaigo béésh dilní bee í'dílzoołí deíjáahgo áádóó Líívai dine'é Éísaf biye'ké béésh ahídí'niłgo diits'a'ii yee hahodííłdláadgo Bóhólníihii yaa dahaniih .
15:3:011:0	Áko t'áá ła' bizhi'ee dahataałgo Bóhólníihii yaa dahaniih áádóó yich'į' ahééh danízingo ádaaní , T'áá bí t'éí yá'át'éehii nilį́ ; jó , Ízrel dine'é yaa a'ááh nízingo ahóyéel'á . Áádóó diné t'áá ałtso hahodííłdláadgo ayóó át'éego hahóół'áago Bóhólníihii yaa dahaniih , háálá Bóhólníihii bikin bii' sohodizin bitł'ááh nástł'inii t'áá át'é ałtso ályaa .
15:3:012:0	Nidi nááda'iiłniihii t'óó ahayóí áádóó Líívai dine'é índa azhé'é danilíinii bindanit'a'í t'áá éí bizhé'é yę́ę danilíinii éí áłtséedi kin yę́ę yéédaalniihgo díí atł'ááh nástł'inii ałtso ályaago dayiiłtsą́ągo ayóó íits'a'go dadilwoshgo daachxa , nidi t'óó ahayóí éí bił dahózhǫ́ǫgo ayóó íits'a'go dadilwosh .
15:3:013:0	Ákohgo diné danilíinii éí biniinaa ił hózhǫ́ǫgo hahóó'áhígíí daachxago hahóó'áhígíí t'áadoo yééda'deeztą́ą da , háálá ayóó íits'a'go diné hahodííłdláadgo ayóó át'éego hahóó'á ; doo deeghánígóó nidi ayóó íits'a' .
