15:10:001:1	Dé'éyóní e'asdzą́ą́ áádóó ba'áłchíní yóó'adahidoh'aah
15:10:001:0	K'ad Ézra ádaa halne'go sodoolzingo , Diyin God bikin bidáahjį' jichago tsé'yaa jineeshjoolgo Ízrel dine'é bits'ą́ą́dóó ts'ídá t'óó ahayóigo diné áádóó asdzání índa a'áłchíní haa áłah silį́į́' ; jó , t'áá íiyisí diné daachxa .
15:10:002:0	Áko Íílam ba'áłchíní náás da'ahílchíihii ła' Jiiháíyel biye' Shekanáíyah éí Ézra ábizhdííniid , NihiDiyin God bich'į' doo ákǫ́ǫ́ ádeiit'įįdgóó diné kéyahgóó kéédahat'íinii bitahdóó dé'éyóní danilį́įgo niheda'asdzą́ą́ ádeiilyaa . Azhą́ ákót'ée nidi , t'ahdii Ízrel dine'é bá ił chohoo'į́ hólǫ́ .
15:10:003:0	Éí bąą k'ad , shinanit'a'í áádóó nihiDiyin God bibik'eh ó'oo'níiłii bik'ee bił daayée'ii bił na'ak'íyádasíníłti'ii bik'ehgo haa'íshą' nihiDiyin God bił bee aha'deet'áanii ádadiilníiłgo díí e'asdzą́ą́ danilíinii t'áá ałtso áádóó bada'áłchíní t'áá bił yóó'adahididiit'ááł , áko háni' bee haz'áanii bik'ehgo ákódadiilnííł .
15:10:004:0	Nídii'nééh ; jó , díí nídadéét'i'ii át'é ; nihí éí nił dahoniidlǫ́ǫgo nizhónígo chánah nílį́įgo ádíínííł .
15:10:005:0	Ákohgo Ézra nídii'na'go aláahgo nááda'iiłniihii áádóó Líívai dine'é índa Ízrel dine'é t'áá ałtso díí saadígíí bik'ehgo ádee hadahididoodzihgo ájiilaa . Áádóó índa ádee hadahideesdzíí' .
15:10:006:0	Ákohgo Diyin God bikin si'ánídóó dashdiiyáago Iiláíyashib biye' Johéínan ba'ałk'ee da'njah bá haz'ání góne' yah ajííyá . Ákwii jiníyáago bááh t'áadoo jííyą́ą' da , tó nidi t'áadoo joodlą́ą' da , háálá yisnááh danilį́į́ nít'ée'go ninádahaaskaígíí doo ákǫ́ǫ́ ádáát'įįdígíí biniinaa baa yínííł jílį́į́ nít'éé' .
15:10:007:0	Áko Júdah kéyahgóó índa Jerúsalem kin haal'áágóó nidahozdeesdláadgo yisnááh danilį́įgo ninádahaaskai nít' éé' yę́ę t'áá ałtso Jerúsalemjį' áłah áńdoolníiłgo baa nidahojisne' .
15:10:008:0	Áádóó t'áá háiida t'áadoo jígháhí táá' yiską́ąjį' naat'áanii danilíinii índa aląąjį' naazíinii ádaaníinii bik'ehgo hanaalye'é t'áá át'é doo hódéét'i'góó ádoolnííł índa yisnááh danilį́į́ nít'éé' yę́ę t'áá hó bits'áhodi'dooltééł .
15:10:009:0	Ákohgo Júdah dine'é áádóó Bénjamin dine'é danilíinii t'áá ałtso táá' yiską́ąjį' Jerúsalemgi náhást'éí nídízííd binih naakits'áadahgóó yoołkáałgo t'áá bí áłah áda'ahiilyaa . Áádóó Diyin God bikingi kintah atiingóó diné t'áá át'é naháaztą́ . Díigi ádahat'ínígíí índa t'áá íiyisí nahałtinígíí biniinaa diné bił daayée'go bitah dahoditłid .
15:10:010:0	Áko Ézra náá'iiłniihii jílíinii dziizį'go diné ábizhdííniid , Bee haz'áanii k'ídahisooti' índa dé'éyóní danilíinii niheda'asdzą́ą́ ádaahłaago Ízrel dine'é nilíinii doo ákǫ́ǫ́ ádáát'įįdii bóóltą'go k'ee'ąą deeshzhiizh .
15:10:011:0	Éí bąą k'ad , danihizhé'é yę́ę biBóhólníihii Diyin God bich'į' ádaot'įįdii bee ádaa dahołne' índa bił hóshóonii ádadoohłíiłgo kéyahgóó diné kéédahat'ínígíí áádóó dé'éyóní danilíinii niheda'asdzą́ą́ ádaahłaaígíí t'áá nihí bits'ánóhkááh .
15:10:012:0	Ákohgo diné áłah nilínígíí t'áá ałtso ádadííniidgo ayóó íits'a'go ádaaní , T'áá ádííníniidígi át'éego ts'ídá t'áá ákódadii'nííł .
15:10:013:0	Nidi diné ts'ídá t'óó ahayóí áłah nilį́ , áádóó doo tł'óó'dóó nidzizį́į le' át'éégóó t'óó ahayóí nahałtin ; ła'a jį́da , doodaii' naaki jį́da díigi áhoot'éego doo na'ónish áhoot'ée da łeh , háálá nihí t'óó ahonii'yóigo díigi át'éego bee haz'áanii k'ídasiiti' .
15:10:014:0	Haa'íshą' k'ad nihinanit'a'í dajílíinii éí diné áłah nilínígíí t'áá ałtso bá deizdoozįįł áádóó nihiDiyin God t'óó báhádzidgo báháchį'ígíí nihits'ą́ąjį' kódzaajį' nihikin hadaas'áádóó dé'éyóní e'asdzą́ą́ daazlį́į'ii índa t'áá kin hadaas'áhídę́ę́' aląąjį' naazíinii áádóó ándahwii'aahii t'áá bił bee há náhoot'aah góne' bił nijiikáah doo .
15:10:015:0	Éísahel biye' Jánathan áádóó Tíkvah biye' Jahéíziyah t'éiyá díí bee nihoot'ánígíí yik'ijį' nilį́į́ nít'éé' , áko Miishálam áádóó Shábiithai , Líívai dine'é nilį́įgo éí háká ahi'noolchą́ą́' .
15:10:016:0	Ákohgo yisnááh danilį́į́ nít'éé' yę́ę ákódáát'įįd . Áádóó Ézra náá'iiłniihii nilíinii éí hastóí aląąjį' naazíinii , dabizhé'é yę́ę ba'áłchíní da'ahílchíihii bik'ehgo áádóó t'áá ałtso dabízhi' bik'ehgo yits'éinínil . Éí neeznáá nídízííd binih ła'a jį́į́ góne' díí yaa nidaaskai yę́ę hazhó'ó bá nidazhdoołkah biniyé dashdineezbin .
15:10:017:0	Áko átsé nídízííd binih ła'a jį́į́ góne' diné t'áá ałtso dé'éyóní hweda'asdzą́ą́ daazlį́į'ii ałtso bits'ádajiiskai .
15:10:018:0	Áádóó nááda'iiłniihii biye'ké bitahgóó dé'éyóní hweda'asdzą́ą́ ádajiilaaígíí bééhoozin ; éí Jázadak biye' Jéshuwa biye'ké áádóó bik'isóó danilį́ : Méíyasíyah áádóó Eliyíízer áádóó Jéírib índa Gedaláíyah daolyé .
15:10:019:0	Bida'asdzą́ą́ nahjį' kódeidoolíiłgo ádee hadahideesdzíí' áádóó doo ákǫ́ǫ́ ádáát'įįdii yee ádidahodiilt'i'go bąą deenásts'aa' nidanilkaadii ła' náádayiisnii' .
15:10:020:0	Áádóó Ímer ba'áłchíní da'ahílchíihii ła' : Hanéínai áádóó Zebadáíyah .
15:10:021:0	Héírim ba'áłchíní da'ahílchíihii ła' : Méíyasíyah , Iiláíjah , Shiiméíyah , Jiiháíyel índa Azáíyah .
15:10:022:0	Pásher ba'áłchíní da'ahílchíihii ła' : Íílaiyowíínai , Méíyasíyah , Íshmeiyel , Niithániyel , Jázabad índa Élasah .
15:10:023:0	Líívai dine'é ałdó' ła' : Jázabad , Shímiyai , Kiiléíyah ( éí Keláíta ałdó' bee wójí ) áádóó Pethaháíyah , Júdah índa Eliyíízer ;
15:10:024:0	dahataałii ałdó' ła' : Iiláíyashib áádóó dáń'dítį́hí yaa ádahalyáanii ła' : Shálam áádóó Tíílem índa Yúrai .
15:10:025:0	Náá'áłdó' Ízrel dine'é ła' : Péírash ba'áłchíní da'ahílchíihii ła' : Ramáíyah , Jiizáíyah , Malkáíyah , Máíyamin , Eliiyéízar , Malkáíjah índa Biinéíyah .
15:10:026:0	Íílam ba'áłchíní da'ahílchíihii ła' : Matanáíyah , Zekaráíyah , Jiiháíyel , Ábdai , Jériimath índa Iiláíyah .
15:10:027:0	Zátu ba' áłchíní da'ahílchíihii ła' : Íílaiyowíínai , Iiláíyashib , Matanáíyah , Jériimath , Zéíbad índa Azáíza .
15:10:028:0	Bííbeiyai ba'áłchíní da'ahílchíihii ła' : Jiihohéínan , Hananáíyah , Zábeiyai índa Áthleiyai .
15:10:029:0	Béínai ba'áłchíní da'ahílchíihii ła' : Miishálam , Málak , Adéíyah , Jéíshab , Shíyal índa Réímath .
15:10:030:0	Péíhath-mó'ab ba'áłchíní da'ahílchíihii ła' : Ádna , Kíílal , Biinéíyah , Méíyasíyah , Matanáíyah , Biizáliyel , Bínuwai índa Manáseh .
15:10:031:0	Héírim ba'áłchíní da'ahílchíihii ła' : Eliyíízer , Aisháíjah , Malkáíyah , Shiiméíyah , Shímiyan ,
15:10:032:0	Bénjamin , Málak índa Shemaráíyah .
15:10:033:0	Héísham ba'áłchíní da'ahílchíihii ła' : Matiinéíyai , Mátathah , Zéíbad , Iilífalet , Jéremai , Manáseh índa Shímiyai .
15:10:034:0	Béínai ba'áłchíní da'ahílchíihii ła' : Méíyadai , Ámram , Yúwel ,
15:10:035:0	Biinéíyah , Biidíyah , Kélu ,
15:10:036:0	Vanáíyah , Mériimath , Iiláíyashib ,
