15:9:001:1	Ézra ádaa halne'go sodolzin
15:9:001:0	K'ad díí ákódaadzaadóó bik'ijį' naat'áanii danilíinii shaa daaskaigo ádaaní , Ízrel dine'é áádóó nááda'iiłniihii índa Líívai dine'é danilíinii éí Kéínan dine'é , Het dine'é , Píírez dine'é , Jííbas dine'é , Áman dine'é , Mó'ab dine'é , Ííjip dine'é índa Ámor dine'é , díí kédaayahgi kéédahat'íinii ts'ídá nádį́'ídi t'óó baa'ihígi át'éego naaldeehii doo bits'ádahóni' da .
15:9:002:0	Jó , t'áá daabí áádóó biye'ké bida'asdzą́ą́ dadooleełígíí t'áá bí ádá nídayiizláá' , ákohgo diyingo dine'é éí kédaayahgóó dadine'é yił ałtaa násdee' ; t'áá aaníí naat'áanii danilíinii áádóó nidant'áii éí aláahgo doo ákǫ́ǫ́ ádáát'įįd da .
15:9:003:0	Áko díí diséts'ą́ą'go shi'éé' áádóó shi'éénééz ák'inaashdláád áádóó shitsii' índa shidághaa' hah háłdláád , t'óó shił ahayóigo sédáá nít'éé' .
15:9:004:0	Ákohgo yisnááh danilį́į́ nít'é'ígíí bee haz'áanii k'ídeizti'ígíí biniinaa t'ááłá'í nítínígo Ízrel dine'é biDiyin God bizaad bik'ee bitah dahoditłidígíí t'áá ałtso shaa áłah silį́į́' , áko t'óó shił ahayóigo sédáago e'e'áahgo náá'iiniihjį' ahoolzhiizh .
15:9:005:0	Áádóó e'e'áahgo náá'iiniih baa hoolzhiizhgo shi'éé' áádóó shi'éénééz nehéłdládígíí t'ahdii bee áká síszaazgo t'óó shił ahayóigo sídáhídóó nídiish'na' , áko nitsidinígo'go Bóhólníihii shiDiyin God bich'į' dah didiishnii' .
15:9:006:0	Áko ádíshní , ShiDiyin God nílíinii , ts'ídá t'óó ádaa yánísdzin áádóó bik'ee nich'į' shinii' deichxii' , shiDiyin God , háálá nihidoo ákwii ádaat'éii nihitsiits'iin bilááh danées'ąąd , áádóó nihidoo ákǫ́ǫ́ é'ét'éii yádiłhił bídanées'ąąd .
15:9:007:0	Danihizhé'é yę́ę bídayééłkaah yę́ędóó díísh jį́įjį' ayóó át'éego doo ákǫ́ǫ́ é'ét'éii baa nisiikai , háálá nihí doo ákwii ádeiit' įįdgóó bąą nihí áádóó aláahgo nihindanit'a'í áádóó nihinááda'iiłniihii éí kédaayahgóó aláahgo naat'áanii danilíinii bílák'ee anihidoot'ą́ , áádóó diltłish áádóó naalte' índa yisnááh ádanihi'diilyaago bik'ee t'óó nihił adahayóigo baa nihidoot'ą́ ; éí díísh jį́į́góó ákót'é .
15:9:008:0	Nidi k'ad Bóhólníihii nihiDiyin God bits'ą́ą́dóó ajooba' t'óó kónígháníjį' ííshją́ą́ ályaago bee ła' deiidzíi'go yisdádahaakai áádóó bihodiyingo haz'áanii nihíí' dooleełgo hahoolzhiizh , áko nihiDiyin God nihił ch'ídi'níłdláád áádóó binaalte' daniidlį́į́ nít'éé' yę́ę bits'ąą áłts'íísígo t'áá nánihiłna' .
15:9:009:0	Jó , naalte' daniidlį́į́ nít'éé' ; azhą́ naalte' daniidlį́į nidi , nihiDiyin God t'áadoo yóó'anihidíí'ą́ą da , nidi Pérzha dine'é aláahgo bindanit'a'í dabinááł nihaa a'áhí niizį́į́' , áko nánihiłna'go áádóó nihiDiyin God bikin anídeiilnéehgo áádóó nidahaazhchǫ' yę́ęgóó hasht'éédadiilníiłgo yee nihá hooł'a' índa Júdah kéyahgi áádóó Jerúsalem kin haal'áagi bine' nideidzi' dooleełii nihaidiní'ą́ .
15:9:010:0	Áko k'ad , nihiDiyin God nílíinii , díí bikéé'dóoshą' ha'át'íí náádadii'níi doo ; jó , nibik'eh ó'oo'níiłii yóó'adahideet'ą́ .
15:9:011:0	Éí ninaal'a'í náás áhodooníiłii yaa dahalne'ii binahjį' háínídzíí' , Kéyah nihíí' ádadoohłíłígíí biih wookaigo éí kédaayahgóó kéédahat'íinii t'óó badaa'ihígi ádáát'įįdii áádóó bidoo daaldinii bee kéyah ahidiníłnáago nidahonees'ą́ą́góó baa'ihii yił ałná'át'į́ .
15:9:012:0	Éí bąą k'ad , danihitsi'ké éí dabiye'ké t'áadoo baa dahohníłí , doodaii' dabitsi'ké éí danihiye'ké t'áadoo bich'į' bá ídadołkidí , áádóó bee bił hózhóonii , doodaii' hool'áágóó dabiyódí t'áadoo bá hádaaht'íní . Kót'éego t'éiyá danihidziil doo , índa kéyahdóó yá'át'éehii daohsą́ą doo , áádóó nihada'áłchíní náás ahoolchíiłii bá hool'áágóó kéyah bíí' dooleełii bá ádahodoohłííł .
15:9:013:0	Áko doo yá'át'éhígi ádeiit'įįdígíí índa ts'ídá doo ákǫ́ǫ́ ádeiit'įįdígíí biniinaa éí t'áá át'é nihik'i hoole'go , nihiDiyin God nílíinii , ts'ídá doo ákwii ádeiit'įįdígíí biniinaa atínihidíílíłígíí t'áá bich'į'ígo atínihiinilaago áádóó díigi át'éego ła' yisdádahaakaigo
15:9:014:0	nibik'eh ó'oo'níiłiísh doo bik'eh náádahoniil'į́į da doo áádóó díí diné doo daaldingi ádaat'ínígíísh bił ahinínánéiikah doo ? Ánihini'niłdįįd baa hoolzhiizhjį' daats'í nihich'į' náháchį' doo nít'éé' , áko doo daats'í ła' dadiidzih da , doodaii' doo daats'í yisdáhidiikah da ?
15:9:015:0	Ízrel dine'é biBóhólníihii Diyin God nílíinii , ts'ídá t'áá ákwii át'éii nílį́ ; jó , t'áá díí jį́ át'éhígi át'éego ła' t'áá deiidzíí' . Shoo , ninááł doo ákǫ́ǫ́ ádeiit'ínígíí bii' honiidlǫ́ ; jó , díí biniinaa nidáahgi doo daodzįįh át'ée da .
