41:12:001:1	Pen . xij .
41:12:002:1	Lloci ’r winllan . Bot vvyddtawt a’ theyrnget yn ddyledus i deyrnedd a’ thwysogion . Cyuodedigaeth y meirw . Swmp a’ chrynodab y
41:12:003:1	*
41:12:004:1	Gyfraith
41:12:005:1	Ddeddyf . Christ yn vap Dauid . Bot raid gochelyt yr ei gau sanctaidd . Offrwm y weddw dlawd .
41:12:001:0	AC ef a ddechreawdd ymadrawdd wrthynt ym-parabolae , gan ddyvvedyt , Yr oedd gwr a blannai winllan , ac a ei hamgylchynawdd a chae , ac a gloddiawð bwll y dderbyn y gwin ac a adeilawdd dwr ynddi , ac ei llocawdd hi i dir‐ðiwylliawdwyr , ac aeth ymhel’ o y gartref .
41:12:002:0	Ac ar dymor , y danvones ef was at y tir-ddiwylliawdwyr , val yd erbyniei ef y gan y tir‐ðiwylliawdwyr o ffrwyth y winllā .
41:12:003:0	Ac wy a ei cymersont ef , ac ei bayddesont , ac ei danvonesont ymaith yn wac .
41:12:004:0	A’ thrachefyn yd anuones atynt was arall , a ’hwnw a davlasant a’ main , ac ai vriwesont ei ben , ac ei danvonesōt ymaith wedy ei amperchi .
41:12:005:0	A’ thrachefyn yd anuones ef vn arall , a hwnw a laddesont , a llawer ereill , gan vayddy ’rei , a’ lladd ’rhei .
41:12:006:0	Ac eto ydd oedd iddo vn map ei garedic : a’ hwnw a’ ddanvonawdd ef atynt yn ’ddywethaf , gan ddywedyt , VVy barchant vy map .
41:12:007:0	And y tir‐ddiwylliawdwyr hynny a ddywedent yn ei plith ehunain , Hwn yw’r etiuedd : dewch , lladdwn ef , a’r etiueddiaeth vydd y ni .
41:12:008:0	Yno y cymersont ef , ac ei lladdesont , ac ei bwriesont y maes o’r winllan .
41:12:009:0	Pa peth gan hyny a wna Arglwydd y winllan ? E ddaw ac a ddiuetha ’r tir‐ðiwylliawdwyr hyn , ac a rydd y winllan y ereill .
41:12:010:0	Ac any ddarllenesoch hyn o Scrythur ? Y maen yr hwn a wrthodent yr a deiladwyr , ys hwnw a wnaed yn ben congyl .
41:12:011:0	Hyn a wnaethpwyt y gan yr Arglwydd , a ’rhyvedd yw yn ein llygait .
41:12:012:0	Yno yr oeddent mewn awyð y’w ddalha ef , and bot arnyn ofn y bopul : can ys dyellent mai yn y herbyn wy y dywedesei y parabol hwnw : am hyny y gadawsont ef , ac ydd aethan i ffordd .
41:12:013:0	Ac wy ddanvonesont ataw ’r ei o’r Pharisaieit , ac o’r Herodieit yny ðalient ef yn ei ymadrodd .
41:12:014:0	Ac wynteu pan daethāt , a ðywedsant wrthaw , Athro , ys gwyddam mai cywir wyt , ac na ovely am nebun , ac nyd edrychy ar wynebvverrh dynion , amyn yn-gwirioneð y dyscy yn’ ffordd Dduw , Ai cyfreithlawn rhoddi teyrnget i Caisar , ai nyd yvv ?
41:12:015:0	A ddlem ni ei roddi , ai ny ddlem ei roddi ? And ef a wyddiat ei dichell wy , ac a ddyuot wrthynt , Paam y temptiwch vi ? Dygwch i mi geinioc , val y gwelwyf y peth .
41:12:016:0	Ac wy ei ducesont , ac ef a ddyuot wrthynt , I bwy mae’r ddelw hon a’r argraph ? wythe a ddywedsont wrthaw , I Caisar .
41:12:017:0	Yno ydd atepodd yr Iesu ac y dyuot wrthynt , Rowch i Caisar yr iddo Caisar , ac i Dduw yr eiddo Duw : a’ rhyueddy a wnaethant wrthaw .
41:12:018:0	Yno y daeth y Sadducaieit ataw , ( yr ei a ddyweit nad oes cyfodedigaeth ) ac a ’ovynesont iddo , gan ddywedyt ,
41:12:019:0	Athro , Moysen a yscrivenodd y ni , A’s bydd marw brawdd vn , a’ gady ei wreic , ac eb ady plant , mai ei vrawdd a ddyly gymeryd ei wraic , a’ chyuodi had y’w vrawd .
41:12:020:0	Ydd oedd saith broder a’r cyntaf a gymerth wreic , a’ phan vu ef varw , ny adawdd ef had .
41:12:021:0	Ar ail y cymerth hi , ac e vu varw , ac ny’s gadawdd yntef chvvaith ddim had , a’r trydydd yr vn ffynyt .
41:12:022:0	Felly ’r saith y cymersant hi , ac ny adawsant ddim had : yn ddywethaf oll marw o’r wreic hefyt .
41:12:023:0	Yn y cyfodedigaeth gan hyny , pan adgyuodant , gwraic y bwy ’n o naddynt vydd hi ? can ys perchenogoð y saith y hi yn wraic ?
41:12:024:0	Yno ’dd atepawdd yr Iesu ac y dyuot wrthynt , Anyd am hyny yð ych yn mynd ar gyfeilorn , can na wyddoch yr Scrythurae , na meddiant Duw .
41:12:025:0	Can ys pan adgyyodant o veirw , ny wreicaant , ac ny ’wrant , anyd bot val yr Angelion y sy yn y nefoedd .
41:12:026:0	Ac am y meirw , y cyvodir wy drachefn , an y ddarllenesochvvi yn llyuer Moysen , po’dd yn y merinllwyn y llavarawdd Duw wrthaw , gan ddywedyt , Mi yvv Duw Abraham , a’ Duw Isaac , a’ Duw Iacob ?
41:12:027:0	Nyd yw ef Dduw y meirw , eithyr Duw y bywion : Chwychwi gan hyny ’sy yn mynd ympell ar gyfeilorn .
41:12:028:0	Yno y daeth vn o’r Gwyr‐llen y clywsei wy yn ymddadlae , a’ chan wybot ddarvot iddo ei hatep yn dda , y gofynawdd yðaw , Pwy ’n yw’r gorchymyn cyntaf oll ?
41:12:029:0	Yr Iesu ei atepawdd , Y cyntaf o’r oll ’ochmynion yvv , Clyw Israel , Yr Arglwydd ein Duw , yw’r Arglwydd vnic .
41:12:030:0	Cery am hyny yr Arglwydd dy Dduw oth oll galon , ac oth oll enait , ac oth oll veddwl , ac ath oll nerth : hwn yw’r gorchymyn cyntaf .
41:12:031:0	Ar ail ysy gyffelyp , ys ef , Cery dy gymydawc val dyun . Nid oes ’orchymyn arall mwy na ’r ei hyn .
41:12:032:0	Yno y dyuot y Gwyr‐llen wrthaw , Da , Arglwydd , ys dywedeist y gwirionedd , mai vn Duw ’sy , ac nad oes arall amyn ef .
41:12:033:0	A’ ei gary ef a’r oll galon , ac a’r oll ddyall , ac a’r oll enait , ac ar oll nerth , a’ chary ei gymydawc mal y un , ’sy vwy nag oll boeth‐offrymae ac aberthae .
41:12:034:0	Yno yr Iesu yn ei weled ef yn atep yn ddisseml , a ddyvot wrthaw , Nyd wyt yn e pell ywrth teyrnas Duw . Ac ny veiddiawdd nep mwyach ymovyn ac ef .
41:12:035:0	A’r Iesu a atepawdd ac a ddyuot gan ei dyscy yn y Templ , Pavodd y dywait y Gwyr‐llen pan yvv bot Christ yn vap i Ddauid ?
41:12:036:0	Can ys Dauid y un a ðyuot trwy’r yspryt , glan , Dyuot yr Arglwyð wrth vy Arglwydd i , Eistedd ar vymdeheulavv i , yd pan ’osotwyf dy elynion yn droedfainc yty .
41:12:037:0	Can vot Dauid y hun yn y ’alw ef yn Arglwydd : a’ pha wedd y mae yntef yn vap iddaw ? a’ llawer o bopul y clypu ef yn ewyllysgar .
41:12:038:0	Hefyd ef a ddyuot wrthynt yn y ddysceidaeth ef , Y mogelwch rac y Gwyr‐llen yr ei a garant vyned mewn gwiscoedd llaesion a’ chael cyfarch‐gwell yddyn yn y marchnatoedd ,
41:12:039:0	a’r eisteddfaë penaf yn y Synagogae , a’r eisteddleoedd cyntaf yn-gwleddoedd ,
41:12:040:0	yr ei a lwyr ysant daiae gvvragedd‐gweddwon , ac yn rhith hirweðiaw . Yr ei hyn a dderbyniant varnedigaeth vwy .
41:12:041:0	Ac mal ydd oedd yr Iesu yn eistedd gyferbyn ar tresorva , yr edrychawdd po’dd y bwriei y bopul arian ir dresorfa , a’ goludogion lawer a vwrient lawer y mewn .
41:12:042:0	Ac e ddaeth ryw vvreic weddw dlawt , ac a vwriodd y mywn ddau vitym , ys ef yw hatling .
