41:2:001:1	Pen . ij .
41:2:002:1	Christ yn iachay yr dyn o’r parlys . Ef yn maddae pechotae . Ef yn galw Leui yr amobrydd . Ef yn bwyta gyd a phechaturieit . Ef yn escuso ei ddiscipulon , am vmprydio a’ chadw’r dydd Sabbath .
41:2:001:0	GWedy ychydic ddyddiae , ef aeth y mewn i Capernaum dragefyn , ac a glypwyt y vot ef yn tuy .
41:2:002:0	Ac yn y man , yr ymgasclent llawer ygyt yd na anen mwyach , nac yn y lloedd wrth y drws : ac ef a precethawdd y gair yddwynt .
41:2:003:0	Yno y daeth attaw ’r ei yn dwyn vn claf o’r parlys , a ddygit y gan petwar .
41:2:004:0	A’ phryt na allent ddyvot yn nes ataw gan y dorf , didoi y to a wnaethāt lle ydd oedd ef : a’ gwedy yddwynt ei gloddio trwyddaw , y gellyngesont y lawr vvrth raffe y glwth yn yr hwn y gorweddei ’r dyn a’r parlys arnaw .
41:2:005:0	A’ phan weles yr Iesu y ffydd wy , y dyvot wrth y claf o’r parlys , ha Vap , myddeuwyt yty dy pechotae .
41:2:006:0	Ac ydd oedd yr ei o’r Gwyr‐llen yn eistedd yno , ac yn ymresymy yn ei calonae ,
41:2:007:0	Paam y dywait hwn gyfryw gabl ? pwy a ddygon vaddae pechotae any Duw y hun ?
41:2:008:0	Ac yn ebrwydd pan wybu ’r Iesu yn ei yspryt , yddwynt veddwl val hyn ynthyn y unain , y dyvot wrthynt , Pa ’r a ymrysymy ydd ych ar y pethae hyn yn eich calonae ?
41:2:009:0	Pa vn hawsaf ai dywedyt wrth y claf o’r parlys , Maðeuwyt yty dy pechote ? ai dywedyt , Cyvot , a’ chymer ymaith dy lwth a’ rhodia ?
41:2:010:0	Ac val y gwypoch , vot i vap y dyn awturtot yn y ðaiar i vaðae pechotae ( eb yr ef wrth y claf o’r parlys )
41:2:011:0	Wrthyt y dywedaf , cyfot , a’ chymer ymaith dy ’lwth , a’ thynn ffwrð ith duy dy vn .
41:2:012:0	Ac yn y man y cyfodes , ac y cymerth ei ’lwth ymaith , ac aeth allan yn y gwydd wy oll , yn y sannawdd a’r bawp , a’ gogoneðy Duw , gā dywedyt , Er ioed ny welsam ni cyfryw beth .
41:2:013:0	¶ Yno ydd aeth ef drachefyn parth a’r mor , a’r oll popul a dynnawdd ataw , ac ef a ei dyscawdd hvvy .
41:2:014:0	Ac val ydd aeth yr Iesu heibio , ef a’ welawð Levi vap Alphaeus yn eistedd wrth y dollfa , ac a ddyvot wrthaw , dylyd vi . Ac ef a godes , ac ei dylynawdd ef .
41:2:015:0	Ac e ddarvu a’r Iesu yn eistedd i vwyta yn y duy ef , Publicanieit lawer , a’ phechaturieit a eisteddesont a gyd a’r Iesu , a’ ei ddiscipulon : can ys yr oeð llawer ac yn y ðylyn ef .
41:2:016:0	A’ phan welawð y Gwyr‐llen a’r Pharisaieit , y dywedesont wrth ei ddiscipulon ef , Paam yw iddaw vwyta ac yfet y gyd a Publicanot a’ Phecaturieit ?
41:2:017:0	A’ phan ey clypu ’r Iesu ef a ddyvot wrthynt , Nid rait ir ei iach wrth y meddic , amyn i’r clefion . Ny daethy mi y alw ’r ei cyfion , amyn y pechaturieit i edifeirwch .
41:2:018:0	A’ discipulō Ioan a’r Pharisaieit y ymprydynt , ac a ddaethant ac a ddywedesont wrthaw , Paam yr vmpridia discipulō Ioan ar ei y Pharisaieit ath rei di eb vmprydio ?
41:2:019:0	A’r Iesu a ddyvot wrthynt , A eill plant yr ystafell‐briodas vmpridiaw , tra vo’r Priawt cyd a hwy ? tra vo’r Priawt y canthwynt , ny’s gallant vmprydiaw .
41:2:020:0	Ac ys daw’r dyðiae pan ðycer y Priawt y canthynt , ac yno ydd vmprydiant yn y dyddiae hyny .
41:2:021:0	Hefyt ny wnia nep lain o vrethyn newydd mewn gwisc hen : ac anyd ef y llain newydd a dyn ymaith y cyflawnder y gan yr hen , a gwaeth vydd y rhwygiat .
41:2:022:0	Ac ny ddyd nep win newydd mewn llestri hen : ac any d e y gwin newydd a ddryllia ’r llestri , a’r gwin a gerdd allan , a’r llestri a gollir : eithyr gwin newydd a ddodir mewn llestri newyddion .
41:2:023:0	Ac e ddarvu ac ef yn myned trwy ’r yd ar y dydd Sabbath , vot ei ddiscipulon wrth ymddaith , yn dechrae tyny ’r tywys .
41:2:024:0	A’r Pharisaieit a ddywedesont wrthaw , Nycha , paam y gwnant ar y dydd Sabbath , yr hyn nyd cyfroithlon ?
41:2:025:0	Ac ef a ðyvot wrthynt , A ny ddarllenesoch er ioed pa beth awnaeth Dauid , pan oedd arno eisie , a’ newyn , efe , a’r ei oedd gyd ac ef ?
41:2:026:0	Po’dd yr aeth ef i duy Dduw yn‐dyddiae Abiathar yr Archoffeiriat , ac y bwytaodd y bara dangos , yr ei nyd cyfreithlon ei bwyta n’amyn ir Offeiriait yn vnic , ac ei rhoes hefyd ir ei oedd gyd ac ef ?
41:2:027:0	Ac ef a ðyvot wrthwynt , Y Sabbath a wnaed er mvvyn dyn , ac nyd dyn er mvvyn y Sabbath .
41:2:028:0	Erwydd paam Map y dyn ’sy Arglwydd ac ar y Sabbath .
