41:3:001:1	Pen . iij .
41:3:002:1	Christ yn gwaredy y dyn ar llaw ddiffrwyth : Yn ethol ei Ebestyl . Popul y byd yn tybied bod Christ wedy
41:3:003:1	*
41:3:004:1	y maes oi gof
41:3:005:1	gorphwyllo . Ef yn bwrw allan yr yspryt aflan , yr hyn a daera yr Pharisaieit ey vot drwy nerth y cythrael . Cabledigaeth yn erbyn yr Yspryt glan . Pwy brawd , chwaer , a’ mam Christ .
41:3:001:0	AC ef aeth y mywn drachefyn ir synagog , ac ydd oedd yno ddyn ac iddo law wedy gwywo .
41:3:002:0	Ac wy ei dysawyliesont a iachai ef hwnw ar y dydd Sabbath , val y caffent achwyn arnaw .
41:3:003:0	Yno y dyvot ef wrth y dyn a’r llaw ’wyw , Cyvot , a’ sa yn y cenol .
41:3:004:0	Ac ef a ddyvot wrthwynt , Ai cyfreithlawn gwneythy tvvrn da ar y dydd sabbath , ai gwneiythy drwc ? cadw enaid ai lladd ? Ac wytheu a ddystawsont .
41:3:005:0	Yno ydd edrychawdd ef o y amgylch arnaddynt yn dddigllawn can gyd‐doluriaw rrac caledrwydd y calonae hwy , ac a ddyvot , wrth y dyn , Estend dy law . Ac ef ei estendawdd : aei law a adverwyt yn iach val y llall .
41:3:006:0	A’r Pharisaieit aethon ymaith , ac yn y man ydd ymgygoresont gyd a’r Herodiait yn y erbyn ef , pa vodd y collent ef .
41:3:007:0	A’r Iesu ef a ei ddiscipulon a enciliawdd i’r mor , a’ lliaws mawr y dylynawdd ef o’ Galilaea ac o Iudaia ,
41:3:008:0	ac o Gaerusalem , ac o Idumaea ac o’r tuhwnt i Iorddonen , a’r ei o gylch Tyrus a’ Sydon , pan glywsont veint a wnaethei ef , a ðaethant attaw yn lliaws mawr .
41:3:009:0	Ac ef a ddyvot wrth ei ddiscipulon am vot llongan yn parat iddaw , o bleit y dyrfa , rac yddyn y wascy ef .
41:3:010:0	Can ys llawer a iachaesei ef , yn yd oeddent yn pwyso arnaw , er ei gyhwrdd cynnifer ac oedd a phlae arnynt .
41:3:011:0	A’r ysprytion aflan pan welsant ef , a gwympesont i lawr geyr ei vron , ac a waeddesant , gan ddywedyt , Ti yw ’r Map Duw .
41:3:012:0	Ac ef ei ysdwrdiawdd yn ddirvawr , rac yddyn y gyhoeddy ef .
41:3:013:0	Yno yr escennawdd ef ir mynyth , ac a alwodd attaw yr ei a ewyllysiawdd ef , a’ hwy a ddaethant ataw .
41:3:014:0	Ac ef a ’ossodes ðauddec , y vot o hanwynt y gyd ac ef , val yd anvonei ef wy i precethy ,
41:3:015:0	a’ bod yddwynt veddiant i iachay heintiae , ac y vwrw allan gythraelieit .
41:3:016:0	A’r cyntaf oedd Simon , ac ef a ddodes i Simon enw , Petr .
41:3:017:0	Yno Jaco vap Zebedaeus , ac Ioan , brawt Iaco ( ac a ddodes enwae yddwynt Boanerges , yr hyn yw meibion y daran )
41:3:018:0	ac Andreas , a’ Philip , a’ Bartholomeus , a’ Matthew , a’ Thomas , ac Iaco , vap Alphaeus , a’ Thaddaeus , a’ Simon y Cananeit ,
41:3:019:0	ac Iudas Iscariot , yr hwn ac ei bradychawdd ef , a’ hwy a ddaethant edref .
41:3:020:0	A’r dyrfa a ymgynullawdd drachefyn , val na allent gymmeint a bwyty bara .
41:3:021:0	A’ phan glypu ei gyfnesafsieit , wy aethan allan y ymavlyd ynthaw : can ty bieit y vot ef o ddyeithr ei bwyll .
41:3:022:0	A’r Gwyr‐llen a ddaethent o Caerusalem , a ddywedesont , vot Beelzebub gantaw , ac mai trwy pennaeth y cythraelieit y bwrei allā gythraelieit .
41:3:023:0	Yno ef y galwodd wy ataw , ac a ddyvot wrthwynt ym-parabolae . Pa vodd y gall Satan vwrw allan Satan ?
41:3:024:0	Can ys a bydd teyrnas wedy r’ ymranny yn y herbyn ehun , nyd all y deyrnas houo sefyll .
41:3:025:0	Ac a’s ymranna tuy yn y erbyn ehun ny ddychon y tuy hwnw sefyll .
41:3:026:0	Velly a’s cyfyt Satan yn y erbyn hun , ac ymranny , ny all ef barhay , amyn bod tervyn iddo .
41:3:027:0	Ny ddygon nep vyned y mewn i tuy yr cadarn a’ dwyn ymaith ei lestri , dyeithr iddo yn gyntaf rwymo yr cadarn hwnw , ac yno yspeilio ei duy .
41:3:028:0	Yn wir y dywedaf y chwi , y maðauir oll pochotae i blant dynion , a’ pha gablae , bynac y cablāt :
41:3:029:0	an’d pwy pynac a gabl yn erbyn yr yspryt glan ny chaiff vaddeuant yn dragyvyth , any’d bot yn euoc y varn dragyvythawl ,
41:3:030:0	can yddyn ddywedyt , vot ganthaw yspryt aflan .
41:3:031:0	Yno y daeth ei vrodur a’ ei vam , a’ safasant allā , ac a ddanvoneson ataw , ac a’ alwason arnaw .
41:3:032:0	A’r popul a eisteddawdd oei amgylch ef , ac a ddywedesont wrthaw , Nycha , dy vam , a’th vroder yn dy geisiaw allan .
41:3:033:0	’Ac ef y atepawdd wy , gan ddywedyt , Pwy yw vy mam a’m broder ?
41:3:034:0	Ac ef a edrychawdd o y amgylch ar yr ei , ’oedd yn eistedd yn y gylchedd yn ei o gylch , ac a ddyvot , Nycha vy mam a’m broder .
41:3:035:0	Can ys pwy pynac a wnel ewyllys Duw , hwnw yw by-brawt , a’m chwaer a’ nam .
