41:8:001:1	Pen . viij .
41:8:002:1	Miracl y saith torth . Y Pharisaiait yn erchi arwydd . Surdoes y Pharisaiait . Y dall yn derbyn ei ’olwc . Ei adnabot gan ei ddiscipulon . Ef yn ceryddy Petr . Ac yn dangos mor angenraid yw bot ymlid a’blinderwch .
41:8:001:0	YN y dyddyae hyny , pan oeð tyrva dra‐mawr ac eb gantwyut ddim yw vwyta , yr Iesu a ’alwawdd ei ðiscipulon ataw , ac a ðyvot wrthwynt ,
41:8:002:0	Ydd wyf yn tosturiaw wrth y tyrfa , can ys yddwynt aros y gyd a mi er ys tri‐die , ac nid oes Ganthwynt dim yw vwyta .
41:8:003:0	Ac a’s anvonaf wy ymaith eb vwyt y’w teie ehunain , wy loysygant ar y ffordd : can ys yr ei o hanaddynt a ddeuthant o bell .
41:8:004:0	Yno ydd atepawdd ei ddiscipulon iddo , Paweð y dychon dyn borthy ’r ei hynn a bara yma yn y diffeith ?
41:8:005:0	Ac ef a o vynnawdd yddwynt , Pasawl torth ys ydd genwch ? Ac wy a ddwedesont , Saith .
41:8:006:0	Yno y gorchymynawdd ef yr tyrfa eistedd ar y ddaear : ac ef a gymerawdd y saith torth , ac wedy iddo ddiolvvch , eu torawdd , ac eu rhoddes y’w ddiscipulon yw gesot geyr eu bron , ac wy ei gesodesont geyr bron y popul .
41:8:007:0	Ac ydd oedd ganthwynt ychydic pyscot bychain : ac wedy iddo vendithiaw , ef archawdd yddwynt hefyd ei gesot geyr eu bron .
41:8:008:0	Ac wy a vwytesont , ac a gawsont digon , ac wy a godesont o’r briwvwyt oedd yn‐gweddill , saith basgedeit ,
41:8:009:0	( a’r ei vysent yn bwyta , oedd yn‐cylch pedeir‐mil ) ac velly ef yd anvonawdd wy ymaith .
41:8:010:0	Ac ar hynt ydd aeth ef i long gyd ei ddiscipulon , ac y ðaeth i barthae Dalmanutha .
41:8:011:0	A’r Pharisaiait a ddaethan allan , ac a ddechreusont ymddadle ac ef , gan geisiaw gantaw arwydd o’r nef , a’ chan ei demptio .
41:8:012:0	Yno yr vcheneiddioð ef yn ddwys : yn ei yspryt , ac y dyuot . Pa geisio arwydd y mae’r genedleeh hon ? Yn wir y dywedaf y chwi , na’s rhoddir arwyð ir genedlaeth hon .
41:8:013:0	Ac ef y gadawodd wy , ac aeth i’r llong drachefyn , ac a dynnodd ymaith dros y dwfr .
41:8:014:0	Ac anghofio a wnaethent gymeryd bara , ac nid oedd ganthwynt amyn vn dorth yn y llong .
41:8:015:0	Ac ef a orchmynawdd yddynt gan ddywedyt , Gwiliwch , ac ymogelwch rac leven y Pharisaieit , a’ rac leven Herod .
41:8:016:0	A’ resymy a wnaethant wrth ei gylydd , gan ddywedyd , Hyn ’sy can Nyd oes ddim bara genym .
41:8:017:0	A’ phan ei gwybu ’r Iesu , y dyvot wrthwynt , Pa resymy ddych velly , can na’d oes genwch vara ? a nyd ychvvi yn synniaw etwa , nag yn deally ? A ytyw eich calonae eto genwch wedy ’r argaledu ?
41:8:018:0	Oes llygait genwch ac ny chāvyðwch ? ac oes i chwi glustiae , ac ny chlywch ? Ac any ddaw yn eich cof ?
41:8:019:0	Pan doreis y pemp torth ym‐plith pempmil , pa sawl bascedeit o vriwvwyt a godesoch ? Dywedesont wrthaw , Dauddec .
41:8:020:0	A’ phan doreis saith ymplith pedeir mil , pa sawl bascedeit gvveddi ll o vriwfwyt a godesoch ? Dywedesont wythae , Saith .
41:8:021:0	Yno y dyvot ef wrthwynt , P’wedd yvv na ydyellwch ?
41:8:022:0	Ac ef a ddaeth i Bethsaida , ac wy a dducesont ataw ddall , ac a ei gweddieson ar iddo y gyfwrdd ef .
41:8:023:0	Yno y cymerawdd ef y dall erbyn , ei law , ac ei tywysawdd allan o’r dref , ac a boyrawdd yn ei lygait , ac a ’osodes ei ddwylaw arno , ac a ovynawdd iddaw a welei ef ddim .
41:8:024:0	Ac ef a edrychodd i vynydd , ac a ddyuot , Mi welaf ddynion : can ys gwelaf wy yn gorymddaith , mal petyn breniae .
41:8:025:0	Gwedy hyny , y gesodes ef , ei ddwylo drachefyn ar y lygait ef , ac y parawdd iddo edrych-drachefn . Ac ef a edverwyt iddo ei olvvc , ac ef a welawdd bavvp oll o bell ac yn eglaer .
41:8:026:0	Ac ef a ei danvonawð ef a‐dref y’w duy , gan ddywedyt , Ac na ddos ir dref , ac na ðywait i nep yn y dref .
41:8:027:0	A’r Iesu aeth allan , ef a ei ðiscipulō i Caesarea Philippi . Ac ar y ffordd yr ymovynnawð ef a ei ddiscipulon , gan ddywedyt wrthynt , Pwy’n medd dynion ytwy vi ?
41:8:028:0	Ac wy a atebesont , yr ei a ddvvvait mai Ioan Vatydiwr : a’r ei , Elias : a’r ei mai vn o’r Propwyti .
41:8:029:0	Ac ef a ddyvot wrthynt , A’ phwy’n meddw‐chwi ytwy vi ? Yno yð atepawð Petr ac y ddyuot wrthaw , Tydy yw’r Christ .
41:8:030:0	Ac ef a ’orchymynawdd yn gaeth yddynt na vanegent hyny i nep am danaw .
41:8:031:0	Yno y dechreawdd ei dyscy y byddei ddir y Vap y dyn ddyoðef llawer o bethæ , a’ ei argyweddy y gan yr Henaifieid , a chan yr Archoffeiriait a’r Gwyr‐llen , a’ chael ei ladd , ac o vewn tri dic‐yfody drachefyn .
41:8:032:0	Ac ef a adrodes y peth hyny yn ’olae . Yno y cymerth Petr ef or ailltu , ac a ddechreodd roi iddo sen .
