41:5:001:1	Pen . v .
41:5:002:1	Yr Iesu yn bwrw ’r cythraulieit allan o’r dyn , ac yn goddef yddynt vynd i mewn y moch . Ef yn iachay ’r wraic ywrth y clefyt gwaed . Ac yn cody merch y capten .
41:5:001:0	AC wy ðaethā drosoð ir ’lan arall i’r mor , y wlat y Gadarenieit .
41:5:002:0	A’ gwedy y ðyvot ef allan o’r llōg , yn y man y cyfarvu ac ef o’r monwenti ðyn yn yr hwn ydd oedd yspryt aflan :
41:5:003:0	yr vn oeð ai drigfa yn y monwenti , ac ny allei nep y rwymo ef , na’g a chadwynae , can yddo pan rwymit ef yn vynech a lleffetheirie a chadwyni , ef a vyscei ’r cadwy ni yn ddrylliae ,
41:5:004:0	ac e dorei ’r lleffetheiriae yn chvvilfrivv , ac ny allei nep y warhay ef .
41:5:005:0	Ac yn ’oystat nos a’ dydd ydd oedd ef yn llefain yn y mynyddedd , ac yn y monwenti , ac yn ei guro ehun a main .
41:5:006:0	A’ phan ganvu ef yr Iesu o hirbell , y rhedawdd ac yr a ddolawdd ef ,
41:5:007:0	ac a lefawdd a llef vchel ac a ddyvot , Beth ’sy i mi a vvnelvvyf a thi Iesu vap y Duw goruchaf ? ith tyngedaf trvvy Dduw na phoenych vi .
41:5:008:0	Can ys ef a ddywedesei wrthaw , Dyred y maes o’r dyn yspryt aflan . )
41:5:009:0	Ac ef a ovynawdd iddo , Pa enw ’sy iti ? Ac ef a atepodd , gan ddywedyt , Lleng ’sydd enw i mi : can ys llawer ym .
41:5:010:0	Ac ef ei gweddiawdd yn vawr , na ddanvonei ef ddim hanynt allan o’r wlat .
41:5:011:0	Ac ydd oedd yno yn y mynyddae genvaint vawr o voch yn pori .
41:5:012:0	A’r oll gythraelieit atolygesant iddaw , gan ðywedyt , dAnvon nyni i’r moch , val y gallom vyned oei mewn vvy .
41:5:013:0	Ac yn y man y rhoes yr Iesu gennad yddwynt . Yno ydd aeth yr ysprytion aflan y maes , a’ myned y mewn ir moch , a’ rhedec o’r genvaint bendro‐mwnwgl o ddiar y gaulan i’r mor , ( ac yð oeddent yn‐cylch dwyvil ovoch ) ac eu bodwyt yn y mor .
41:5:014:0	A’r meichieid a ffoesont , ac a venagesont hyny yn y dinas , ac yn y wlat ,
41:5:015:0	a’ wy a ddaethant at yr Iesu , ac a welsant yr vn a vesei yn gythraelic , ac a lleng ynddaw , yn eistedd ac yn wiscedic , ac yn ei iawn synwyr : ac ofny a wnaethant .
41:5:016:0	A’r ei a ei gwelawdd , a venegawdd yddwynt , pa beth a wneithit i’r vn y bysei ’r cythrael ynthaw , ac am y moch .
41:5:017:0	Yno y dechreysont y weddiaw ef , ar vyned ymaith oei goror wy .
41:5:018:0	A’ gwedy iddo vyned y mewn llong , y gweddiawdd arnaw yr hwn a vesei’r cythrael yntho , ar gael bot y gyd ac ef .
41:5:019:0	A’r Iesu ny oddefawdd yddaw , eithyr dywedyt wrthaw , Dos ymaith ith tuy , at yr ei sy i ti , a’ menag yddynt pa ueint bethae a wnaeth yr Arglwydd y‐ty , a’ phodd y trugarhaodd wrthyt’ .
41:5:020:0	Ac ef aeth ymaith , ac a ddechreawdd gyhoeddy in Decapolis pa bethe eu meint a wnaethoeð yr Iesu yddaw : a’ phawp a ryveddesont .
41:5:021:0	A’ gwedy myned yr Iesu trosodd mewn llong i’r tu arall , ydd ymgasclawdd tyrfa vawr ataw , ac ydd oedd ef wrth ’lan y mor .
41:5:022:0	A’ nycha y deuth ataw vn o benaethieit y Synagog , a’ ei enw oedd Iairus : a’ phan y gwelawdd ef , y dygwyddawdd i lawr wrth ei draed ,
41:5:023:0	ac adolwyn yn vawr yddaw , gan ddywedyt , Y mae vy merch ym‐brō marw : adolvvyn yty ddyvot a dody dy law arni , val ydd iachaer hi , a’i byw .
41:5:024:0	Yno ydd aeth ef cantho , a’ thorf vawr ei dilynawð , ac y gwascasont ef .
41:5:025:0	( Ac yð oeð ryw wraic ac arnei waed‐lif es dauðec blynedd ,
41:5:026:0	ac a ddyoddefesei laweredd gan lawer o veddigon , ac a drauliesei gymeint ac oeð ar ei helw , ac eb lesy dim iddi , ’namyn y myned hi yn vwy gwaeth .
41:5:027:0	Pan glypu hi son am yr Iesu , y hi a ddaeth yn y dyrfa y tu cefyn , ac a gyfyrddawdday wisc ef .
41:5:028:0	Can ys hi ddywedesei , A’s caf gyfwrdd a y wiscoedd ef , im iacheir i .
41:5:029:0	Ac yn ebrwydd y sychawdd ffynnonell y gwaet hi , a’ hi a synniawdd yn hei chorph ddarvot hiachay o’r pla honno .
41:5:030:0	Ac yn y man pan wybu r’ Iesu yn daw ehun vyned nerth o honaw allā , ef a droes o yamgylch yn y dyrfa , ac a ddyvot , Pwy a gyfyrdawdd a’m dillat ?
41:5:031:0	A’ ei ddiscipulon a ðywedesont wrthaw , ti wely y dyrfa yn dy wascy , ac a ddywedy di , Pwy a gyfyrddawdd a mi ?
41:5:032:0	Ac ef a edrychawð o yamgylch , y weled hō a wnaethsei hyn .
41:5:033:0	A’r wreic gan ofny a’ chryny : can ys‐hi a wyddiat beth a wnathesit ynthei , a ddaeth ac a gwympoð geyr y vron ef ac a ðyvot iðo yr oll wirioneð .
41:5:034:0	Ac ef a ðyvot wrthi , Ha verch , dy ffyð ath iachoað cerða yn tangneðyf , a’ byð iach oth pla . )
41:5:035:0	Ac ef etwa yn ymaddrodd , y deuth rei y wrth duy ’r pēnaeth y Sinagog gan ðywedyt , E vu varw dy verch : pa aflomydy a wnai di mwy ar y Dyscodr
41:5:036:0	Er cynted y clypu ’r Iesu adroð y gair hwnw , y dyvot ef wrth bēnaeth y synagog , Nad ofna : cred yn vnic .
41:5:037:0	Ac ny adoð ef ynep yw ei ddilyn , amyn i Petr ac Iaco , ac Ioan brawt Iaco .
41:5:038:0	Yno y daeth ef i duy pennaeth y Synagog , ac y gwelawð y twrwf , a’r ei oeð yn wylo , ac yn ochain yn vawr .
41:5:039:0	Ac ef aeth y mywn , ac a ddyvot wrthynt , Pa dyrfu , ac wylo ydd ych ? ny bu varw yr dyn‐bach , amyn hunaw y mae .
41:5:040:0	Ac wy a y gwatworent ef : ac ef y rhoes wy oll y maes , ac a gymerth dad , a’ mam y dyn‐bach , a’r ei oedd y gyd ac ef , ac aeth y mywn lle ddoedd yr enaeth yn gorwedd ,
41:5:041:0	a ’chan ymavlyd yn llaw yr enaeth , y dyvot wrthei , Talitha cumi , yr hyn yw oei ddeongyl , Yr enaeth ( wrthyt’ y dywedaf ) cyvot .
41:5:042:0	Ac yn ebrwydd y cyfodes yr enaeth , ac y rhodiawdd : canys dau-ddec blwydd oed ytoedd hi . A’ braw anveidrawl aeth ynðynt .
41:5:043:0	Ac ef a ’orchymynawdd yddwynt yn gaeth na chae nebun wybot hyny , ac a ddyvot am roi bwyt iddi .
