41:4:001:1	Pen . iiij .
41:4:002:1	Wrth barabol yr had , a’r gronyn mustard , y mae Christ yn dangos braint teyrnas Dduw . Dawn ragorawl gan Dduw cahel gwybot dirgeledigaethae y deyrnas ef . Ef yn goystegy temrestl y mor , yr hwn a vvyddhaodd iddo .
41:4:001:0	AC ef a ddechreawdd drachefyn precethy yn‐glā y mor , a’ thyrfa vawr a ymglascawdd ataw , yn ydaeth ef y long , ac eistedd yn y mor , a’r oll popul oedd ar y tir wrth y mor .
41:4:002:0	Ac ef a ddyscawdd yddwynt laweredd ym‐parabolae , ac a ddyvot wrthwynt yn y ðysc ef .
41:4:003:0	Gwrandewch : Nycha , ydd aeth heywr allan y heheu .
41:4:004:0	Ac e ddarvu val ydd oedd ef yn heheu , cwympo o beth wrth vin y ffordd , ac a ddaeth ehediait y nef ac ei difasont .
41:4:005:0	A’ pheth a gwympodd ar dir caregawc , lle nid oedd iddo vawr ðaiar , ac yn y van yr eginawð , can nad oedd iddo ðyfnder daiar .
41:4:006:0	A’ phan godaw haul , y gwresogwyt ef , a’ chan nad oedd yddo wreiddyn , y tra gwywawdd .
41:4:007:0	A’ pheth a gwympiawð ymplith y drain , a’r drain a dyfeson ac ei tageson , val na roddes ffrwyth .
41:4:008:0	A’ pheth arall a gwympiodd mewn tir da , ac a roddes ffrwyth ac a eginawdd i vynydd , ac a dyfawdd , ac a dduc , peth ar ei ðecfed ar vgain , peth ar ei drugainvet , a’ pheth ar ei ganvet .
41:4:009:0	Yno y dyvot ef wrthwynt , Y nep ’sy ganthaw glustiae i wrandaw , gwrandawet .
41:4:010:0	A’ phan ytoedd ef vvrtho y hun , yr ei oedd yn y gylch ef y gyd a’r dauddec , a ymovynesont iddaw am y parabol .
41:4:011:0	Yno y dyvot wrthwynt , Y chwi y rhoddwyt gwybot dirgeledigaeth teyrnas Dduw : an’d ir ei’ n ’sydd allan , y gwnair yr oll pethae hyn drwy parabolae ,
41:4:012:0	pan yw yn gweled , y gwelant , ac ny chanvyddant : ac yn clywed , y clywant , ac ny ddyellant , rac bod yddyn byth ymchoelyt a chael maddae yddyn ey pechotae .
41:4:013:0	Ac ef a ðyvot wrthyn , Any wyddochvvi y parabol hwn ? a’ pha weð y gwybyddechvvi yr oll parabolae ereill ?
41:4:014:0	Yr heuwr hvvnvv a heuha yr gair .
41:4:015:0	A’r ei hyn yw’r sawl a dderbyniant yr had wrth vin y ffordd , yn ei yr heuwyt y gair : ac ’wedy y clywont , y daw Satā yn y man , ac a ddwc ymaith y gair y heuesit yn y calonae wy .
41:4:016:0	Ar vn ffynyt yr ei a dderbyniant yr had yn y tir caregawc , yw ’r ei hyny , y sawl gwedy yddyn glywed y gair , yn y man yd erbyniant ef gyd a llewenydd ,
41:4:017:0	ac nid nes yddyn wraidd ynthyn y hunain , ac velly dros amser ydd ynt : yno pan goto gorthrymder ac ymlit o bleit y gair eb ohir y rhwystrir wy ,
41:4:018:0	A’r ei a dderbyniaut yr had ynghyfrwng y drain , yw’r sawl a wrandawant y gair :
41:4:019:0	and bot gafalon y byd hwn , a’ somiant golud a’ chwantae pethae ereil’ yn dyvot y mewn ac yn tagy ’r gair , ac ei gwneir ef yn ðiffrwith .
41:4:020:0	A’r ei a dderbyniasōt had mewn tir da , yw’r sawl a wrandawant y gair ac ei derbiniant , ac a ddugan ffrwyth , vn gronyn ðec ar vgain , aral’ drugain , ac arall gant .
41:4:021:0	Hefyd e ddyvot wrthynt , A ðaw canwyll yw gesot y dan vail a y dā y vort , ac nid yw gesot ar gannwyllbren ?
41:4:022:0	Can nad oes dim cuddiedic , a’r na’s amlyger : ac nid oes dim dirgel , a’r nyd el yn ’olau .
41:4:023:0	Ad oes ir vn glustiae i glywet , clywet .
41:4:024:0	Ac ef a ðyvot wrthynt , Gwiliwch pa beth a glywwch . A pha vesur y mesuroch , y mesurir y chwithe : ac y chwi yr ei a glywch y rhoðir y chwanec .
41:4:025:0	Can ys i hwn ysy gantho , y roddir yddaw , a’ chan hwn nyd oes , y dugir y arno , meint ac ysy ganthaw .
41:4:026:0	Hefyd e ddyvot , Velly ytyw teyrnas Dew , val pe bwriai ddyn had i’r ddaiar ,
41:4:027:0	a’ chyscu , a’ chody nos a’ dydd , ac eginaw o’r had a’ thyvu i vynydd , ac efe eb wybot pa vodd .
41:4:028:0	Can ys y ddaiar a ddwc ffrwyth o hanei y hun , yn gyntaf yr eginin , yn ol hyny yr grawn yn llawn yn y tywysen .
41:4:029:0	Ac er cynted yr ymddangoso ’r ffrwyth , eb ’ohir y dyd ef y cryman ynthavv , can ys dyvod y cynayaf .
41:4:030:0	Ef a ddyvot hefyt , I ba beth y tybygwn deyrnas Dyw ? ai a pha gyffelyprwydd y cyffelypwn hi ?
41:4:031:0	Cyffelyp yvv i ’ronyn mustard , yr hwn pan hauer yn y ddaiar , yw’r lleiaf o’r oll hadae y sy yn y ddaiar :
41:4:032:0	eithyr gwedy yr hauer , e dyf i vynydd , a’ mwyaf yw o’r oll llysae , ac e ddwc gangae mawrion , y’n y allo ehediait y nef nythu y dan y wascawt ef .
41:4:033:0	Ac a llawer o gyfryw barabolae y precethawdd ef y gair yddwynt , megis ac y gallent ei wrandaw .
41:4:034:0	Ac eb parabolae ny’d ym adroddawð ef ddim wrthynt : ac ef a esponiawdd yr oll bethe y’w ddiscipulon wrthyn y hunain .
41:4:035:0	A’r dydd hwnw gan yr hwyr , y dyvot ef wrthynt , Awn trosawdd ir ’lan arall .
41:4:036:0	A’ gady y dyrva a wnaethant , a ei gymeryd ef val ydd oedd yn y llongan : ac ydd oedd hefyd llongae eraill y gyd ac ef .
41:4:037:0	Ac e gyfodes cawod vawr o wynt , a’r tonae a daflasant ir llong , y’n yd oeð hi ’nawr yn llawn .
41:4:038:0	Ac ydd oedd ef yn y pen‐ol‐ir‐llong , yn cyscu ar ’obenydd : ac wy ei dihunasont , ac a ddywedesont wrthaw , Athro , Anyd gwaeth genyt er ein colli ni ?
41:4:039:0	Ac ef a gyfodes y vynydd , ac a ysdwrdiodd y gwynt , ac o ddyvot wrth y mor , ys Taw , nag yngan . Yno y goystegawdd y gwynt , ac hi aeth yn daweelvvch mawr .
41:4:040:0	Yno y dyvot ef wrthwynt , Paam ydd ych mor ofnus ? pa vodd yvv na’d oes ffydd genych ?
41:4:041:0	Ac wy a ofnesont yn ddirvawr , ac a ddywedesont wrth y gylydd , Pwy yw hwn , can vot y gwynt a’r mor yn vwyddhay iddaw ?
