41:1:001:1	Pen . j .
41:1:002:1	Swydd , dysc , a’ buchedd Ioan Vatyðiwr . Batyddiaw Christ . Ei demtio ef . Ef yn praecethy . Ef yn calw ’r pyscotwyr . Christ yn iachay ’r dyn a’r yspryt aflan . Dysc newydd . Ef yn iachau chwegr Petr . Bot y cythraulieid yn ei adnabot ef . Ef yn glanhay ’r gohangleifion , ac yn iachay ereill lawer .
41:1:001:0	DEchrae ’r Euangel Iesu Christ vap duw :
41:1:002:0	mal ydd yscrifenir yn y Prophwyti , Nycha vi yn danvon vy‐cenat rac dy wynep , yr hwn a paratoa dy ffordd oth vlaen .
41:1:003:0	Llef yr vn yn l’efain yn y diffaith , yvv , Paratowch ffordd yr Arglwyð : vnionwch y lwybrae ef .
41:1:004:0	Ioan oeð yn batyddyaw yn y diffaith , ac yn precethy betydd emendaat bucheð , er maddeuant pechotae .
41:1:005:0	Ac e daeth allan attaw oll wlad Iudaia , ac wy o Caesusalem , ac ei bedyddiwyt oll ganto yn afon Iorddonen , can yddwynt cyffessy ei pechotae .
41:1:006:0	Ac e wiscit Ioan o vlew camel , a’ gwregis croen o ddyamgylsh ei lwyni : ac ef a vwytaei locustae a’ mel gwyllt ,
41:1:007:0	ac a precethei gan ddywedyt , Ys daw ar vy ol i , vn cadarnach no mivy , yr hwn nid wyf deilwng i grymy a’ datod carrae ei escidiae .
41:1:008:0	Diau yvv mivi ach batyddiais chwi a’ dwfr : ac efe a’ch betyddia chvvi a’r Yspryt glan .
41:1:009:0	Ac e ddarvu yn y dyddiae hynny , ys daeth Iesu o Nazaret dinas yn Galilaia : ac ei betyddiwyt y gan Ioan yn Iorddonen .
41:1:010:0	Ac yn ebrwydd gwedy iddo ddyvot i vynydd o’r dwfr , y gwelawdd Ioan y nefoeð wedy ’r hollti , a’r Yspryt glan yn descend arnaw megis colomben .
41:1:011:0	Yno y bu llais o’r nefoedd , yn dyvvedyt , ys Ti yw vy‐caredicol Vap , yn yr hwn im boddlonir .
41:1:012:0	Ac yn y man y gyrrodd yr Yspryt glan ef ir diffeithvvch .
41:1:013:0	Ac ef a vu yno yn y diffeithvvch dauugain diernot , a’ Satan yn ei dēptio : ac ydd oedd ef y gyd a’r bwystviledd , a’r Angelion vyddent y’w weini ef .
41:1:014:0	A’ gwedy darvot rhoddy Ioan yn‐carchar , y daeth yr Iesu i’r Galilaea , gan precethy Euangel teyrnas Duw ,
41:1:015:0	a’ dywedyt : Ys cyflawnwyt yr amser , ac y mae teyrnas Dhuw geyrllaw : edifarhewch , a’ chredwch yr Euangel .
41:1:016:0	Ac val y rhodiei ef wrth vor Galilaea , ef a welawdd Simon , ac Andreas ei vrawt , yn bwrw rhwyt ir mor , ( can ys pyscotwyr oeddynt . )
41:1:017:0	Yno y dyvot yr Iesu wrthynt , Dewch ar vo’l i , ac ich gwnaf yn pyscotwyr dynion .
41:1:018:0	Ac yn y van y maddeuosont ei rhwytae , ac y dylynesont ef .
41:1:019:0	A’ gwedy iddaw vyned ychydic ympellach o ddyno , ef a welawdd Iaco vap Zebedeus , ac Ioan ei vrawt , val ydd oeddynt yn y llong yn cyweirio ei rhwytae .
41:1:020:0	Ac yn yman y galwodd ef wy : ac wy a adawsant ei tad Zebedeus yn y llong y gyd a’ei gyfloc-ddynion , ac aethant ffwrdd ar y ol ef .
41:1:021:0	Yno ydd aethont y mevvn y Capernaum , ac yn ebrwydd ar y dydd Sabbath ydd aeth ef y mewn ir Synagog ac y dyscawdd ef vvynt .
41:1:022:0	Ac aruthro a wnaethant wrth ei ddysceidaeth ef : can ys ef y dyscawdd wy mal vn ac awturtot cantaw , ac nyd mal y Gwyr‐llen .
41:1:023:0	Ac ydd oedd yn y Synagog wy ddyn ac ynthaw yspryt aflan , ac ef a lefawdd , gan ddywedyt ,
41:1:024:0	Och , pa beth ’sy i ni a wnelom a thi r Iesu o Nazret ? A ddaethost ti in colli ni ? Ith adwaen pwy wyt , nid amgen y Sanct eiddo Duw .
41:1:025:0	A’r Iesu a ei ysdwrdiodd , gan dywedyt , Ystaw , a’ dyred allan o hanaw .
41:1:026:0	A’r yspryt aflan y rhwygodd ef , ac a wae ddawdd a llef vawr , ac a ddeuth allan o hanaw .
41:1:027:0	Ac wy oll a ddechrynesont , y nyd ymofynnent yn ei plith , gan ddywedyt , Pa beth yw hyn ? pa ryvv ddysc newydd yw hon ? can ys gorchymyn ef ir ysprytion aflan trwy awturtot , ac vvy uvyddant yddaw .
41:1:028:0	Ac yn ebrwydd ydd aeth son am danaw dros yr oll wlat yn‐cylch Galilaea .
41:1:029:0	Ac er cynted yd aethant allan o’r Synagog , myned a orugant y mevvn i duy Simon ac Andreas , y gyd ac Iaco ac Ioan .
41:1:030:0	Ac ydd oedd chwegr Simon yn gorwedd yn glaf o’r haint‐gwres , ac yn lleigys y dywedesont wrthaw am denei .
41:1:031:0	Ac ef a ddaeth ac ei cymerth hi erbyn hei llaw , ac ei dyrchafodd i vynydd , a’r haint‐gwres hei gadavvodd eb ’ohir , a hi aeth y weini yddynt .
41:1:032:0	Ac wedy yhwyrhay hi , a’ myned haul i lawr , y ducesont ataw bavvpoll a’r oeddent yn gleifion , a’r ei oedd yn gythreulicion .
41:1:033:0	A’r oll ddinas a ymgascloð yd wrth y drws .
41:1:034:0	Ac ef a iachaodd lawer a’r oeddent yn gleifion o amrafael heintiae : ac a vwriodd allan lawer o gythreulieit : ac ny’s gadawdd i’r cythraelieit ddywedyt ydd adwaenent ef .
41:1:035:0	Ac yn dra borae ar y cynddydd y cyfodes yr Iesu , ac aeth allan ac y dynnodd i le ar ddieithr , ac ynovv y gweddiawð .
41:1:036:0	A’ Simon , a’r ei oeddent gyd ac ef , ei dylynesont , ef .
41:1:037:0	A’ gwedy yddwynt ei gahel , y dywedesont wrthaw , Y mae pawp yn dy gaisiaw .
41:1:038:0	Yno y dyvot ef wrthynt , Awn ir trefi nesaf , val y precethwyf yno hefyt : can ys er mvvyn hyn y daethym allan .
41:1:039:0	Ac ef a precethawð yn y Synagogae hwy trwy’r oll Galilaea , ac a vwriodd allan gythraulieit .
41:1:040:0	Ac e ddaeth ataw ddyn clavrllyt gan weddiaw arnaw , a’ myned ar liniae iddaw , a’ dywedyt wrthaw , A’s ewyllysy , gelly vy‐glanhau .
41:1:041:0	A’r Iesu a dosturiawdd , ac a estendawdd ei law , ac y cyhyrddawdd ef , ac a ddyvot wrthaw , Ewyllysaf : glanhaer di .
41:1:042:0	Ac er cynted y dyvot ef hyn , yr ymadawodd y clefri ac ef , ac y glanhawyt .
41:1:043:0	A’ gwedy gorchymynyn o hanaw iddo yn ddirfing , ef ei danfones ymaith eb oludd ,
41:1:044:0	ac a ddyvot wrthaw , Gwyl na ddywetych ddim i nep , and tyn ymaith , a’ dangos dy hun ir Offeiriat , ac offrwm dros dy ’lanhat y pethae a’ orchymynawdd Moysen , er testiolaeth yddwynt .
41:1:045:0	Yntef wedy iddo vyned ymaith , a ddechreawdd venegi llawer o bethae , a’ chyhoeddy y chwedyl : val na allai ’r Iesu mwy vyned yn amlwc i’r dinas , eithyr ydd oedd ef allan yn lleoeð diffaith : a’ daethāt attaw o bop man .
