41:6:001:1	Pen . vj .
41:6:002:1	Pawedd yd erbynir Christ a’r eiddo yn ei wlad y un . Commission ac awdurdod yr Ebestyl . Amravel varn am Christ . Lladd Ioan , a’ei gladdy . Christ yn rhoi gorphwysfa yw ddisciplion . Y pemp torth bara a’r ddau pyscodyn . Christ yn gorymddaith ar y dwr . Ef yn iachay llawer .
41:6:001:0	AC ef aeth ymaith o ddyno , ac a ðeuth yw wlad yhun , a’ ei ddiscipulon ei canlynesont .
41:6:002:0	A’ gwedy dyvot y Sabbath , y dechreawdd ef ei dyscy yn y Synagog , a’ brawychy a wnaeth l’awer a’r y clywsent ef , gan ddywedyt , O b’le y cafas hwn y pethae hynn ? a’ phara ddoethinep yw hyn a roed iddaw , can ys gwnair cyfryw nerthoedd trwy y ddwylo ef ?
41:6:003:0	Anyd hwn yw’r saer map Mair , brawd Iaco , ac Ioses ac Iudas a’ Simon ? ac anyd yw y chwiorydd ef gyd a nyni ? Ac wy rwystrit ynthaw ef .
41:6:004:0	Yno y dyvot yr Iesu wrthynt , Nyd yw Prophwyt yn ddianrydedd any’d yn ei wlad y un , ac ym‐plith y genedl y vn , ac yn y duy hun .
41:6:005:0	Ac ny allei ef yno wneythy ’r neb vn nerth yn amyn gesot ei ddwylo ar y chydic gleifion a’ ei hiachay .
41:6:006:0	Ac ef a ryveddawdd am y ancrediniaeth wy , ac ef a gylchynawdd y trefi o bop‐parth , gan ey dyscu .
41:6:007:0	Ac ef a alwodd y dauddec atavv , ac a ddechreuawdd y danvon wy bob ddau a’ dau , ac a roddes yddwynt auturtot yn erbyn ysprytion aflan ,
41:6:008:0	ac a ’orchymynawdd yðwynt , na chymerent dim y’w hymddeith amyn ffon yn vnic : na’c y screpan , na bara , nac efydd yn ei gwregysae .
41:6:009:0	Anyd yhescicidiay hwy a’ sandalae , ac na wiscēt dwy bais .
41:6:010:0	Ac ef a ddyvot wrthynt , Ymp’le bynac ydd eloch y mywn i duy , ynovv ydd aroswch y ’n yd eloch o ddynovv .
41:6:011:0	A’ pha’r ei bynac ny ’ch derbyniant , ac ny’ ch clywant , pan eloch i ffordd o ddyno , escutwch y llwch ysy dan eich traed yn testiolaeth yddwynt . Yn wir y dywedaf y chwi , y bydd esmwythach i Sodoma ai Gomorrha yn‐dydd brawd , nac i’r dinas hono .
41:6:012:0	Ac wy aethan ymaith ac a procethesant , ar wellay o ddynion ei buchedd .
41:6:013:0	A’ llawer o gythraelieit a vwriasant wy allan : ac wy a eneiniesant ac oleo lawer o gleifion , ac ei hiachesont .
41:6:014:0	Yno y clypu ’r Brenhin Herod am danavv ( can ys eglaer oedd y enw ef ) ac y dyvot , Ioan Vatyddiwr a gyfodes o’ veirw , ac am hyny y gweithredir nerthoedd trwy ddaw ef .
41:6:015:0	Ereill a ddywedesont , mai Elias ytyw : ac ereill a ðywedesōt , mai Prophwyt yw , ai vegis vn o’r Prophwyti .
41:6:016:0	A’ phan glypu Herod , y dyvot , Hwn yw Ioan yr hwn a dorreis i ei ben : ef e a godes o veirw .
41:6:017:0	Can ys Herod y hun a ddanvonesei genadon , ac a dyaliesei Ioan , ac ei rhwymesei ef yn-carchar o bleit Herodias , yr hon oedd ’wraic Philip y vrawd ef , can iddo y phriody hi .
41:6:018:0	Can ys Ioan a ddywedesei wrth Herod , Nyd cyfreithlon y ti gael gwraic dy vrawt .
41:6:019:0	Am hyny ydd oedd Herodias yn dalha gvvg iddo , ac yn chwenychy y ladd ef , ac ny’s gallei .
41:6:020:0	Can ys Herod a ofnei Ioan , o bleit iddo wybot y vot ef yn ’wr cyfiawn , ac yn sanct , ac y parchei ef , ac wrth y glywet ef , y gwnai ef lawer o pethe , ac ei gwrandawei yn ewyllysgar .
41:6:021:0	A’ phan oedd yr amser yn temporaidd , a’ Herod ar ei ddydd genidigeth yn gwneythyr gwledd y’w bendeuigiō a’ ei gaptenieit a’ goreugwyr Galilaea :
41:6:022:0	a’ gwedy y verch yr vnryvv Herodias ddyvot y mewn a dawnsio , a’ boddloni Herod a’r ei oeð yn cyddeisteð wrth y vort , y dyvot y Brenhin wrth y vor wynnic , Arch y mi beth bynac a vynnych , a’ mi ei rhoddaf yty .
41:6:023:0	Ac ef a dyngawdd iddi , Beth bynac a erchych i mi , mi ei rhoddaf yty , pe hyd haner vy‐teyrnas .
41:6:024:0	Ac yhi aeth allan , ac a ddyvot wrth ei mam , Peth a archaf ? Hithe a ddyvot , Pen Ioan Vatiddiwr .
41:6:025:0	Yno y daeth hi yn y lle mewn awydd at y Brenhin , ac a archawdd , gan ðywedyt , Wyllyswn roddy o hanot i mi sef yr awrhon mewn descyl ben Ioan Vatyddiwr .
41:6:026:0	Yno myned o’r Brenhin yn athrist : eto er mwyn y llw , ac er mvvyn yr ei oedd yn cyd eisteð ar y vort , ny mynnoð ef y gommeð hi .
41:6:027:0	Ac yn y man yd anvones y Brenhin grogwr , ac ’orchmynawdd ðwyn y ben ef .
41:6:028:0	Ac yntef aeth ac a laddawdd y ben ef yn y carchar , ac a dduc y ben ef mewn descyl , ac ei roes i’r vorwyn , a’r vorwyn ei rhoes y’w mam .
41:6:029:0	A’ phan y clypu y ddiscipulou ef , y daethant , ac y cymeresant ei gorph , ac ei dodesont ym‐monwent .
41:6:030:0	A’r Apostoliō ymgynullesont ynghyd at yr Iesu , ac a venegesont iddo oll , ac ar a wnaethent , ac a ddyscesent‐i‐ereill .
41:6:031:0	Ac ef a ddyvot wrthwynt , Dewchwi ych unain o’r neilltu ir diffeithwch , a’ gorphwyswch y chydigin : can ys yð oedd l’awer yn dyvot ac ac yn myned : val na chaent encyd i vwyta .
41:6:032:0	Am hyny ydd aethant mewn llong o’r neilltu i le anial .
41:6:033:0	Eithyr gweled o’r werin wy yn myned ymaith a’ bot llawer yn y adnabot ef , ac yn rhedec ar draet yd yno o’r oll ddimasoydd , ac y rhacvlaenesont wy yno , ac a ymgasclasont , ataw .
41:6:034:0	Yno ydd aeth yr Iesu allan , ac a welawdd dyrva vawr , ac a dosturiawdd wrthwynt , can y bot wy val deuaidd eb yddyn vugail : ac a ddechreawdd ddyscy iddyn laweroedd .
41:6:035:0	Ac yr awrhon pan ddaroedd llawer o’r dydd , y daeth eu ðiscipulō ataw , gan ddywedyt , Llyma le diffaith , ac y hi yr owon yn llawero’r dydd :
41:6:036:0	Gellwng wy ymaith , val y gallō vyned ir pentrefi a’r trefi o yamgylch , a’ phryny ydddyn vara : can nad oes yddyn ðim y’w vwyta .
41:6:037:0	Yntef a atepoð ac addyvot wrthwynt , Rowch chwi yddynt beth y’w vwyta . Ac wy a ðywedesont wrthaw , A awn ni a’ phryny dau‐cant ceiniogwerth o vara , a’ ei roi yðyn yw ywyta ?
41:6:038:0	Yno y dyvot ef wrthynt , Pa sawl torth’ sy genwch ? ewch ac edrychwch . A’ phan wybuont , y dywedesont , Pemp , a ’dau byscodyn .
41:6:039:0	Ac ef a ’orchymynawdd yðwynt beri‐yddwynt oll eistedd , yn vyrðeidiae ar y gwellt glas .
41:6:040:0	Yno ydd eisteðesont yn y garvanae , o vesur cantoeð a’dec a’ dau geiniae .
41:6:041:0	Ac ef a gymerawdd y pemp torth , a’r ddau pyscodyn , ac a edrychawdd y vyndd ir nefoedd , ac a ðiolchawdd , ac a dorawdd y bara , ac a ei rhoes at ei ddiscipulon , yw gesot geyr y bron wy , a’r ðau pyscodyn a ranawdd ef yn y plith wy oll .
41:6:042:0	Velly bwyta o hanynt a’ chael ei gwala .
41:6:043:0	A’ hwy gymeresant ddau ddec bascedeit o’r briw ion , ac o’r pyscawt .
41:6:044:0	A’r ei a vwytesynt , oedd yn‐cylch pemp‐mil o wyr .
41:6:045:0	Ac yn y man y parawdd ef yw ddiscipulon vyned ir llong , a ’rhacvlaeny trosawdd ir ’lan arall hyd Bethsaida , tra ddanvonei ef y werin ymaith .
41:6:046:0	A’ gwedy iddo y danvon wy ymaith , y tynnodd ef ffwrdd ir mynydd i weðiaw .
41:6:047:0	A’ gwedy y myned hi yn hwyr , yr oeð y l’ong yn‐cenol y mor , ac yntef y hun ar y tir .
41:6:048:0	Ac ef ei gwelawð yn dra vaelus arnyn wrth rwyfo , ( can vot y gwynt yn wrthwynep yðynt ) ac yn‐cylch y bedwared wylfa o’r nos , y daeth ef atwynt , yn gorymddaith ar y mor , ac ef a vynesei vyned eb y llaw hwy .
41:6:049:0	A’ phan welsant wy ef yn gorymddaith ar y mor , y tybiesont may ellyll ytoeð , ef ac a ’waeddesant .
41:6:050:0	Can ys wy oll y gwelsont ef , ac a dechrenesont : an’d ar y chwaen yr ymddiddanodd ac wynt , ac y dyvot wrthint , Cyssiriwch , myvi yw , nac ofnwch .
41:6:051:0	Yno yr escendodd ef atwynt ir llong , ac y peidiawdd y gwynt , ac aruthrol dros ben yr aeithei braw ynthynt y vnain , a ryveddy a orugant .
41:6:052:0	O bleit nad ystyriesent yr hyn a vvnaethesit ynghylch y tortheu hyny , can ddarvot caledy eu calonae .
41:6:053:0	A’ dyvot trosawdd a wnaethant , a myned i dir Genezaret , a’ dyvot ir ’lan .
41:6:054:0	A’ gwedy yddyn ðyvot o’r llong , yn y man ydd adnebuont ef ,
41:6:055:0	ac a gylchredesant trwy ’r oll vro hono o y amgylch ogylch , ac a ddechreysont ddwyn hwnt ac yma mewn glythae y sawl oll , oedd yn gleifion , ir lle clywent y vot ef .
41:6:056:0	Ac y b’le bynac yð elei ef y mewn i drefi nei ddinasoedd , ai i bentrefi , wy ddodent ei cleifion yn yr heolydd , ac ei gweddient ar gael o hanynt gyhwrdd ys haychen y wisc ef . A’ chyniuer a ei cyvyrddawdd , a iachawyt .
