41:15:001:1	Pen . xv .
41:15:002:1	Arwein yr Iesu at Pilat . Ei varny ef , ei ddiveiliorni , a’ei roi i varwolaeth , A’ ei gladdy ’gan Ioseph .
41:15:001:0	AC yn y van ar glais y dydd , ydd aeth yr Archoffeiriait yn ei cygcor gyd ar Henurieit , a’r Gwyr‐llen a’r oll Seneddr , ac arwain yr Iesu ymaith yn rhwym a wnaethant , a’ ei roddy at Pilatus .
41:15:002:0	Yno y gofynawdd Pilatus ydd‐aw , Ai ti yw’r Brenhin yr Iuddaeon ? Ac ef a atebawdd , ac a ddyvot wrthaw , Tu ei dywedy ,
41:15:003:0	A’r Archoffeirieit ei cyhuddesont o lawer o bethe .
41:15:004:0	Am hyny y govynawdd Pilatus iddaw drachefyn , can ddywedyt . A nyd atepy di ðim ? Nycha , meint o pethae a testiant ith erbyn .
41:15:005:0	Eithyr etwa nyd atepodd yr Iesu ddim , mal y rhyveddawdd ar Pilatus .
41:15:006:0	Ac yr wyl hono y gellyngai ef vn carcharor yðynt , pa vn bynac a vynnent .
41:15:007:0	Ac ydd oedd vn a elwit Barabbas , yr hwn oedd yn rhwym gyd ei gyd dervyscwyr , ac yn y dervysc a wnaethent laddiat .
41:15:008:0	A’r popul a lefawdd yn vchel , ac a ddechreawdd ddeisyfy vvneythyd o honavv vegis y gwenythei bop amser yddynt .
41:15:009:0	Yno Pilatus ei atepawdd , can ddywedyt , A vynnwch i mi ellwng yn rhydd i chwi Vrenhin yr Iuddaeon ?
41:15:010:0	Can ys ef a wyddiat mae o genvigen y daroedd ir Offeiriait y vradychy ef .
41:15:011:0	Eithyr yr Archoffeiriait a gyffroesant y popul y ddeisyfy ellwng o hanaw yn hytrach Barabbas yddwynt .
41:15:012:0	Ac Pilatus atepawdd , ac a ddyvot trachefyn wrthwynt , Beth gan hynny a vynwch i mi i wneythur ac ef yr hwn ydd ych yn ei ’alw yn Vrenhin yr Iuddaeon ?
41:15:013:0	Ac wy a lefesont trachefn . Croc ef .
41:15:014:0	Ac Pilatus a ddyvot wrthynt , Pa ðrwc a wnaeth ef ? Ac wythe a lefesant vwyvwy . Croc ef .
41:15:015:0	Ac velly Pilatus yn wyllysy boddloni ’r popul , a ollyngawdd yddynt Barabbas , ac a roddes yr Iesu gwedy yðo ei yscyrsiaw , y ew groci .
