41:9:001:1	Pen . ix .
41:9:002:1	Ymrithiat Christ . Bot yn iawn y wrando ef . Bwrw allan yr yspryt mut . Grym gweddi ac vmpryd . Am varwoleth a’ chyuodiat Christ . Y ddadl pwy a vyddei vwyaf . Na rwystrer ar rediat yr Euangel . Gohardd camweddae .
41:9:001:0	AC ef a ddyvot wrthwynt , Yn wir y dywedaf wrthych , pan yvv bot r’ei o’r sawl ’sy yn sefyll yman , a’r ny’s archwayddant o angae yd pan welont . Deyrnas Duw , yn dyvot yn ei nerth .
41:9:002:0	Ac ar ben chwech diernot gwedy y cymerth yr Iesu Petr , ac Iaco ac Ioan , ac aeth a’ hwy i vynydd i vonyth vchel or nailltu wrthyn y hunain , ac ef a ymrithiodd geyr y bron wy .
41:9:003:0	A’ ei ddillat a ddysclaeriawdd , ac oedden dra channeit val yr eiry , mor ganneid na vedr neb pannydd ar y ddayar ei gwneythy ’r .
41:9:004:0	Ac a ymddangoses yddynt Elias ef a Moysen , ac ydd oeddent yn ymddiddan a’r Iesu .
41:9:005:0	Yno ydd atepodd Petr , ac y dyuot wrth yr Iesu , Rabbi , da yw i ni vot yman : a’ gwnawn i ni dri phebyll , vn y ti , ac vn i Voysen , ac vn i Elias .
41:9:006:0	An’d na wyddiat ef beth yr oedd yn ei ddywedyt : can ddarvot yddyn ddechryyny .
41:9:007:0	Ac ydd oedd wybrē a’r y gwascodawdd wy , a’ llef a ddeuth allan o’r wybren , gan ddywedyt , Hwn yw vy Map caredic : clywch ef .
41:9:008:0	Ac yn ddysyvyt ydd edrycheson o ddamgylch , ac ny welsont mwyach nebun , o ddyeithr yr Iesu yn vnic y gyd ac wynt .
41:9:009:0	Ac a ’n hwy yn descend i lavvr o’r mynyth , ef a ’oruchmynnawdd yðynt , na vynegent i neb pa bethe a welsent anyd pan gyvodit Map y dyn o veirw drachefyn .
41:9:010:0	A’ hwy a gatwesant y peth hwnw wrthyn y hun , gan ymofyn bavvp a’ ei gylydd , pa beth oedd hyny , Cyvodi o veirw drachefyn ?
41:9:011:0	A’ gofyn iddo a orugāt , can ddywedyt , Paam y dywait y Gwyr‐llen y byð dir i Elias ddyuot yn gyntaf ?
41:9:012:0	Ac ef atepawdd ac a ddyuot wrthynt , Elias yn ddiau a ddaw , yn gyntaf yc a edvryd yr oll bethae : a’ megis yð escriuenwyt o Vap y dyn , rhait iddo ddyoðef llaweroedd a chael ei ðiystyry .
41:9:013:0	Eithr ys dywedaf wrthyth ddarvot i Elias ðyvot ( a gwneythyd o hanwynt iddo’r hyn a vynesont ) vegis ydd escriuenwyt am danaw .
41:9:014:0	A’ phan ddaeth ef at ei ddiscipulon , y gwelawdd ef dyrva vawr o ei h’amgylch , a’r Gwyr‐llen yn ymðadlae ac wynt .
41:9:015:0	Ac yn ebrwydd yr oll popul pan welsant ef , a ddechrenent , ac a redent ataw , ac a gyfarchent‐well yddo .
41:9:016:0	Yno y gowynawdd ef ir Gwyr-llen , Pa ymddadle ydd ych yn eich plith eich hun ?
41:9:017:0	Ac vn or dyrva a atepawdd ac a ddyvot , Athro , ys dygais vy map atat , ac iddo yspryt mut :
