41:7:001:1	Pen . vij .
41:7:002:1	Y discipulon yn bwyta a dwylo eb ’olchi . Tori gorchymyn Dew gan athraweth dyn . Pa beth a haloga ddyn . Am ’wraic o Syrophaenissa . Iachay yr mudan . Y werin y yn moli Christ .
41:7:001:0	YNo ydd ymgasclawdd y Pharisaieit attaw , a’r ei o’r Gwyr‐llen ar a ddaethent o Gaerusalem .
41:7:002:0	A’ phan welsant ’r ei o’r discipulon yn bwyta bwyt a dwylo cyffredin ( ys ef yw hyny eb ei golchi ) yr achwynesont .
41:7:003:0	( Can ys y Pharisaieit a’r ol’ Iuddeon , dyeithr yðynt ’olchy ei dwylo yn ’orchestol , ny vwytaant , gan ðalha athraweth yr Henaifeit .
41:7:004:0	A’ phan ddelont o’r varchnat , o ddyethyr yðyn ymolchy , ny vwytant : a’ llawer o bethae eraill ynt , a’r a gymersant vvy arnynt ei cadw , vegis golchiadae cwpanae , ac ysteni , ac evyddenneu a’ byrddae .
41:7:005:0	Yno y govynodd y Pharisaieit a’r Gwyr‐llen iddaw , Paam na rodia dy ddiscipulon di herwydd athraweth yr Henaifieit , anyd bwyta bwyt a dwylo eb olchi ?
41:7:006:0	Yno ydd atebei ac y dywedei yntef wrthynt , Can ys da y propwytawdd Esaias am dano‐chwi hypocritae , vegis yð escrivenir , Y popl hyn am anrydedda i aei gwefusae , a’ ei calon ’sy pell hwnt o ddywrthyf .
41:7:007:0	Ac ouer im anrydeddant i , gan ddyscy yn lle dysceidaeth ’orchynynae dynion .
41:7:008:0	O bleit ydd ych yn rhoi gorchymyn Duw heibio , ac yn cadw athraweth dynion , vegis golchiadae ysteni a’ chwpanae , a’ llawer o gyffelyp bethae ydd ych yn ei ’wneythyr .
41:7:009:0	Ac ef a ðyvot wrthynt , Ys da iavvn , y gomeðwch chwi ’orchymyn Duw , val y catwoch eich athraweth eich unain .
41:7:010:0	Can ys Moysen a ddyvot , Anrydedda dy dad a’th vam : a’ Phwy pynac a velltithia dad nei vam , bid varw o’r varwoleth .
41:7:011:0	A’ chwi ddywedwch , A’s dywait vndyn wrth dad nei vam , Corban , ys ef yw hyny , Trwy ’r rhoð a offrymir genyfi , y daw lles yty , rhydd vydd ef .
41:7:012:0	Ac ny edwch iddo mwyach wneythy’r dim lles y’w dad na ei vam ,
41:7:013:0	gan ychwi ddirymio gair Duw , can eich athraweth eich hunain yr hwn a ’osodesochwi : a’ llawer o ryw gyffelyp pethae hyny a wnewch .
41:7:014:0	Yno y galwodd ef yr oll dyrfa ataw , ac a ðyuot wrthynt , Gwrandewchvvi oll arnaf , a’ dyellwch .
41:7:015:0	Nid oes dim allan o ddyn , a ddychon y halogy ef , pan el oei vewn : eithyr y pethae a ddaw allan o hanaw , yw’r ei a halogant ddyn .
41:7:016:0	A’s oes gan nep glustiae y glywed , clywet .
41:7:017:0	A’ phan ddaeth ef ymywn i duy o y wrth y werin , y gouynodd ei ddiscipulon iddo o bleit y parabol .
41:7:018:0	Ac ef a ddyvot wrthwynt , Velly a y tych chwithe hefyt yn ddiddyall ? A ny wyddoch pan yw pop peth o ddyallan a el o vewn dyn , na all y halogy ef ,
41:7:019:0	can nad yw yn myned o vewn ei galon , yn amyn ir boly , ac yn myned allan i’r gauduy yr hwn yw carthiat yr oll vwydydd ?
41:7:020:0	Yno y dyuot ef , Y peth a ddaw allan o ddyn , hyny a haloga ddyn .
41:7:021:0	Can ys y ddymewn ’sef o galon dynion y deillia meddyliae mall , tori‐priodasae , godinebae , lladd‐celain ,
41:7:022:0	llatrata , cupydddra , scelerdra , dichell , haerllycrwydd llygad drwc , cabl‐air , balchedd , ampwyll .
41:7:023:0	Yr oll ysceleroedd hyn a ddon o ddymywn , ac a halogan ddyn .
41:7:024:0	Ac o yno y cyfodes ef , ac ydd aeth i gyffinydd Tyrus a’ Sidon , ac aeth y mewn y duy , ac ny vynesei y neb gael gwybot : an’d ny allei ef vot yn guddiedic .
41:7:025:0	Can ys gwreic , yr hon oedd ei merch‐vach ac iddi yspryt aflan , a glypu son am danaw ac a ddaeth ac a gwympodd wrth y draed ef
