41:16:001:1	Pen . xvj .
41:16:002:1	Y merched yn dyuot at y bedd . Christ gwedy cyuody yn ymddangos i Vair Vagdalen . A’ hefyd ir vn ar ddec , ac yn beio ar y ancrediniaeth wy . Ef yn rhoi ar ei llaw wy preccthy’r Euangel , a’ Betyddiaw .
41:16:001:0	A Gwedy darvot y dydd Sabbath , Mair Magdalen , a’ Mair vam Iaco , a’ Salome , a brynesont ireidiae aroglber y ddyvot i iraw ef .
41:16:002:0	Ac velly yn dra bore , y dydd cyntaf o’r wythnos y daethant ir vonwent a’r haul yn codi ,
41:16:003:0	ac y dywedesont wrth ei gylydd , Pwy a ddadtreigla y ni y llech o yddar ddrws y vonwent ?
41:16:004:0	A’ phan edrychesant , wy welsant ddarvot adtreiglo y llech ( o bleit ydd oedd hi yn vawr iawn . )
41:16:005:0	Yno ydd aethant y mevvn ir vonwent , ac y gwelsant wr‐ieuāc yn eistedd o’r tu deheu , wedyr ’r wiscaw mewn ystola gannaid : ac wy a ofnesont .
41:16:006:0	Ac ef a ddyuot wrthynt , Nac ofnwch : caisio ydd ych Iesu o Nazaret , yr hwn a grogwyt : e gyuodes , nyd yw ef yman : nycha y man lle y dodesent vvy ef .
41:16:007:0	Eithr ewch ymaith , a’ dywedwch y’w ddyscipulon , ac i Petr , ydd a ef och blaen i’r Galilaia : yno y gwelwch ef , megis y dyuot ef y chwi .
41:16:008:0	Ac wythe aethant allan ar ffrwst , ac a giliesont ywrth y vonwent : can ys‐dechryn ac irdang oedd ynthynt : ac ny ddywedesont ddim wrth nebun : can ys ofnesynt .
41:16:009:0	A’ gwedy adcyvody yr Iesu , y borae ( yr hwn ydoedd y dydd cyntaf o’r wythnos ) ef a ymðangoses yn gyntaf i Vair Vagdalen , o’r hon y bwriesei ef allan saith gythrael .
41:16:010:0	Hithe a aeth ac a ddyvot ir ei a vesynt y gyd ac ef , ac oeddent yn cwynovain ac yn wylo .
41:16:011:0	A’ phan glywsant y vot ef yn vyw , ac yddy hi y weled ef , ny chredesant .
41:16:012:0	Gwedy hyny , yr ymddangosawdd ef y ddau o hanynt mewn ffurf arall , a’ hwy yn gorymðaith ac yn myned i’r ’wlad .
41:16:013:0	Ac wy aethant ac a venagesont ir relyw o hanynt , and nyd oeddent yn ei credu vvy chvvaith . Yr Euangel ar ddydd y Derchavel .
41:16:014:0	¶ Yn ol hyny yr ymðangosoð ef ir vn ar ddec val ydd oeddent yn cydeistedd , ac a roes yn y herbyn am e ancrediniaeth a chaledwch ei calonnae can na’s credent yr ei y gwelsent ef , wedy gyvody .
41:16:015:0	Ac ef a ðyvot wrthwynt , Ewch ir oll vyt , a’ phrecethwch yr Euangel i bop creatur .
41:16:016:0	Yr hwnn a greto ac a vatyddier , a iachëir : eithr yr hwn ny’s cred , a vernir yn evavvc .
41:16:017:0	A’r arwyddion hynn a gynlyn yr ei a credant , Yn vy Enw i y bwriant allan gythraeliait , ac a ymadroddant a thavodae newyddion ,
41:16:018:0	ac a ddyrrant ymaith seirph , ac a’s yfant ddim marwol , ny wna niwet yddynt : ar y cleifion y dodāt ei dwylaw , ac wy a ant yn iach .
41:16:019:0	Velly wedy daroedd ir Arglwydd ymddiddan ac wynt , e ðerbyniwyt i vyny ir nef , ac a eisteddawdd ar ddeheulaw Duw .
41:16:020:0	Ac wy aethant rhacðwynt , ac a precethesont ympop lle . A’r Arglwydd a gydweithiawð ac wynt , ac a gadarnhaodd y gair ac arwyddion yn arganlyn , Amen .
