41:14:001:1	Pen . xiiij .
41:14:002:1	Yr Offeirieit yn ymgynllwyn yn erbyn Christ . Mair Magdalen yn
41:14:003:1	14 : 0
41:14:004:1	‡
41:14:005:1	enneinio
41:14:006:1	ir aw Christ . Bwyta ’r Pasc . Ef yn menegi o’r blaen am vrad Iudas . Ordinhat a’ ffurf cwynos ne super yr Arglwydd . Dalha Christ . Petr yn y wadu ef .
41:14:001:0	AR ben y ddau ddydd gwedy ydd oeð y Pasc , a’ gvvyl y bara croyw : a’r Archoffeirieit a’r gwyr-llē a geisiesont pa ffordd y dalient ef trwy ðichell yw ladd .
41:14:002:0	Eithyr dywedyt a wnaent , Nyd ar yr wyl , rac bot cynnwrf yn y popul .
41:14:003:0	A’ phan ytoedd ym-Bethania yn‐tuy Simon ’ohanglaf , ac ef yn eistedd wrth y vort , y deuth gwraic a chenthi vlwch o oleo spicnard gwerth‐vawr , a’ hi a dorawð y blwch , ac ei tywalldawdd am y ben ef .
41:14:004:0	Am hynny y sorawdd rei ynthynt ehunein , can ddywedyt , I pa beth y gwnaethpwyt y collet hyn ar oleo ?
41:14:005:0	obleit ef allesit ei werthu er mwy na thrichant ceiniawc , a’ ei roddy ir tlotion , ac wy a ddigiesont wrthei .
41:14:006:0	A’r Iesu addyvot , Gedwch yddi : paam ydd ych en hei molesty ? hi a weithiawdd weithred da arnaf .
41:14:007:0	Can ys cewch y tlodion gyd a chwi bop amser , a phan vynnoch y gellwch wneythy tvvrn da yddwynt , anyd myvi ny chewch bop amser .
41:14:008:0	Hyn y allawdd hon , hi a ei gwnaeth : hi a ddeuth ym‐blaen‐llaw y eliaw vy‐corph erbyn y claddedigaeth .
41:14:009:0	Yn wir y dywedaf wrthych , p’le bynac y precethir yr Euangel hon yn yr oll vyt , a’ hyn a wnaeth hon , a adroddir er coffa am denei .
41:14:010:0	Yno Iudas Iscariot , vn o’r dauddec aeth ymaith at yr Archoffeiriait , y’w vradychy ef yddwynt .
41:14:011:0	A’ phan glywsont hynny , llawen vu ganthwynt , ac a aðawsont roddi ariant ydd aw : am hyny y casiawð pa vodd y gallei yn gymmwys y vradychy ef .
41:14:012:0	A’r dydd cyntaf o’r bara croyw , pan aberthynt y Pasch , y dyvot ei ddiscipulon wrthaw , I b’le y myny i ni vyned a’ pharatoi , i vwyta ohanat y Pasc ?
41:14:013:0	Ac anvon awnaeth ddau oei ddiscipulon , a dywedyt wrthynt , Ewch ir dinas , ac e gyvwrð dyn a chwi yn dwyn ysteneit o ddwfyr , cynlynwch ef .
41:14:014:0	A’ ph’le bynac ydd el ef y mywn , dywedwch wrth ’wr y tuy , Yr Athro a ddywait , Pyle y mae ’r lletuy lle y bwytawyf y Pasc mi am discipulon ?
41:14:015:0	Ac ef a ddengys ychwy goruchystavell vawr , yn gywair ac yn parat : ynow paratowch y ni .
41:14:016:0	A’ myned ymaith o’i ddiscipulon , a dyvot ir dinas , a’ chaffael megis y dywedesei ef wrthynt , a’ pharatoi ’r Pasc a wnaethant .
41:14:017:0	Ac yn yr hwyr y deuth ef a’r deuddec .
41:14:018:0	Ac val ydd oeddent yn eistedd ac yn bwyta , y dyvot yr Iesu , Yn wir y dywedaf ychwi , mae vn o honawch a’m bradycha , yr hwn ys ydd yn bwyta gyd a mi .
41:14:019:0	A’ dechrae tristay a wnaethant , a’ dywedyt wrthaw o bop vn , Ai myvi ? ac o arall , Ai myvi ?
41:14:020:0	Ac ef atepodd ac a ddyvot yddwynt , Sef vn o’r dauddec yr hwn ys y ’n trochi gyd a mi yn y ddescil am bradycha .
41:14:021:0	Can ys Map y dyn a ymaith , mal ydd escrivenir o hano : anid gwae ’r dyn hwnw , trwy ’r hwn y bradychir Map y dyn : da vysei ir dyn hwnw na anesir ef er ioet .
41:14:022:0	Ac val ydd oeddent wy yn bwyta , y cymerth yr Iesu vara , a’ gwedy yddaw vendithiaw y tores , ac y rhoddes yddwynt , ac y dyvot , Cymerwch , bwytewch , hwn yw vy‐corph .
41:14:023:0	Ac e gymerth y cwpan , a’ gwedy iddaw ddiolch , ef ei rhoddes ydd‐wynt , ac wy oll yvesont o hanaw .
41:14:024:0	Ac ef a ddyvot wrthwynt , Hwn yw vy‐gwaet o’r Testament newydd , yr hwn ’ellyngir tros lawer .
41:14:025:0	Yn wir y dywedaf wrthych , nid yfaf mwy o ffrwyth y winwydden , yd y dydd hwnw ydd yfwyf ef yn newydd yn‐teyrnas Duw .
41:14:026:0	A gwedy yðynt ganu psalm , yð aethāt al’an i vonyth olyvar .
41:14:027:0	A’r Iesu a ddyvot yddwynt , Y nos hon ich rhwystrir oll o’m pleit i : can ys scrifenedic yw , Trawaf y bugail , a’ goyscerir y deuait .
41:14:028:0	Eithyr gwedy y cyvotwyf , ydd af o’ch blaen ir Galilaia .
41:14:029:0	Ac Petr a ddyvot wrthaw , a’ phe rhwystrit pawp , eithyr nyd myvi .
41:14:030:0	A’r Iesu a ddyvot wrthaw . Yn wir y dywedaf y ti , mae heddyw , ys ef y nos hon , cyn ny cano o’r ceiliawc ddwywaith , i’m gwedy dairgwaith .
41:14:031:0	Ac efe a ddyvot yn vwy o lawer , A’ phe gorvyddei arnaf varw gyd a thi , ni’th wadaf : ar vn ffynyt hefyt y dywedesont wy oll .
41:14:032:0	A’ gwedy y dywot wy i van a enwit Gethsemane : yno y dyvot ef wrth ei ðiscipulon . Eisteddwch yma , tra vyðwyf yn gweddiaw .
41:14:033:0	Ac ef a gymerawdd gyd ac ef Petr ac Iaco , ac Ioan , ac a ddechreuodd ofni , a’ brawychu ,
41:14:034:0	ac ef a ddyvot wrthwynt , Tra thrist yw vy enait , ys yd angae : Aroswch a’ gwiliwch .
41:14:035:0	Ac ef aeth ychydic pellach , ac a ddygwyddawdd , ar y ddaiar , ac a weddiawdd , pan yw a’s gellit , vynet o’r awr hono heibio y wrtho .
41:14:036:0	Ac ef a ddyvot , Abba Dad , pop peth ys ydd alluawl i ti : treigla ymaith y cwpan hwn ywrthyf : eithyr nyt hynn a vynwy vi , anid hynn a vynych di .
41:14:037:0	Ac ef a ddeuth ac ei cafas wy yn cyscu , ac a ðyvyt wrth Petr , Simon , Ai cyscu ydd wyt ? A ny ally‐t’ wyliaw vn awr ?
41:14:038:0	Gwiliwch , a’ gweddiwch , rac eich mynet ym‐provedigaeth : yr yspryt yn ddiau ’sy parat , anid cnawt ys y ’wan .
41:14:039:0	A’ thrachefyn yð aeth ymaith , ac y weddiawð , ac a ddyvot yr vn ymadrodd .
41:14:040:0	Ac gwedy ymchwelyt o hanaw , ef a ei cafas wy drachefyn yn cyscu : can ys ydd oedd eu llygait yn drymion , ac ny wyddent beth a atepent ydd‐aw .
41:14:041:0	Ac ef a ddeuth y drydedd waith , ac a ddyvot wrthwynt , Cyscwch weithian , a’ gorphoyswch : digō yw : e ddeuth yr awr : nycha , y rhoddir Map y dyn yn‐dwylaw pechaturieit .
