45:12:001:1	Christ binahjį' iiná ániidíii
45:12:001:0	Éí bąą shik'isóó, Diyin God nihaa a'ááh nízinígíí binahjį' t'áá nisoozį́į́ nít'éé' diyingo índa Diyin God t'áá néidooléłígi át'éego dahinohnáago bich'į' náá'ádadiyoołnihígíí baa nánihooshkąąh. Ákót'éego Diyin God bich'į' nahohłáago beełt'é. 
45:12:002:0	Nihokáá' bił nidahazt'i'ii bik'ehgo t'áadoo dahinohnání, nidi Diyin God nihíni' ániidí ánáyoodlíiłgo łahgo át'éego iiná ániidíii bee dahinohnáa le', áko Diyin God yee íinízinii nihił béédahózin doo. Jó, yee íinízinii éí nihá yá'át'ééh, áádóó t'áá bí bił yá'át'ééh índa hadaałt'éii át'é. 
45:12:003:0	Háálá Diyin God shaa jooba'go yee shik'ijidlíii binahjį' ánihidishní, Nihitahgóó t'ááłá'í nootínígo t'áadoo aláahgo ádaa nitsídaahkeesí doo, nidi t'ááłá'í nootínígo oodlą' áníłtsogi Diyin God nihaidiní'ánígíí bik'ehgo hazhó'ó ádaa nitsídaahkees doo. 
45:12:004:0	Ats'íís t'ááłá'íígíí bee hadilyaii lą'í nidi, t'áá ał'ąą át'éego nidaalnish. 
45:12:005:0	T'áá éigi át'éego azhą́ oodlání daniidlíinii niidlą'í nidi, Christ bił ats'íís t'ááłá'í daniidlį́įgo nihí ałdó' ahidiníłnáago ahił nideiilnish. 
45:12:006:0	Áko Diyin God bibee ajooba' nihaidiní'ánígíí bik'ehgo bee łahodit'éhee naanish bá danihi'diilzį'ígíí bídaniil'ą́ągo ánihiilaa, bíni'dii díí bindeiilnish. Diyin God bá hojilne' ládą́ą́', hwe'oodlą' áníłtsoígíí bik'ehgo hojilne' doo; 
45:12:007:0	áká aníjílwo' ládą́ą́', háni'dii áká aníjílwo' dooleeł; nazh'nitin ládą́ą́', háni'dii nazh'nitin dooleeł; 
45:12:002:1	Christ bik'ehgo iiná yee has'áanii
45:12:008:0	yá'át'éehii bee ayahozhniiłįįh ládą́ą́', yá'át'éehii bee ayahozhniiłįįh dooleeł; ni'jiniihii háni'dii hoł hadlee'go ni'jiniih le'; nazh'nit'áii háni'dii bízhneedlį́įgo nazh'nit'áa le'; jijooba'go aa a'ááh jinízinii háni'dii hoł nihoozhǫǫh le'.  
45:12:009:0	Ts'ídá haleebee ayóó'áda'ahíínóh'ní. Doo yá'át'éehii bik'ee dadinohniih le', yá'át'éehii t'éiyá yéego bąąh dashoojéé'. 
45:12:010:0	T'áá ła' ha'oojéé' k'ehgo ayóó'áda'ahíínóh'ní, nihił da'ílį́įgo náánáła' nihíláahdi ádaat'éego baa nitsídaahkees. 
45:12:011:0	T'áadoo ádadahodoołáhí; Níłch'i Diyinii nidanihiiłnáago Bóhólníihii bá nidaał'a'. 
45:12:012:0	Christ bíká nihił chodahoo'į́įgo nihił dahózhǫ́ǫ le', nihich'į' nidahwii'náago bich'į' hada'íínółní, t'áá áłahjį' sodadołzin. 
45:12:013:0	Diyin God bidiyį́į́' yídin danilíinii t'áadoo le'é bee bíká anídaahjah, niha'ałk'ee nídaakahígíí nihił danilį́į le'. 
45:12:014:0	Atídanihił'íinii bik'idajiinohdlíigo bá hadahohdziih; bik'idajiinohdlíigo t'áadoo deinóhdziihí. 
45:12:015:0	Bił dahózhóonii bił nihił dahózhǫ́ǫ le', yínííł nidaakaii bił daahcha. 
45:12:016:0	Aheełt'éego nitsídaahkeesgo hazhó'ó kéédahoht'į́. T'áadoo aghá'ádasidooł'áhí, nidi a'ohgo ádaat'éii bił naałdeeh. Ayóó ánísht'é lą́ą t'áadoo danohsiní. 
45:12:017:0	Nihich'į' doo yá'át'ééhgóó ádaaníiłii t'áadoo t'áá éí bee k'éédadohdle'é. Diné t'áá ałtso binááł bił yá'ádaat'éehii bee dahinohná. 
45:12:018:0	Bohónéedzą́ągo t'áá bídanooł'ánígi áníłtsogo diné t'áá ałtso bił k'é da'ahidoh'níigo kéédahoht'į́. 
45:12:019:0	Ayóó'ádanihósh'níinii, doo yá'át'éehii bee t'áadoo k'ééda'ahidoł'íní, nidi éí Diyin God t'óó báhádzidgo até'él'íinii baa dahidoh'aah. Háálá Diyin God bizaad bee ak'e'ashchíinii ání, K'ééhodidoo'níłígíí éí bee shóhólnííh, shí k'éédideesh'nííł, ní Bóhólníihii. 
45:12:020:0	Éí bąą ni'ana'í nilíinii dichin nilį́įgo ba'dííłtsoł; dibáá' nilį́įgo tó baa dííkááł, háálá ákónít'į́įgo bitsiit'áagi tsííd lą'í yéinitsi doo. 
45:12:021:0	Doo yá'át'éehii t'áadoo nihik'eh dadidlíní, nidi yá'át'éehii bee doo yá'át'éehii bik'eh dadohdlį́.
