45:8:001:1	Níłch'i Diyinii bee bóhólníihgo iiná
45:8:001:0	Éí bąą k'ad Christ Jesus bił łá'í dajílíinii ts'ídá t'áadoo bee há nidahót'áłí da. Éí doo ts'ísee k'ehgo áhwiinidzinii bik'ehgo dajíkáah da, nidi Níłch'i Diyinii bik'ehgo dajíkááh. 
45:8:002:0	Háálá Christ Jesus bee Níłch'i Diyinii bits'ą́ą́dóó iiná bibee haz'áanii éí bąąhági át'éii áádóó anoonééł bibee haz'áanii bits'ą́ąjį' shéidííchid. 
45:8:003:0	Háálá ła'da bee haz'áanii Mózes baa deet'áanii yik'eh hół'į́į dooleeł yę́ęgi ch'ééh ííł'ínígíí bąą bee haz'áanii doo yíneel'ánígíí Diyin God ła'yiyiilaa. Díí nahasdzáán bikáa'jį' t'áá bí biYe' yiníł'a'dą́ą́' nihí nihits'íís bąąhági át'éego bee neiildeehígíí nahalingo bits'íís yee níyá. Áko ádił nida'ayiilzíhígíí biniinaa daaztsą́ągo ádił ni'iidzííh ats'íís bii' hólóonii yá nihoní'ą́. 
45:8:004:0	Nihí ats'íís íinízinii bik'ehgo doo deíníikáahii, nidi Níłch'i Diyinii bik'ehgo deíníikáahii, bee haz'áanii áníinii bik'ehgo t'áá ákogi ádaniit'ée doo biniyé Diyin God biYe' yiníł'a'. 
45:8:005:0	Háálá ts'ísee k'ehgo áhwiinidzinii yik'ehgo dahináanii éí ts'ísee k'ehgo áhwiinidzinii bíni' danilį́, nidi Níłch'i Diyinii íinízinii yik'ehgo dahináanii éí Níłch'i Diyinii t'éiyá bíni' danilį́. 
45:8:006:0	Jó, ts'ísee k'ehgo nidzinii éí aniné nináhádleeh, nidi Níłch'i k'ehgo nidzinii éí iiná índa ach'į' hózhǫ́ nináhádleeh. 
45:8:007:0	Háálá ts'ísee k'ehgo nidzinii éí Diyin God ye'ana'í nilį́; éí Diyin God yee has'áanii doo yíhółníih da, t'áá aaníí doo óone' át'ée da. 
45:8:008:0	Áko ts'ísee k'ehgo dajiináanii Diyin God doo bił dahojíshǫ́ǫ le' át'ée da. 
45:8:009:0	Nidi Diyin God biNíłch'i Diyinii t'áá aaníí nihii' dahólǫ́ǫgo, ts'ísee k'ehgo doo dahinohnáa da doo, nidi Níłch'i Diyinii k'ehgo dahinohnáa doo. Diné ła'da Christ biNíłch'i Diyinii hwee ádingo éí doo Christ bíí' jílį́į da. 
45:8:010:0	Azhą́ ádił oodzíí' biniinaa nihits'íís daninée nidi, Christ t'áá aaníí nihiyi' hólǫ́ǫgo, ts'ídá t'áá ákogi ádanoht'é ádanihi'diilyaaígíí bąą Níłch'i Diyinii nihii' hólǫ́ǫgo dahinohná. 
45:8:011:0	Diyin God éí Jesus daaztsą́ą́dę́ę́' náábidiisáhígíí biNíłch'i Diyinii nihii' hólǫ́ǫgo, t'áá éí Christ Jesus daaztsą́ą́dę́ę́' náábidiisáhígíí biNíłch'i Diyinii bee nihits'íís dadínóonéełii ałdó' iiná yeididoo'ááł. 
45:8:012:0	Éí bąą shik'isóó, Níłch'i Diyinii k'ehgo dahinii'náa dooígíí bee nihąąh hadaaz'á, ts'ísee k'ehgo dahinii'náa dooígíí éí t'áadoo bee nihąąh haojíłí da. 
45:8:013:0	Háálá ts'ísee k'ehgo dahinohnáago ts'ídá dadínóohnééł, nidi ts'ísee k'ehgo naałdeehígíí Níłch'i Diyinii bee ts'ídá nahjį' nidasidoo'ą́ągo t'éiyá dahinohnáa doo. 
45:8:014:0	Jó, t'áá ádzíłtso Diyin God biNíłch'i Diyinii hoo'ishii éí Diyin God ba'áłchíní dajílį́. 
45:8:015:0	Háálá naalte' ídlį́į́jí bik'ee ił náánáyée'go nitsáhákeesii doo nídadooláa da, nidi Níłch'i Diyinii bee nihidi'neeszánígíí nídadiilyá; éí bee Ába, shiTaa', dadii'ní. 
45:8:016:0	Nihijéí tł'áahdi Níłch'i Diyinii t'áá bí nihiníłch'i ííłní, Diyin God ba'áłchíní danohłį́. 
45:8:002:1	Bee ił náhojǫǫłii ee hodooleełígíí
45:8:017:0	Áko ba'áłchíní daniidlį́įgo, ba'áłchíní yá dah yooléełii nihíí' dadooleeł, éí Christ bił ałts'ą́ą́' da'niilk'iiz doo. Christ bił ti'dahwii'nííh ládą́ą́' yee ayóó át'éii bił ałts'ą́ą́' da'niilk'iiz doo. 
45:8:018:0	Díí k'ad hoolzhishígíí biyi' bik'ee ti'dahwii'níihii Christ yee ayóó át'éii yee ił hóshóonii nihich'į' yit'íní íidoolíłígíí t'óó bił ahąąh nidoo'niłgi nidi doo yą́ą́h nilį́į da nisin. 
45:8:019:0	Háálá Diyin God ádayiilaii t'áá ałtso Diyin God ba'áłchíní yit'íní íidoolíiłgi t'áá íiyisí nidayólíigo yiba' ádaat'é. 
45:8:020:0	Háálá ádaalyaii éí t'áadoo ninádahadleehígóó bá hoo'a', doo t'áá bíniik'ehgo ádzaa da, nidi Diyin God t'áá bí bee bóhólníihgo ákót'éego áyiilaa. Ákondi bíká chohoo'į́, 
45:8:021:0	háálá Diyin God ba'áłchíní baa hózhǫ́ǫgo béédahideeshchidígi át'éego ádaalyaii dadidoołdziłígíí adiłdzid bits'ą́ą́dóó béédahididoochił. 
45:8:022:0	Jó, ádaalyaii t'áá át'é díí jį́įjį' ił hodiniih yik'ee nidadi'ni'go nihił béédahózin. 
45:8:023:0	Nidi ádaalyaii doo éí t'éiyá ákódaat'ée da, azhą́ nihí ałdó' Níłch'i Diyinii alą́ąjį' bee nihik'ihojisdli'ii nidi nidadii'ni'go, Diyin God t'áá bí ba'áłchíní ánihidoolíiłgo, nihits'íís doo bohodééłníígóó íidoolíłígíí biba' ádaniit'é. 
45:8:024:0	Éí bíká nihił chodahoo'ínígíí binahjį' yisdánihi'doo'nil. Jó, daat'ínígíí bíká nihił chodahoo'į́įgo éí doo ił chohoo'į́ wolyée da. Háálá t'áá íídą́ą́' joo'į́įgo ha'át'íishą' biniyé bíká hoł chonááhoo'į́į doo? 
45:8:025:0	Nidi t'ah doo deiiltséehii bíká nihił chodahoo'į́įgo t'óó biba' hada'ííníilní. 
45:8:026:0	T'áá ákót'éego ałdó' doo danihidziilígíí éí Níłch'i Diyinii nihíká análwo'. Háálá át'éegi sodidiilzįįłígíí áádóó bíká sodidiilzįįłígíí doo nihił béédahózingóó saad bee hadiidzihígíí nihee ádingo Níłch'i Diyinii t'áá bí t'áá íiyisí di'níigo nihá ná'ookąąh. 
45:8:027:0	Diyin God éí diné bijéí haisíidii éí Níłch'i Diyinii íinízinii bił bééhózin, háálá Níłch'i Diyinii éí Diyin God íinízinii bik'ehgo bidiyį́į́' yá ná'ookąąh. 
45:8:028:0	Diyin God ayóó'ádayó'níinii t'áá bí yinahaz'áanii bik'ehgo yíká ádííniidígíí bich'į' áhooníłígíí t'áá ałtso bá yá'át'éeh dooleełgo ahindaalnish áyósingo nihił béédahózin. 
45:8:029:0	Háálá Diyin God t'áá átséedi bił bééhózingo náyiizláa'ii biYe' yidanóolnin dooleełgo yinahaz'ą́, éí alą́ąjį' biYe' nilį́įgo bik'isóó danilíinii lą'í dooleeł biniyé. 
45:8:003:1	Christ Jesus binahjį' Diyin God bibee ayóó'ó'ó'níinii
45:8:030:0	Áádóó éí binahodziz'áanii ałdó' bíká ázhdííniid, áádóó bíká ázhdííniidii ałdó' ts'ídá t'áá ákogi ádaat'éego bá hadzoodzíí', áádóó ts'ídá t'áá ákogi ádaat'éego bá hadzoodzí'ígíí éí ałdó' ayóó ádaat'éego ádajiilaa. 
45:8:031:0	Kódaat'éhígíí bąą ha'át'íishą' dadidii'niił áko? Diyin God nihich'ijí nilį́įgo t'áadoo nihik'eshdódle'í da. 
45:8:032:0	Diyin God t'áá bí biYe' doo ánéísįįdgóó t'áá áníiltso nihá ninéidiní'ą́, da' doósh éí t'áá bił t'áá ałtsoní t'áá jíík'e nihaa yiiníił da doo? 
45:8:033:0	Diyin God atah yiyiizláa'go ba'áłchíní daazlį́į'ii háishą' t'áadoo le'é yee yik'i hodidoo'ááł? Diyin God yee' ts'ídá t'áá ákogi át'éego bá hahadziih! 
45:8:034:0	Háishą' nihaa nídóot'įįłgo nihá nihodoo'ááł? Christ yee' nihá daaztsą́, áádóó daaztsą́ą́dę́ę́' náábi'diilzáago k'ad Diyin God binish'náájígo dah sidá! Éí t'áá aaníí nihá ná'ookąąhii nilį́. 
45:8:035:0	Ákoshą', háí Christ ayóó'ánihó'nínígíí yits'ánihidoonił? Da' ach'į' nahwii'náásh? Da' tsístł'ah hazt'i'ísh, da' atí'él'į́į́sh, da' dichinísh, da' té'é'į́į́sh, da' náhádzidísh, da' diltłish bee nihi'diisyį́įgoósh? 
45:8:036:0	T'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego:Niniinaa shá bíighah nanihi'ditseed,dibé nidootsiłii nidahoniidlingo nihaa nitsáhákees.  
