45:1:001:1	K'é ha'níinii
45:1:001:0	Shí Paul, Jesus Christ yá naal'a'í nishłíinii, deesh'aałgo shíká áhodoo'niidii, Diyin God baa hane' yá'át'éehii baa hodeeshnihgo ats'áshiníłtį́. 
45:1:002:0	Díí hane' yá'át'éehii t'áá níléídę́ę́' Diyin God t'áá bí bizaad bee ak'eda'ashchíinii biyi'dóó yá dahalne'ii binahjį' kót'ée dooleeł níigo yee haadzíí'. 
45:1:003:0	Díí Diyin God biYe', Jesus Christ nihiBóhólníihii baa hane'. Éí David ba'áłchíní ahoolchíiłii bits'ą́ą́dóó diné dzizlį́į́'. 
45:1:004:0	Aláahgo jidiyinígíí bik'ehgo Diyin God biYe' jílį́įgo bee adziilii bee aninéédę́ę́' náázdiidzáhígíí bee hwééhoozin. 
45:1:005:0	Hó hwee, házhi' baa ha'niih doo biniyé Diyin God nihaa joozba'go nihi'dool'aad, áko ał'ąą dine'é t'áá ałtso bitahgóó hak'eh dahół'į́įgo nidahoyoodląąh doo. 
45:1:006:0	Éí bitahdi nihí ałdó' Jesus Christ bíí' dadoohłeełgo nihíká ádahodoo'niid.  
45:1:002:1	Paul éí ahééh nízingo sodilzin
45:1:007:0	Áko Romegi Diyin God ayóó'ánihó'níinii t'áá ánółtso Diyin God bidiyį́į́' dadoohłeełgo nihíká áhodoo'niidii nihich'į' ak'e'ashchí.Diyin God nihiTaa' áádóó Bóhólníihii Jesus Christ bibee ajooba' áádóó bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo. 
45:1:008:0	Áłtsé bee haasdziihígíí éí díí, Jesus Christ biniit'aa t'áá ánółtso shiDiyin God bich'į' nihaa ahééh nisin, háálá nahasdzáán bikáa'gi t'áá át'éé nít'éé' nihida'oodlą' baa dahane'. 
45:1:009:0	T'áadoo áhodiiszéhé danihííníshíigo nihá sodiszinígíí Diyin God shá bił bééhózin. Éí biYe' baa hane' yá'át'éehii baa hashne'go bee ádiih tsééskéezgo bá naash'a'. 
45:1:010:0	Diyin God íinízin ládą́ą́' t'áá ha'át'éhígoda k'ad índída nihaa deesháłígíí shá bohónéedzą́ íidoolíiłgo Diyin God bííníshkeedgo sodiszin. 
45:1:011:0	Háálá k'adę́ę danihiistsééh, Diyin God yee shik'ijidlíii ła' bee nihił hodeeshnihgo nihí ałdó' bee nihik'ihwiizhdoodliiłgo bee nihidziil dadoohłeeł nisin. 
45:1:012:0	Jó, éí nihí índa shí t'ááłá'í oodlą́ bee ahidiníłnáago hada'ahííníilníi dooleełígíí ááhdishní. 
45:1:013:0	Shik'isóó, lą'ídi nihaa deeshááł niizį́į́', nidi shidi'níltł'ago kǫ́ǫ́ hoolzhishígíí nihił béédahózin dooleeł nihósh'ní. Doo Jew dine'é danilíinii bitahgóó ła' da'oosdląądígi át'éego nihí ałdó' nihitahdóó ła' da'iidoodląął nisin. 
45:1:014:0	Gríik dine'é índa náánáłahdę́ę́' dine'é, dahóyáanii índa doo dahóyáanii shąąh hadeis'á. 
45:1:003:1	Hane' yá'át'éehii bibee adziilii
45:1:015:0	Éí bąą Romegi kéédahoht'íinii nihí ałdó' hane' yá'át'éehii bee nihił hodeeshnihii t'áá bíneesh'ánígi bee hasht'e'á'dííníszin. 
45:1:016:0	Háálá Christ baa hane' yá'át'éehii doo baa yánísin da; jó, éí Diyin God bibee adziilii bee yisdá'iildéehii da'oodlání t'áá ałtso bá át'é, Jew dine'é áłtsé, áádóó índa doo Jew dine'é danilíinii ałdó' bá át'é. 
45:1:004:1	Diné t'áá ałtso bąąhági ádaat'į́
45:1:017:0	Háálá adzoosdląądóó náásgóó ts'ídá oodlą' t'éí bee Diyin God t'áá ákogi ájít'éego há hahadziihgo hane' yá'át'éehii bee bééhoozįįh, t'áá Diyin God bizaad bee ak'e'ashchínígíí ánínígi át'éego, Ts'ídá t'áá ákogi ájít'éii hwe'oodlą' bee jiináa dooleeł.  
45:1:018:0	Háálá doo Diyin God k'ehgo ádaat'éii índa doo ákogi ádaat'íinii, doo ákogi ádajit'ínígíí bee t'áá aaníinii yaa ádadzósinii t'áá ádzíłtso éí yá'ąąshdę́ę́' Diyin God t'óó báhádzidgo bibee até'él'íinii yee hak'ijį' nilį́įgo bééhoozin, 
45:1:019:0	háálá Diyin God bee bééhózin dooleełígíí t'áadoo bahat'aadí hoł béédahózin. Jó, Diyin God t'áá bí ch'ééh hoł ííshją́ą́ áyósin. 
45:1:020:0	T'áá nahasdzáán áyiilaadóó wóshdę́ę́' bibee adziil doo ninít'i'ii índa yee diyinii doo yee yit'į́į da nidi, ádayiilaaígíí bee t'áadoo bahat'aadí baa ákohwiinidzin. Áko béé'ádahozhdilyáah dooleełígíí ts'ídá doo bohónéedzą́ą da. 
45:1:021:0	Jó, Diyin God béédahodzísingo éí hoł danilį́į doo nít'éé', nidi doo hoł danilį́į da, doo nidi t'áá k'ad hach'į' ahééh daniizį́į' da. Áko t'áadoo biniyéhígóó t'áá ádzaagóó nitsídaakees daazlį́į́', áádóó doo ádahalyą́ą́góó bíni' bił daatł'éé' daazlį́į́'. 
45:1:022:0	T'áá dahoniidzą́ daaníigo doo ádahalyáanii daazlį́į́'. 
45:1:023:0	Áko nihokáá' dine'é áádóó tsídii áádóó nidaaldlooshii índa nidaa'na'ii, díí danoonéełii bééda'jiidlaii éí Diyin God doo daatsaahii yee ayóó át'éii bił ałnádadziiznil.  
45:1:024:0	Díí biniinaa dabijéí yee adádanoolníigo baa'ihii bich'į' Diyin God ninábidiní'ą́ągo ahidiníłnáago ahaa naaldeehgo dabits'íís doo bił danilį́į da daazlį́į́', 
45:1:025:0	háálá Diyin God baa hane' t'áá aaníinii wooch'ííd bił ałnádadziznil, áko Diyin God ádayiilaaígíí bich'į' nidahojiłáago bá nidajil'a'. Í'iilaii éí doo daznízin da. Nidi bí éí hool'áágóó baa ha'niih doo! T'áá ákót'ée doo. 
45:1:026:0	Díí biniinaa ats'íís bidáhonooníinii baa yáhásinii yich'į' Diyin God ninábidiní'ą́. Áko asdzání éí diné bá ádabi'diilyaii, jó, asdzánída t'áá bí ahaa nináldeeh. 
45:1:027:0	T'áá ákót'éego ałdó' diné éí asdzání bá ádabi'diilyaii yóó'adeideez'ą́ągo, jó, t'áá bída ahaa nináldeehgo adáhonooní bi'niighą́ą́', diné t'óó baa yáhásinígi át'éego ahaa nináldeeh, áko t'áá bí nida'iisíhígíí yee até'él'į́ yą́ą́h danilį́įgo ádá dayókeed. 
45:1:028:0	Áko doo t'áá k'ad Diyin God jílį́įgo hwéédaasnii'ígíí biniinaa ts'ídá t'óó baa'ihgo nitsáhákees danilíinii índa doo ákǫ́ǫ́ ádahat'íinii yich'į' Diyin God nináhodiní'ą́. 
45:1:029:0	Áko doo ákwii ádaat'éii, na'ageh yee tsi'deíkáahii, doo yá'ádaashóonii, adáhonooní, nichxǫ́'íii t'áá ałtso hajéí bii' hééł daazlį́į́'. Ooch'į́į́d, diné naatseed, ahiní'diiltłáád, na'adlo' índa áká naat'á t'áá ałtso hajéí bii' daahééł daazlį́į́'. Aseezį́ t'éí dazhdiniidzį́į́', 
45:1:030:0	nichxǫ́'ógo aa yádajiłti', Diyin God bik'ee dazhdiniih, doo ts'ííd ádajít'ée da, ádaa deijódlí, ádaa dahoji'niih, doo yá'át'éhígi ádeeshnííł daznízin, hashchíinii doo bik'eh dahojíł'į́į da. 
45:1:031:0	Doo ádahojilyą́ą da, ałha'deet'ą́ dajiitííh, doo ayóó'ádajó'níi da, doo há nídahójǫǫh ádajít'ée da, áádóó doo dajijooba' da. 
