45:11:001:1	Diyin God éí Ízrel dine'é yaa jooba'
45:11:001:0	Áko na'ídíshkidgo ádíshní: Diyin God daats'í bidine'é yóó'iidíí'ą́? Ts'ídá dooda lą́ą! Jó, shí ałdó' Ízrel dine'é, Éíbraham bits'ą́ą́dóó ahoolchíiłii nishłį́, Bénjamin bidine'íígíí nishłį́. 
45:11:002:0	Diyin God bidine'é hodeeyá t'áá bítséedi néidiinilii doo yóó'iidíí'ą́ą da. Diyin God bizaad bee ak'e'ashchíinii Iiláíjah yaa halne'iísh doo nihił béédahózin da? Éí Ízrel dine'é baa yájíłti'go Diyin God níjookąąh yę́ędą́ą́' kózhdííniid, 
45:11:003:0	Bóhólníihii nílíinii, ná dahalne'ii yę́ę nideistseed,bikáá'dóó nich'į' nááda'iiniih nít'éé' yę́ę dayííłchǫ'.T'áá shí t'éiyá yisdziih,ákondi shinááda'niiłhį́.  
45:11:004:0	Nidi Diyin God éí Iiláíjah ha'át'íísh yidííniid? Jó ání,Diné tsosts'idi míilgo ałdó' ts'ídá t'ah doo e'elyaiiBéíyal wolyéii yich'į' nitsidadeegeehii t'áá shí ádá áásésįįd.  
45:11:005:0	Díí k'ad hoolzhishígíí biyi' ałdó' t'áá ákót'é. T'áá díkwííhí t'éiyá Diyin God bibee ajooba' bee yitah yiyiizláá'. 
45:11:006:0	Jó, Diyin God bibee ajooba' bee yitah yiyiizláa'go yá'át'éehgo ádajooníłígíí doo bee atah hwiizláa' da; éí doodaléi' yá'át'éehgo ádajooníłígíí beego éí Diyin God bibee ajooba' doo ajooba' át'ée da. Nidi yá'át'éehgo ádajooníłígíí bee atah hwiizláa'go éí Diyin God bibee ajooba' doo bee atah hwiizláa' da doo, éí doodaléi' yá'át'éehgo ádajooníiłii éí doo t'áá aaníígóó yá'át'éehgo ádajooníił da. 
45:11:007:0	Ákoshą' hait'é? Jó, Ízrel dine'é hádaat'íinii t'áadoo shódayoost'e' da. Diyin God atah yiyiizlá'ígíí t'éiyá shódayoost'e'; łahjį'ígíí éí doo da'diits'a' da daazlį́į́'. 
45:11:008:0	T'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego,Doo ak'ida'diitįįhgóó Diyin God ábiilaa;bináá' doo yee da'oo'į́į́góó,índa bijaa' doo yee ádahodiilts'a'góó áyiilaa.Dííshjį́į́góó ákóhoot'é, níigo ání.  
45:11:009:0	Áádóó David ałdó' ání:Bíni'dii bi'áda'azįįd łoh índa bee ódleehí yileeh,áádóó bíni'dii yik'ee dadigeehgo atíbi'dilnééh! 
45:11:002:1	Doo Jew dine'é danilíinii yisdá'iildééh bá hazlį́į́'
45:11:010:0	Bíni'dii doo da'oo'į́į da dooleeł biniyé bináá' ádaniłdįįh,áádóó t'áá áłahjį' bich'į' nidahwiiłnáanii bik'ijį' dandaaz le'.  
45:11:011:0	Áko nináá'ídíshkid: Da' Jew dine'ésh nida'iisíihgo biniinaa yaa dínéezdee'? Ts'ídá dooda lą́ą! Nidi nida'iisíhígíí biniinaa doo Jew dine'é danilíinii yisdá'iildééh bee hazlį́į́', Jew dine'é da'joołch'į́į́d dazhdooleeł biniyé. 
45:11:012:0	Jew dine'é nida'iisíhígíí biniinaa nihokáá' dine'éda bik'ihodzisdli', áádóó Jew dine'é ch'ééh da'oodląąhígíí biniinaa doo Jew dine'é danilíiniida bik'ihodzisdli', áko Jew dine'é da'oosdląądgo índa, nihokáá' dine'é t'ah biláhídi át'éego bik'idahojidlíi dooleeł. 
45:11:013:0	K'ad éiyá doo Jew dine'é danohłíinii nihich'į' yáshti': Doo Jew dine'é danilíinii bich'į' yil'aadii nishłį́įgo, naash'a'ígíí shił nilį́įgo íínísin. 
45:11:014:0	Áko t'áá ha'át'éhígoda shidine'é, Jew dine'é danilíinii, da'oołch'į́įdgo ádadeeshłíiłgo binahjį' yisdáhidookah nisin. 
