45:2:001:1	Diyin God ts'ídá t'áá ákogi át'éego ánihwii'aah
45:2:001:0	Éí bąą kwá'ásiní nílíinii, t'áá háiida náánáłahjį' diné baa nánít'į́įgo t'áadoo ách'ą́ą́h nidóótséhí da. Bee aa nánít'ínígíí t'áá éí bee ádá nihoyít'aahgo át'é, háálá bee aa nánít'íinii ts'ídá t'áá éí ałdó' baa naniná. 
45:2:002:0	Áko kót'éego ch'ét'ánígíí baa nidajikaii t'áá aaníígóó Diyin God há nihodoo'áałgo nihił béédahózin. 
45:2:003:0	Áko kwá'ásiní nílíinii, ákódaat'éii yaa nidaakaii bee baa nánít'į́įgo, da' ákondiísh ni ałdó' t'áá éí baa nanináago Diyin God yee atí'doolíiłii baa dáádideeshááł nínízin? 
45:2:004:0	Éí doodaléi' Diyin God bibee ajooba' índa yee ak'édí nilíinii áádóó nízaadgóó yee ha'ólníinii yee alááh neel'áanii daats'í t'áadoo nilínígóó baa nitsíníkees? Doósh nił bééhózin da, Diyin God naa jooba'go łahgo át'éego tsíńdííkosgo shich'į' dah nídidíídááł nízin? 
45:2:005:0	Nidi doo niníhóó'áhígíí bąą, áádóó doo łahgo ánáo'ne' ánít'éégóó bąą Diyin God t'óó báhádzidgo yee atí'doolííł bijį́įdi ts'ídá t'áá ákogi át'éego ánihwiit'aah yit'íní áyiilaadi t'óó báhádzidgo yee atínidoolíłígíí ádá hasht'e'nihidí'níiłgo át'é. 
45:2:006:0	Háálá t'ááłá'í jinítínígo ádajíít'įįdígíí bik'ehgo Diyin God hach'į' nidi'yoolééł. 
45:2:007:0	Áko hada'jólníigo yá'át'éhígi ádajooníłígíí bee aa ha'niih áádóó ił ídlį́ índa iiná doo ninít'i'ii t'áá hazááká bíká ádajit'ínígíí éí hool'áágóó jiináa doogo Diyin God haididoo'ááł. 
45:2:008:0	Nidi diné t'áá shí t'éí daznízinii áádóó t'áá aaníinii doo bik'eh dahojíł'íinii, nidi doo t'áá ákogi ádaat'éii bik'eh dahojíł'ínígíí éí Diyin God hach'į' hashké dínóodzįįłgo t'óó báhádzidgo atíhodoolííł. 
45:2:009:0	Nihokáá' dine'é t'ááłá'í jinítínígo doo aaníígóó ájít'íinii hach'į' nahwii'náa doo, áádóó ti'hojooníih doo, Jew dine'é nilíinii áłtsé, áádóó doo Jew dine'é nilíinii ałdó'. 
45:2:010:0	Nidi t'ááłá'í jinítínígo yá'át'éehgo ájooníiłii haa ha'niih doo, áádóó ił jílį́į doo, índa hach'į' hózhǫ́ǫ doo, Jew dine'é nilíinii áłtsé, áádóó doo Jew dine'é nilíinii ałdó'. 
45:2:011:0	Háálá Diyin God éí diné doo ła' a'ohgo yaa nitsíkees da.  
45:2:012:0	T'áá ádzíłtso bee haz'áanii Mózes baa deet'áanii doo hoł béédahózingóó bąąhági ádajíít'įįdii éí bee haz'áanii doo bee haa nídahódóot'įįłgóó dazhdínóonééł. T'áá ádzíłtso éí bee haz'áanii hoł béédahózingo bąąhági ádajíít'įįdii éí bee haz'áanii bee haa nídahódóot'įįł. 
45:2:013:0	Háálá bee haz'áanii yik'eh dahół'íinii t'éiyá ts'ídá t'áá ákogi ádaat'éego Diyin God bá hadoodzih, t'óó dazdiits'a'í t'éiyágo éí dooda. 
45:2:014:0	Doo Jew dine'é danilíinii éí bee haz'áanii Mózes baa deet'áanii doo bee dahólǫ́ǫ da, nidi t'áá bí ádaat'éhígíí bik'ehgo bee haz'áanii yida'ał'į́įgo t'áá bí ádá bee haz'áanii danilį́, azhą́ bee haz'ánígíí bee ádaadin nidi. 
