45:5:001:1	Ts'ídá t'áá ákogi é'ét'éego á ha'iidziih bineest'ą'
45:5:001:0	Éí bąą nihe'oodlą' bee t'áá ákogi ádaniit'éego nihá ha'oodzíi'go nihiBóhólníihii Jesus Christ bee Diyin God bił nihita'gi k'é náhásdlį́į́'. 
45:5:002:0	Jesus dahwiiniidlánígíí bee Diyin God nihaa jooba'ii biyi' dahoniidlǫ́ǫgo ánihijiilaa. Áko Diyin God bee haa ha'niihii ałts'ą́ą́' da'niilk'iiz dooleełígíí bíká nihił chodahoo'į́įgo t'áá íiyisí nihił dahózhǫ́. 
45:5:003:0	Índa doo t'áá éí t'éiyá ákót'ée da, nidi nihich'į' nidahwii'nánígíí ałdó' baa nihił dahózhǫ́, háálá éí bee hada'ííníilní bídahwiil'aahgo nihił béédahózin. 
45:5:004:0	Áádóó hada'ííníilní bídahwiil'aahgo nabídaneetą́ą'ii bee át'é dahiniidzįįh, áádóó éí bee nihił chodahoo'į́. 
45:5:005:0	Nihił chodahoo'ínígíí bee doo nihąąh nidahwiikaad da, háálá Níłch'i Diyinii nihaa deet'ánígíí Diyin God bibee ayóó'ó'ó'ni' nihijéí yii' haidééłbįįd. 
45:5:006:0	Háálá dziil t'ahdii nihee ádindą́ą́', ts'ídá Diyin God yee nihoní'ą́ąjį' ahoolzhiizhgo, doo Diyin God k'ehgo ádajít'éii há Christ daaztsą́. 
45:5:007:0	Jó, diné ts'ídá t'áá ákogi át'éii doo ła'da t'áá k'ad bá daaztsą́ą da, ákondi ła'da daats'í diné yá'át'ééh ááníiłii bá dazdootsaałjį' nidi, t'áadoosti'ee niná'ádizhdoot'ááł. 
45:5:008:0	Nidi t'ahdii bąąhági ááníiłii daniidlį́į́ nít'éé' yę́ędą́ą́' Christ nihá daaztsą́, éí bee Diyin God yee ayóó'ánihó'níinii nihił béédahózingo áyiilaa. 
45:5:009:0	Éí bąą k'ad bidił deezna'ígíí bee t'áá ákogi ádaniit'éego nihá ha'oodzíí', áádóó t'ah nááyówehgo Diyin God t'óó báhádzidgo bibee até'él'íinii bits'ą́ąjį' yisdánihizhdoonił. 
45:5:010:0	Háálá t'ahdii Diyin God bi'ana'í daniidlį́ yę́ędą́ą́' biYe' daaztsánígíí bee Diyin God bił k'é nída'ahidii'niidgo, k'ad bił k'é nídahidii'niidígíí t'áádóo nídí biYe' be'iina' bee yisdáhidiikah. 
45:5:002:1	Ádam áádóó Christ
45:5:011:0	Nidi doo t'áá éí t'éiyá da, nihiBóhólníihii Jesus Christ binahjį' ałdó' Diyin God bee nihił dahózhǫ́. Jó, Jesus hwee Diyin God bił k'é nída'ahidii'niid. 
45:5:012:0	Diné t'ááłazhdilt'éhígíí hwee nahasdzáán bikáa'gi ádił ni'iidzííh hazlį́į́'. Áko bąąhági át'éii bee aniné hazlį́į'go nihokáá' dine'é t'áá ałtso daniné silį́į́', háálá t'áá ádzíłtso ádił nida'dziisdzíí'. 
45:5:013:0	Diyin God yee has'áanii t'ah doo Mózes yeidee'aah yę́ędą́ą́' nahasdzáán bikáa'gi ádił ni'iidzííh hólǫ́, nidi bee haz'áanii ádindą́ą́' ádił ni'iidzííh doo ach'į' wólta' da nít'éé'. 
45:5:014:0	Azhą́ diné doo Ádamgi át'éego Diyin God yich'į' da'asziih da nidi, Ádam hiná yę́ędóó Mózes hiná yę́ęjį' aniné bóhólníihgo hoolzhiizh. Ádam éí Jesus yígháhígíí bijíłt'éego diné t'áá ałtso bá dzizį́į́ nít'éé'. 
45:5:015:0	Ákondi t'áá jíík'e Diyin God ainíláii éí Ádam doo ákǫ́ǫ́ áát'įįdii doo bił aheełt'ée da, háálá Ádam doo ákǫ́ǫ́ áát'įįdii biniinaa diné t'óó ahayóí dadínéezná, nidi diné t'ááłá'íígíí Jesus Christ biniit'aa t'ah aláhídi át'éego diné t'óó ahayóí Diyin God baa joozba'go t'áá jíík'e yisdábíínilgo bee ajooba' bilááh néés'ąąd. 
45:5:016:0	Áádóó diné t'ááłá'í Ádam wolyéego ádił asziihígíí áádóó Diyin God t'áá jíík'e ainíláhígíí éí ał'ąą át'é. Háálá t'ááłá'í doo ákǫ́ǫ́ áát'įįdígíí biniinaa diné bá nidahwiit'aah, nidi lą'í doo ákǫ́ǫ́ ádáát'įįdígíí Diyin God baa níjoozba'go t'áá jíík'e ainíláii bee doo bidahodiit'i'góó yá hahadziih. 
