1:24:001:1	A Bride for Isaac
1:24:001:0	Now Abraham was old , advanced in age ; and the Lord had blessed Abraham in every way .
1:24:002:0	Abraham said to his servant , the oldest of his household , who had charge of all that he owned , “ Please place your hand under my thigh ,
1:24:003:0	and I will make you swear by the Lord , the God of heaven and the God of earth , that you shall not take a wife for my son from the daughters of the Canaanites , among whom I live ,
1:24:004:0	but you will go to my country and to my relatives , and take a wife for my son Isaac . ”
1:24:005:0	The servant said to him , “ Suppose the woman is not willing to follow me to this land ; should I take your son back to the land from where you came ? ”
1:24:006:0	Then Abraham said to him , “ Beware that you do not take my son back there !
1:24:007:0	The Lord , the God of heaven , who took me from my father’s house and from the land of my birth , and who spoke to me and who swore to me , saying , ‘To your descendants I will give this land , ’ He will send His angel before you , and you will take a wife for my son from there .
1:24:008:0	But if the woman is not willing to follow you , then you will be free from this my oath ; only do not take my son back there . ”
1:24:009:0	So the servant placed his hand under the thigh of Abraham his master , and swore to him concerning this matter .
1:24:010:0	Then the servant took ten camels from the camels of his master , and set out with a variety of good things of his master’s in his hand ; and he arose and went to Mesopotamia , to the city of Nahor .
1:24:011:0	He made the camels kneel down outside the city by the well of water at evening time , the time when women go out to draw water .
1:24:012:0	He said , “ O Lord , the God of my master Abraham , please grant me success today , and show lovingkindness to my master Abraham .
1:24:013:0	Behold , I am standing by the spring , and the daughters of the men of the city are coming out to draw water ;
1:24:002:1	Rebekah Is Chosen
1:24:014:0	now may it be that the girl to whom I say , ‘Please let down your jar so that I may drink , ’ and who answers , ‘Drink , and I will water your camels also’—may she be the one whom You have appointed for Your servant Isaac ; and by this I will know that You have shown lovingkindness to my master . ”
1:24:015:0	Before he had finished speaking , behold , Rebekah who was born to Bethuel the son of Milcah , the wife of Abraham’s brother Nahor , came out with her jar on her shoulder .
1:24:016:0	The girl was very beautiful , a virgin , and no man had had relations with her ; and she went down to the spring and filled her jar and came up .
1:24:017:0	Then the servant ran to meet her , and said , “ Please let me drink a little water from your jar . ”
1:24:018:0	She said , “ Drink , my lord ” ; and she quickly lowered her jar to her hand , and gave him a drink .
1:24:019:0	Now when she had finished giving him a drink , she said , “ I will draw also for your camels until they have finished drinking . ”
1:24:020:0	So she quickly emptied her jar into the trough , and ran back to the well to draw , and she drew for all his camels .
1:24:021:0	Meanwhile , the man was gazing at her in silence , to know whether the Lord had made his journey successful or not .
1:24:022:0	When the camels had finished drinking , the man took a gold ring weighing a half-shekel and two bracelets for her wrists weighing ten shekels in gold ,
