52:2:001:1	Paul Thesalonáíka hoolyéedi hane' yá'át'éehii yaa nahasne'
52:2:001:0	Nihik'isóó danohłíinii , nihił béédahózingo doo t'áadoo biniyéhígóó nihaa niikai da .
52:2:002:0	T'ah doo nihaa niikááh yę́ędą́ą́' Fílipaidi ti'dahwiisii'nii' áádóó t'óó baa yáhásinígi ádanihi'diilyaago nihił béédahózin . Ákondi nihiDiyin God bee doo dasiiti'góó Diyin God bits'ą́ą́dóó hane' yá'át'éehii bee nihił dahwiilne' , azhą́ nihik'ijį' danilíinii lą'í nidi .
52:2:003:0	Háálá nidanihiniitingo éí doo yooch'ííd át'ée da , baa'ihii doo biniyé ádeiit'įįd da , índa doo bee nihinda'iidlo'ii át'ée da .
52:2:004:0	Nidi Diyin God nihee lą́ asłį́į'go hane' yá'át'éehii baa nidahwiilne'go yee nihaa dzoozlíí' . Áko diné t'éiyá t'óó bee hoł dahoniilzhǫ́ǫ dooleełígíí éí dooda , nidi Diyin God nihijéí nayínítaahii bił dahoniilzhǫ́ǫ dooleeł biniyé bee yádeiilti' .
52:2:005:0	Háálá nihił béédahózingo hádą́ą'da doo t'óó łídanihidiilchíigo saad nizhóníii , doodaii' saad bee adáhonooníinii doo bee nihich'į' yádeiilti' da nít'éé' , éí Diyin God nihá bił bééhózin .
52:2:006:0	Áádóó nihí índa náánáła' t'áá háiida yee nihaa dahaniih dooleełii doo biniyé ádeiit'įįd da . Azhą́ Christ bííł'aadii daniidlį́įgo t'áá ha'át'íhída nihí deíníikeed doo nít'éé' nidi , t'áadoo ákódeiidzaa da .
52:2:007:0	Nidi nihaa niikai yę́ędą́ą́' nihá ádahwiinít'į́'ígo nihitaa siikai , t'áá amá ba'áłchíní yaa áhályánígi át'éego nihitaa deiikai nít'éé' .
52:2:008:0	Áko Diyin God bits'ą́ą́dóó hane' yá'át'éehii bee nihił nidahosiilne' , nidi doo díí t'éiyá da , nidi ayóó'ádanihííníi'níigo bąą nihá niná'ádadiyeet'ą́ , háálá áhánígo nihik'éí dasoolį́į́' .
52:2:009:0	Nihik'isóó danohłíinii , yéego nidashiilnishígíí áádóó naanish nihííghą́'ígíí béédaałniih ! Diyin God bits'ą́ą́dóó hane' yá'át'éehii bee nihił nidahosiilne'dą́ą́' , doo nihaa naanish nihighą́ą da doo biniyé jį́įgo áádóó tł'ée'go t'áá nihí ák'inideiilnish nít'éé' .
52:2:010:0	Oodlání danohłíinii , dadiniigingo áádóó ts'ídá t'áá ákogi ádaniit'éego índa t'áadoo nihik'i dahodiit'aahí nihitah nideiikaigo bee nihéédahonohsin , Diyin God ałdó' nihá bił bééhózin .
52:2:011:0	Nihił béédahózingo azhé'é ba'áłchíní yich'į' yáłti'ígi át'éego t'ááłá'í noozínígo chánah danohłį́įgo nihik'éédahosiiltaa' , índa ádanihidii'niid ,
52:2:012:0	Diyin God t'áá bí bee bóhólníihgo bił haz'áanii índa yee ayóó át'éii bił ałts'ą́ą́' da'nołk'iiz doo biniyé nihíká áhodoo'niidígíí bą́ą́h da'nohłį́įgo dayínóhkáah le' .
52:2:013:0	Áádóó díí ałdó' t'áá áłahjį' Diyin God bich'į' baa ahééh daniidzin , éí Diyin God bizaad nihits'ą́ą́dóó dasidoots'ą́ą́' yę́ędą́ą́' doo nihokáá' dine'é bizaad át'éego nídadooláa da , nidi t'áá aaníí Diyin God bizaad át'éego deisoohdląądgo k'ad nihindaalnish .
52:2:014:0	Nihik'isóó danohłíinii , Judíyagi Diyin God dayoodláanii áłah nídaadleehii , Christ Jesus yił łá'í danilínígíí doo yá'át'ééhgóó bich'į' ádahóót'įįdígi át'éego nihí ałdó' ákódanihi'diilyaa . Éí Jew dine'é ti'dahwiyoosnii'ígi át'éego nihí ałdó' t'áá nihí nihidine'é ła' ti'danihiyoosnii' .
52:2:015:0	Jew dine'é éí Bóhólníihii Jesus dayiisxį́ , áádóó t'áá bí bidine'é Diyin God yá dahalne'ii deiníłtseed , áádóó nihí ałdó' ti'danihiyoosnii' . Áko Diyin God doo yił dahóóshǫǫd da , áádóó diné t'áá ałtso yits'ą́ą́jí danilį́ .
52:2:002:1	Paul éí da'oodlání Thesalonáíkagi áłah nádleehígíí baa náádzódza' laanaa nízin
52:2:016:0	Doo Jew dine'é danilíinii yisdádookah biniyé hane' yá'át'éehii bee bił dahwiilne'ígíí nidi nihits'ą́ą́' deiníłtł'ah ! T'ááłáhígi át'éego nida'iisíihgo yaa deíkááh . K'ad índa Diyin God t'óó báhádzidgo bibee até'él'íinii ts'ídá hak'ijį' silį́į' ni .
52:2:017:0	Nihik'isóó danohłíinii , nihíyee' azhą́ t'óó kónízahíjį' ałts'áhaakai nidi , t'áá áłahjį' nihijéí tł'ááhdę́ę́' nihaa nitsídeiikees . Dooládó' nihídin dasiidlį́į' da ! Náádanihiidiiltséełgi haleebee bindahosiit'ą́ !
52:2:018:0	Ákót'é bąą t'áá íiyisí t'áá nihaa diikah daniidzį́į́' . Shí Paul lą'ídi ákwíiniizį́į́' , nidi níłch'i bida'iiníziinii binanit'a'í Séítan wolyéii nihineestł'ah .
52:2:019:0	Háálá Bóhólníihii Jesus Christ náánádzáago bidááhdóó deiidzį'go ha'át'íishą' bee nihił chodahoo'į́į doo ? Ha'át'íishą' baa nihił dahózhǫ́ǫ doo ? Ha'át'íí naat'á ch'ah shį́įshą' baa nihił nidahoozhǫǫh doo ? Da' doósh nihí da ?
52:2:020:0	Nihí lą́ą , bee nihaa ha'niihii índa bee nihił dahózhóonii nihá danohłį́ !
