52:1:001:1	K'é ha'níinii
52:1:002:1	Thesalonáíkagi da'oodlání kéédahat'ínígíí bida'oodlą' dabidziil áádóó yá'át'éehgo deíkááh
52:1:001:0	Shí Paul áádóó Silvéínas índa Timothy , Thesalonáíkagi oodlání danilíinii áłah nádleehígíí , éí Diyin God aTaa' nilíinii áádóó Bóhólníihii Jesus Christ bíí' danilíinii bich'į' naaltsoos ádeiilnééh : Diyin God áádóó Bóhólníihii Jesus Christ bibee ajooba' áádóó bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo .
52:1:002:0	T'áá áłahjį' danihííníijíigo sodadiilzingo Diyin God bich'į' t'áá ánółtso nihaa ahééh daniidzin .
52:1:003:0	Nihe'oodlą' binahjį' baa nidaahkaígíí áádóó ayóó'ó'ó'ní bee deínółníshígíí índa hada'íínółníigo nihiBóhólníihii Jesus Christ bee nihił chodahoo'ínígíí nihiDiyin God nihiTaa' binááł t'áá áłahjį' nihéédeiilniih .
52:1:004:0	Nihik'isóó , Diyin God ayóó'ánihó'níinii , Diyin God atah nihiizláa'go nihił béédahózin .
52:1:005:0	Háálá hane' yá'át'éehii bee nihił dahwiilne'ii doo t'óó saad t'éí át'ée da , nidi Níłch'i Diyinii bibee adziilii bee nihidziilgo índa ts'ídá t'áá aaníinii át'éego baa ákodanoodzį́į'go bee nihił dahwiilne' . Nihá yá'át'ééh biniyé nihitahgi bee nisiidzį́į́ nít'ée'ii nihił béédahózin .
52:1:006:0	Áko nihida'oł'į́ dasoolį́į́' , Bóhólníihii ałdó' bida'oł'į́ dasoolį́į́' , háálá łą́ą́dę́ę́' nihich'į' nidahwii'náa nidi , Níłch'i Diyinii bee nihił dahózhǫ́ǫgo saad nídadoolá .
52:1:007:0	Áko Masedóniyagi índa Akéya hoolyéegi oodlání danilíinii t'áá ałtso bikéé' deíkáahii dasoolį́į́' .
52:1:008:0	Háálá nihits'ą́ą́dóó Bóhólníihii bizaad adahideezdláád , doo Masedóniyagi índa Akéya hoolyéegi t'éiyá da , nidi Diyin God deinohdlą́ągo baa dadzíínóhłíhígíí t'áá ałtsogóó baa dahóóne' . Áko nihí t'áadoo bee hanáádaodziihí da .
52:1:009:0	Háálá nihí nihaa niikai yę́ędą́ą́' t'áá íiyisí nihich'į' k'é danohdzin nít'ée'ii éí diné t'áá ałtso yee nihaa nidahalne' , áádóó eda'alyaii bits'ą́ąjį' Diyin God bich'į' ninánohkaigo Diyin God hináanii índa t'áá aaníí nilíinii bá nidaał'a'go yee nihaa nidahalne' .
52:1:010:0	Índa Diyin God biYe' daaztsą́ą́dę́ę́' néidiisáii yá'ąąshdę́ę́' nídoodáłígíí biba' ádanoht'éego ałdó' yee nihaa nidahalne' . Jó , Diyin God t'óó báhádzidgo bibee até'él'íinii yee atí'doolíiłgo bich'į' hoolzhishígíí bits'ą́ąjį' Jesus yisdánihiinííł .
