52:4:001:1	Diyin God iiná yaa bił hózhóonii
52:4:001:0	Áádóó nihik'isóó , Bóhólníihii Jesus bee nidanihiniitingo nihiyadahoniidlįįhgo nídanihiikąąh , éí Diyin God bił dahonohshǫ́ǫgo dayínóhkáah dooleeł biniyé nihits'ą́ą́dóó bídahooł'ą́'ígi át'éego dayínóhkáhígíí t'ah biláhídi yá'át'éehgo dayínóhkáah le' .
52:4:002:0	Háálá Bóhólníihii Jesus bee nihá dahwiil'a'ii nihił béédahózin .
52:4:003:0	Diyin God nihá íinízingo diyingo ádanihidi'doolníiłgo na'ageh bee tsi'na'adá bits'ą́ąjį' áda'díínółzin doo .
52:4:004:0	Índa diné danohłíinii , dadíínóhsingo asdzání baa dahonohsą́ągo niheda'asdzą́ą́ ádaahłe' ,
52:4:005:0	doo Jew dine'é danilíinii Diyin God doo yéédahósinii ádaat'ínígi át'éego t'óó ałdáhonooní t'éí biniyé ádaaht'į́įgo éí dooda .
52:4:006:0	Áko kwe'é nahazt'i'gi diné ła' bik'is yaa'dólééł lágo , háálá ákódaat'íinii Bóhólníihii atíbidoolíłígíí t'áá bítséedi hazhó'ó bee nihida'ayeelnii' ni' .
52:4:007:0	Diyin God éí baa'ihgo dahinii'náa dooleełígíí doo yiniyé nihíká ádííniid da , nidi diyingo dahinii'náa dooleeł biniyé nihíká ádííniid .
52:4:008:0	Éí bąą diné ła' díí na'nitin doo jiniizį́'ígíí éí diné doo jinízinii doo éí át'ée da , nidi Diyin God doo jiniizį́į́'góó át'é . Jó , Diyin God t'áá bí biNíłch'i Diyinii nihaidii'aah .
52:4:009:0	K'ad Christ bee nihik'is danilíinii ayóó'ádeínóh'níi doogi doo ła' bee nihich'į' ak'e'ashchíi da , háálá ayóó'áda'ahíínóh'níi doogo Diyin God t'áá íídą́ą́' nanihineeztą́ą́' .
52:4:010:0	Áko Masedóniyagi t'áá át'éé nít'éé' Christ yee nihik'isóó danilíinii t'áá ałtso ayóó'ádeínóh'ní . Nidi nihik'isóó danohłíinii , t'ah náábíláhídi ádaaht'į́į doogo baa nídanihiikąąh .
52:4:011:0	T'áá bee nidanihineetą́ą'ii bik'ehgo hasht'ehodít'éego dahinohnáa dooígíí bídahooł'aah , áádóó t'áá nihí nihídadéét'i'ii baa ádahołyą́ , índa t'áá nihí ák'inidaałdzil doogi bidadoołkaal .
52:4:002:1	Bóhólníihii náádoodááł
52:4:012:0	Áko doo da'oodlání danilíinii binááł t'áadoo nihinda'adlo'í dahinohná , áádóó t'áadoo bee nihich'į' anáhóót'i'í da dooleeł .
52:4:013:0	Nihik'isóó danohłíinii , daneeznáanii éí t'áá nihił béédahózin doo danihííníi'ní , áko ła' ił chohoo'į́ bee ádaadinii yínííł danilínígi át'éego doo yínííł biih dínóohdah da .
52:4:014:0	Háálá Jesus daaztsáanii náádiidzáago deiniidlą́ , áko Jesus bii' dahojílǫ́ǫgo da'jiiłhaazhígíí ałdó' Diyin God éí Jesus bił dah náhodidoo'ish .
52:4:015:0	Díí Bóhólníihii bizaad bee ádanihidii'ní , t'ah t'áá kǫ́ǫ́ dahinii'nánígíí Bóhólníihii nádzáago da'oodlání daneeznáanii ts'ídá doo t'áá bítsé dah didiikah da .
52:4:016:0	Háálá Bóhólníihii t'áá bí yá'ąąshdę́ę́' hadahooleełgo ayóó íits'a'go hadoodzih , áádóó aláahgo diyingo naal'a'í biinéé' índa Diyin God bidilní ayóó íits'a'go didoots'į́į́ł . Áko Christ dayoodlą́ągo daneeznáanii áłtsé náábidi'dooljah ,
52:4:017:0	áádóó índa nihokáa'gi t'ah dahinii'nánígíí éí da'oodlání náábi'diiljée'ii bił wót'ááhgóó dah diikaigo k'os biyi'jį' Bóhólníihii bidááh diikah , áko índa hool'áágóó áádóó ahóyéel'áágóó Bóhólníihii bił dahoniidlǫ́ǫ doo .
52:4:018:0	Éí bąą díí saad bee ahił dahołne'go bee hada'íínółní .
