22:4:001:1	Iiyehii éí yá'iiyehii yaa haniih
22:4:001:0	Ayóó'ánósh'níinii, nízhóní yee' jó'akon, nízhóní yee'; ninii' bich'ą́ą́h naníbaalígíí biníkáajį' hasbídí yinílnáá'; nitsii' éí Dził Gíliyad binániijį' tł'ízí shijé'ígíí nahalin. 
22:4:002:0	Dibétsa'ii ániid tádadoogizhgo áádóó táádaasgizgo índa t'áá ałtso naakií nidayiishchį́įgo t'áadoo ł a' háá'éel daígíigi át'éego niwoo' łigai. 
22:4:003:0	Nidaa' éí bee ná'álkadí łichxí'ígíí nahalin; nizéé' hózhónígo yáníłti'. Nítł'ahdóó t'áá ałch'ijí éí ninii' bich'ą́ą́h naníbaalígíí bine'dę́ę́' tsin bineest'ą' pámgrenit wolyéhígíí ałníí'dóó aháágizhígíí nahalin. 
22:4:004:0	Nik'os éí David bikin yaa'áago bee na'abaahii bá hooghan ályaii nahalin; éí tł'óó'dę́ę'go naagé t'ááłáhídi mííl éí diné dahayóii binaage' t'áá ałtso dah dahidínil. 
22:4:005:0	Nibe' t'áá á łah éí jádí yázhí naakií yizhchíinii tł'éé' iigahí yitahgóó na'ałchozhígíí nahalin. 
22:4:006:0	T'ah doo e'e'aahgóó, t'ah doo chaha'oh iildóóhgóó tsin bijeeh łikání halchinii mir wolyéii dził bił daní'áágóó índa tsin bijeeh łikání halchinii fránkinsens wolyéii bił dah daask'idgóó deeshááł. 
22:4:007:0	Ayóó'ánósh'níinii, t'áá íiyisí nízhóní yee'; nizhiin nidi ádin. 
22:4:008:0	Dził Lébanandę́ę́' shił yí'ash doo. Bá'deeshxehii nílíinii, Dził Lébanandę́ę́' shił yí'ash doo. Dził Amána bighą́ą́'dóó áádóó Dził Sénir índa Dził Hérman naaznilígíí bighą́ą́'dóó dídíit'įįł; náshdóítsoh bitsiijį' ditł'ooígíí dabi'áándóó índa náshdóíłkiizh éí dził yąąh nidaakaídóó dídíit'įįł. 
22:4:009:0	Shilah índa bá'deeshxehii nílíinii, yéego shijéí hidíníłnáá'; t'ááłáhídi adeesgalígíí bee índa t'ááłá'í niyo'ígíí bee yéego shijéí hidíníłnáá'. 
22:4:010:0	Shilah índa bá'deeshxehii nílíinii, dooládó' bee ayóó'áshííní'níinii nizhóní da; wáin biláahgo dooládó' bee ayóó'áshííní'níinii yá'át'éeh da, áádóó łikání dahalchinii spáis wolyéii t'áá ałtso biláahgo dooládó' ne'ak'ah łikání halchinii aláahgo łikání halchin da. 
22:4:011:0	Bá'deeshxehii nílíinii, yáníłti'go nidaa' bąąhdę́ę́' tsés'ná bitł'izh nahidilch'ą́ą́ł nahalin. Tsés'ná bitł'izh índa abe' nitsoo' biyaagi hólǫ́. Ni'éé' éí Dził Lébanandóó gad áhálchinígi áhálchin. 
22:4:012:0	Shilah índa bá'deeshxehii nilíinii dá'ák'eh bich'ą́ą́h dá'deelkaalii nahalin. Tó háálínígíí índa tó ha'niłhoshgi bidá'deedléézh nahalin. 
22:4:013:0	Nits'ą́ą́dóó hadaneesánígíí éí tsin pámgrenit bineest'ą' ayóó ádanóolninii bił yíl'á. Héna éí spáíknard wolyéhígíí bił yíl'á. 
22:4:014:0	Ch'il spáíknard áádóó sáfran índa kálamas daolyéii áádóó tsin sínaman bitát'ahí índa tsin fránkinsens t'áá ałtso áádóó tsin mir daolyéii índa tsin shih silį́į'ii álooz wolyéii éí spáis aláahgo át'éii łikání dahalchingo dahoní'áii t'áá ałtso bił ałtahgo yíl'á. 
22:4:015:0	Dá'ák'ehdóó tó háálíinii áádóó tó doo ádįįhii índa Dził Lébanandę́ę́' tó ch'ínílínígíí nahonílin. 
22:4:016:0	Náhookǫsdę́ę́' níyol nílíinii, ch'éénídzííd; shádi'ááhdę́ę́' shidá'ák'ehdóó łikání dahalchinii spáis wolyéii honí'áa doo biniyé shidá'ák'eh bich'į' díyóół. Háni'dii ayóó'óósh'níinii bidá'ák'ehgi yah iigháahgo tsin bineest'ą' ayóó ádahalniihii yiyą́ą dooleeł.
