47:8:001:1	Pen . viij .
47:8:002:1	Wrth esempl y Macedonieit , A’ Christ y mae ef yn cygori i barhau i gymporth y Sainct tlodion , Gan ganmawl yðyn ddechreu yn dda . Gwedy hyny mae ef yn gorchymyn Titus a’i gydymddeithion yddwynt .
47:8:001:0	YDd ym ni hefyt yn espesu ywch , vroder , y rhat Duw a roðwyt i Ecclesi Macedonia ,
47:8:002:0	cāys ym‐mawr brovedigeth gorthrymder yr amylhaoð y llawenyð hwynt ai l’wyr eithaf dlodi a amylhaodd y’w eheaeth haelioni .
47:8:003:0	Can ys yn ei gallu ( ddwy ’n testiolaethu ) ac uchlaw ei gallu , ydd oddent yn ’wyllysgar ,
47:8:004:0	ac a weddiesant arnam a mawr ervyn ar dderbyn o hanam y rrat , a’ chymddeithas y weinidogaeth ysydd ir Sainctæ :
47:8:005:0	A’ hyn a vnaethant vvy , nyd mal ydd oeðem ni yn edrych am danaw : any y rhoi y hunain yn gyntaf ir Arglwydd , ac yno y ninheu gan ewyllys Duw ,
47:8:006:0	er bot i ni annoc Titus , pan‐yw yddaw val y dechreawð , velly ac yddo ’orphen yr vnryw rat yn eich plith chvvi hefyt .
47:8:007:0	Can val ydd ych yn amylhau ym‐pop dim , yn ffydd a’ gair , a’ gwybodaeth , ac ym‐pop astudrwydd , ac yn eich cariat i ni , bot i chvvi yr vn modd amylhau yn y rhat hyn hefyt .
47:8:008:0	Ny ddywedaf hyn wrth ’orchymyn , anyd o bleit astudrwydd ’rei eraill : am hyny ydd wyf , yn provi rywiowgrwydd eich cariat .
47:8:009:0	Can ys adwaenoch rat ein Arglwydd Iesu Christ , ’sef am iddo ac ef yn gyvoethawc , vynet er eich mwyn chwi yn dlawt , val can y dlodi ef y cyfoethogit chwi .
47:8:010:0	Ac ydd wyf yn ddangos vy meddwl yn hyn ; can ys da vyddei hyn ychwi , yr ei a ddechreusoch nyd yn vnic gwneuthur , anyd hefyt wyllysyavv , er es blwyðyn .
47:8:011:0	Ac yr awrhon gorphenwch wneuthy ’d hyny hefyt , val megis ac ydd oedd awydd y wyllysyavv , velly bot y‐chwy hefyt eu o’rphen o hynn ’sy genych .
47:8:012:0	Can ys a’s bydd yn gyntaf ’wyllysgarwch , cymradwy yw erwyð yr hyn ’sy gan ddun , ac nyd erwydd yr hyn nyd yw gantho .
47:8:013:0	Ac nyd yvv er esmwytho ar eraill , a’ch gorthrymu chwitheu .
47:8:014:0	Eithr dan yr vn ambot , bot y pryt hyn ’ich helaethrwydd chwi ddivvallu y eisieu hwy , val y bo hefyt y helaethrwydd hwy tu ac at eich eisieu chwi , val y bo cymmedroldep :
47:8:015:0	megis y mae yn escrivenedic , Yr huun a gasclavvdd lawer , nyd oedd gantho vwy , a’r huun a glascavvdd ychydic , nyd oedd gantho lai .
47:8:016:0	Ac y Dduw y bo’r diolvvch , yr hwn a ðodes yn‐calon Titus yr vnryw ’ofal y trosoch .
47:8:017:0	Cā iddo gymeryd yr eiriol , and ydd oedd ef mor astud ac ydd aeth oi vodd yhun yd atoch .
47:8:018:0	A’ ni a ddanvonesam hefyt y gyd ac ef y brawd , rhwn s’y a moliant iddo yn yr Euangel trwy’r oll Ecclesi ,
47:8:019:0	( ac nyd hyny yn vnic , eithr hefyt ef a ddywyswyt gan Ecclesidd yn gydymddeithvvr y‐ni erwydd y rhat hyn a wasanaethwyt genym er gogoniāt yr vnryw Arglwydd , ac amlygiat eich ewyllysgarwch chvvitheu )
47:8:020:0	gā ymochelyd hyn , rac y neb veio arnam yn yr helaethrwydd yma rhyn a wasanaethir genym ,
47:8:021:0	yr ei ddym yn racparatoi petheu sybervv , nyd yn vnic rac bron yr Arglwydd , an’d hefyt rac bron dyniō .
47:8:022:0	Ac anvonesā y gyd ac wynt ein brawt , yr hwn a brovesam yn vynech o amser y vot yn ddiwyt , yn llawer o betheu , ac yr owrhon yn ddiwytiach o lawer , am y mawr ymddiriet ’sy genyf ynoch .
47:8:023:0	Neu a’s gofyn neb am Titus , efe yvv vy‐cyfaill a’ chydweithydd tu ato‐chwi : neu am ein brodur , y maent yn gennadae yr Ecclesidd , ac yn ’ogoniant Christ .
47:8:024:0	Can hyny dangoswch tu ac yddynt wy , a’ rac bron yr Ecclesi brovedigeth o’ch cariat , ac o’n gorvoledd ’sy cenym o hanoch .
