47:10:001:1	Pen . x .
47:10:002:1	Mae ef yn cyhwrdd a’r gauprophwyti , ac yn amddeffen y awdurdot ef , gan y hanoc hwynt i vvyðdot . A’ mae yn dangos pa yw y veddiant ef . A’ pha wedd y mae yn ei arfer .
47:10:001:0	WEithion mi vi Paul ’atolygaf ywch er gwarder a’ chymesurdap Christ , yr hwn vvrth vot wydd‐yn‐gwydd yn eich plith , vvyf ddiystyr , ac yn absen yr wyf yn hyderus arnoch :
47:10:002:0	A’ hyn archaf , na ’orvid ym vot yn hyderus pan ytwyf presentol , a’r vn ryw ymddiried . ac ydd wyf yn meddwl bot yn hyderus ar ryw ’r ei , y sawl ’sy in cymeryd ni , val pe rhodiem erwydd y cnawt .
47:10:003:0	A’ chyd bom yn rhodio yn y cnawt , er hyny nyd ym yn rhyfelu erwydd y cnawt .
47:10:004:0	( Can ys arvae ein milwriaeth nid ynt cnawdol , anyd nerthoc drwy Dduw , y vwrw cayrydd ir llawr )
47:10:005:0	can vwrw i lawr ddychymygion , a’ phob vchelbeth a dderchefir yn erbyn gwybodaeth Duw , a’ chan gaethiwo pop meddwl i vvyðdawt Christ ,
47:10:006:0	a’ chenym yn parot y ddiale ar bop anuvyðdot , gwedy cyflanwer eich uvydd dot chwi .
47:10:007:0	A edrychw‐chwi ar betheu erwydd golwc ? A’s ymddiriet neb yntho yhun y vot ef yn perthyn i Christ , ystyried hyn drachefn am dano ehū , cā ys val y mae e yn perthyn i Christ , ac velly ydd ym nine yn perthyn i Christ .
47:10:008:0	O bleit pe’s ffrostiwn beth mwy am ein awdurtot , yr hwn a roes yr Arglwydd y ni er adailad , ac nyd er dinistrad y’wch , ny chywilyddiaf .
47:10:009:0	Dyvvedyt ydd vvyf hyn rac bot im tybiet megis ichofni chwi a llythyrae .
47:10:010:0	Can ys llythyrae , medd ef , ’sy drymion a’ chedyrn , eithyr ei gorpholeth gydrychiol ys gwan yvv , a’i ymadrodd ’sy ddielw .
47:10:011:0	Tybiet y cyfryw vn val hyn , mae’r vn ryvv rei ac ydym yn‐gair trwy lythryae , a ni yn absent , y cyfryw rei vyddvvn hefyt yn‐gweithret a’ ni vvydd‐yn gwydd .
47:10:012:0	Can ys na vaiddiwn ymgynwys , nau ymgyffelypu a ryvv rei ys y yn eu canmol yhvnain : eithyr nyd yyn yn dyal’ eu bot yn mesuro vnain wrthyn y vnain , ac yn cyffelypu y vnain ac yn hwy y vnain .
47:10:013:0	Eithyr nyd ymhoffwn ni am betheu , nyd yyn o vewn ein mesur , anyd erwydd mesur y Reol , rhon y rhanawdd Duw i ni hei mesur y ymgyrhaeddyd ac yd atoch .
47:10:014:0	Can nad ym ni yn ymestyn y tuhwnt in mesur , vegis pe na’s ymgyraeddesem yd atoch : can ys ac ato‐chwi y daetham ni dan precethu Euāgel Christ ,
47:10:015:0	nyd yn ymffrostio o petheu divesur i ni : ’sef am dravaelion rei eraill : a’ gobeithiwn , gwedy ’r angwanego eich ffydd , gael ein mawrygu genny‐chwi erwydd ein rheol yn ehelaeth ,
47:10:016:0	ac i mi Euangelyavv yn y gvvledydd hyny yr ei sy y tu hwnt y chwi : nyd y ni y ymhoffy yn rheol vn arall , sef yn y petheu gwedy y paratoi eisioes .
47:10:017:0	Eithyr yr hwn a ymhoffo , ymhoffed yn yr Arglwydd .
47:10:018:0	Can ys nyd yr hwn y canmol y hunan , ys ydd gymradwy , anyn yr hwn y mae ’r Arglwydd yn ei ganmol .
