47:12:001:1	Pen . xij .
47:12:002:1	Y mae yn ymhoffi yn ei gymeriat , Eithr yn bennaf yn ei uvyðdot , Ac yn dodi achos ei ymffrostiat ar y Corinthieit . Mae yn dangos ddaed ei ewyllys ef yddwynt . Ac yn addaw dyvot atwynt .
47:12:001:0	NYd lles y mi yn ddiau ymhoffy : cā ys dauaf ar weledigaethae a’ datcuddiedigaetheu yr Arglwydd .
47:12:002:0	Mi adwaen ddyn yn‐Christ er ys rhagor i bedair blynedd ar ddec , ( pa vn oedd ai yn y corph , ny wn , ai allan o’r corph , ny wn : Duw a wyr ) yr hwn a gymerwyt‐y‐vynydd yd y drydedd nef .
47:12:003:0	A’ mi adwaen gyfryw ddyn ( ai yn y corph , ai allan o’r corph , ny wn : Duw a wyr )
47:12:004:0	y gymeryd ef y vynydd i Paradwys , ac iddo glybot geiriae andywedadwy , yr ei nyd rrydd i ddyn ei llavaru .
47:12:005:0	O’r cyfryw vn yr ymhoffaf , o hanof vyhun nyd ymhoffaf , oddieithr o’m gwendidæ .
47:12:006:0	Can ys pe ’s ymhoffwn , ny vyddwn ynvyt : can ys dywedaf y gwirionedd , eithr eiriachaf , rac y neb dybiet am danaf uch law hyn a wyl vod ynof , neu a glyw genyf .
47:12:007:0	A’ rrac tra ymdderchafael o hanof gan arbenigrwydd y datguddiegaethae , e roddwyt i mi bingyn yn y cnawt , cenad Satan im cernodio , rac tra ymdderfafæl o hanof .
47:12:008:0	Am y peth hwn mi a atolygais yr Arglwyð dairglwaith , ar vot iddo ymadael a mi .
47:12:009:0	Ac ef a ddyvot wrthyf , Digon yti vy rhat i : can ys vy‐nerth i a berffeithir trwy wendit . Llawē iawn gan hyny yr ymhoffaf vi yn hytrach yn vy‐gwendidæ , val y trico nerth Christ ynof .
47:12:010:0	Can hyny ydd ymddigrifha vi yn‐gwendidæ , mewn amparchion , mewn anghenion , yn ymlidiae , yn‐cyfyngderæ er mwyn Christ : can ys pan wyf wan , yno ddwyf gadarn .
47:12:011:0	Ynfyd oeðwn ymffrostio : chwichwi am cympellawð : can ys dylyeswn i gahel vy‐canmol genychwi : can ys yn‐dim nyd oeddwn iselach na’r gwir bennaf Apostolion , cyd nad wyf ddim .
47:12:012:0	Arwyddion Apostolieit a weithredwyt yn ych plith chwi gā vawr ammynedd , gan arwyddion , a’ rhyveðodae , a’ nerthoc‐weithredoedd .
47:12:013:0	Can ys pa beth yw , ar oeddechvvi yn iselach nac Ecclesidd eraill , odieithr na vum ðiogswrth‐arnoch ? maddeuwch i mi hyn o gamvvedd .
47:12:014:0	Wely , y drydedd waith vyvi yn parot y ddyvot atoch , ac eto ny byðaf-ðiog‐ormesol‐arnoch : can na cheisiaf yr pethe sydd yddoch , anyd chvvychwi : can na ðylyei y plant cascly da ir tadeu , anyd y tadeu ir plant .
47:12:015:0	A’ myvi yn llawenaf olla draulia , ac a ymdrauliaf dros eich eneidieu : cyd po vwyaf ich caraf , lleiaf im cerir .
47:12:016:0	Eithr bid na phwyseis arnoch : er hyny can vy‐bot yn gall mi a’ch delhiais a dichell .
47:12:017:0	A hudais i chwi am ych da drwy neb or ei a ddanvonais atoch ?
47:12:018:0	Mi ddesyfais ar Titus , a chyd ac ef yd anvonais vrawt : a hudodd Titus chwi am ddim och da ? any rodiesam yn yr vnryw yspryt ? any rodiesam yn yr vn ryw lwybrae ?
47:12:019:0	Trachefn , a dybygwchvvi may ymgusodi ydd ym ni wrthych ? ydd ym yn dywedyt rac bron Duw yn‐Christ . Eithyr gvvneuthur ydd ym bop peth , vygcaredigion , er adailadaeth i chwi .
47:12:020:0	Can ys ofny ’rwyf rac pan ðelwyf , na’ch caffwy yn gyfryw rei ac a vynnwn : ac im ceffir inheu y chwitheu yn gyfryw vn ac ny vynnech , a’ rrac bot ymryson , cenivgenu , digofein cynnenneu , goganeu ymhustingeu , ymchwyddo ac ancydvot .
47:12:021:0	Mae arna vi ofn rrac pan ddelwyf drachefn , vot i’m Duw vyngestwng yn eich plith , a’ dwyn galar dros lawer yr ei a bechasant eisius , ac ny chymeresont ediueirwch am yr aflendit , a’r godinep , a’ nwyfiant , a wnaethant .
