47:7:001:1	Pen . vij .
47:7:002:1	Eu heiriol y mae ef gan addeweidion Duw yd cadw y hunain yn bur , Gan eu diogelu am ei gariat arnyn , Ac nyd yw yn escuso galeted ei awdurtot tu ac atynt , anyd ymhoffi wrthaw , gan ystyried pa vudd a ddaeth ywrth hyny . Am ddauryw
47:7:003:1	*
47:7:004:1	drymvryd
47:7:005:1	dristit .
47:7:001:0	WEithion can vot i ni yr a ddeweidion hyn , vy‐garedion , ymgarthwn y wrth oll vrynti y cnawt ac yspryt , gan ymgwplau i saincteiddrwydd yn ofni Duw .
47:7:002:0	Derbyniwch ni : ny wnaetham gainvvedd i nebun : nyd anreithiasem nebun : ny siomesem nebun .
47:7:003:0	Nyd er ech barnedigaeth y dywedaf : can ys rac ddywedais , ych bot chwi yn ein calonheu ni , y gyd varw a’ byw .
47:7:004:0	Y mae hyfder vy ymadrodd wrthych : y mae genyf ’orvoledd mawr ynoch : im cyflawnir o ddiddanwch , ac ydd wyf yn dra llawen yn ein oll orthrymder .
47:7:005:0	Can ys gwedy ein dyvot i Vacedonia , ny chai ein cnawd ni ddim llonydd , eithr in gorthymid o bop parth , gan ymladdae oddy allan , ac ofnion oddy mywn .
47:7:006:0	Eithr Duw , yr hwn a ddiddan yr ei cystuddedic , a’n diddanawdd ni gan ddyvodiat Titus :
47:7:007:0	ac nyd gan y ddyvodiat ef yn vnic , anyd hefyd y gan y diddanwch y diðenit ef genychwi pan venagawð ef i ni eich awyddvryd chwi , eich galar , eich anwylserch i mi , mal y llawenhawn yn vwy o lawer .
47:7:008:0	Can ys cyd tristeais i chwi a llythyr , nyd edivar yw genyf , cyd byðei ediuar genyf : can ys gweled yddwyf ddarvot ir llithyr hwnw ych tristau chwi , cyd bei any tros amser .
47:7:009:0	Yr awrhon yr wy’n llawē nyd can ich tristëit chwi , anyd am ych tristau i edweirwch : canys tristau a wnaethoch yn ðuwiol , val na chawsoch enwed yn‐dim y genym ni .
47:7:010:0	Can ys duwiol dristit a bair edeuerwch er iechydvvrieth diedivarus : eithr bydol dristit a bair angeu .
47:7:011:0	Cāys wely , hyn yma am ðuwiol dristau o hanoch , pa astudrwyð ei veint a weithioð ynoch : anyd pa amðeffen : anyd pa gilwc : anyd pa ofn : anyd pa ’oglyd : anyd pa wynvyd : anyd pa ddial : ac ym pop peth yr ymðangosasoch ych bot yn pur yn y devnyð hwn .
47:7:012:0	Er wyð paā , er scrivenu atoch , nyd scrivennais oi bleit ef yr hwn a wnaethoedoedd y camvvedd , nac o bleit yr hwn a gafas y camvvedd , and er bod y gofal tu ac atoch chwi yngolwc Duw yn eglur y chwi .
47:7:013:0	Am hyny in diddanit ni , achos ych diddanyad chwi : eithr llawenach o lawer mwy oeddem ni am lawenydd Titus , can lonni y yspryt ef genwch ’oll .
47:7:014:0	Can ys a’s ffrostiais ðim wrthaw am danoch , ny’m cywilyddiwyt : eithr megis y dywedeisam wrthych bop dim yn‐gwirionedd , velly hefyt ydd oedd ein ffrost ni wrth Titus yn gywir .
47:7:015:0	Ac y may y galondit ef yn helaethach tu ac atochvvi , pan goffaeych vvyðdot chwi oll , a’ pha wedd gyd ac ofn ac echryn yd erbyniesoch ef .
47:7:016:0	Am hyny llawen wyf can i mi allu ymddiried ynoch ym‐pop dim .
