47:3:001:1	Pen iij .
47:3:002:1	Cymeryd y mae ef yn esempl ffydd y Corinthieit yn brouedigaeth o’r gwirionedd a precethawdd ef . Ac y dderchafu y Apostoliaeth ef yn erbyn colffrost y gau Ebestyl . Y mae ef yn cyffelypu rhwng y Ddeddyf a’r Euangel .
47:3:001:0	A Ddechreuwn ni ymganmol drachefn ? ai rait i ni val i eraill , wrth epistolae canmoliāt atochvvi , neu lythyræ canmoliant y genwch ?
47:3:002:0	Ein epistol ni ydyw‐chwi , yn escrivenedic yn ein calonae , yr hwn a ddyellir ac a ddarllenir gan bawp dyn ,
47:3:003:0	can ys eglur ydych , y vot yn epistol Christ , a wasanaethwyt genym ni , ac a yscrivenwyt , nyd a duy , amyn ac Yspryt y Duw byw , nyd yn lleche mainyn eithr yn‐cnawdol leche y calon . Yr Epistol y xij . Sul gwedy Trintot .
47:3:004:0	A’ chyfryw ymddiriet ’sy genym trwy Christ ar Dduw :
47:3:005:0	nyd erwyð ein bot yn aðas o hanam ein hunain , y veddwliet dim , megis o hanam ein hunain : eithyr ein addasdap ni ysydd o Dduw .
47:3:006:0	Yr hwn hefyt a’n gwnaeth ni yn weinidogion digonol i’r Testament newydd , nyd yn vvenidogion ir llythyren , amyn ir Yspryt : can ys y llythyren a ladd a’r Yspryt a rydd vywyt .
47:3:007:0	Ac ad yw y wenidogeth angeu wedyr yscrivennu a llythyrennæ ai ffurfiaw ym‐mainin , vot yn‐gogoniantus , mal na allai plant yr Israel edrych yn wynep Moysen , can ’ogoniāt ei wynepryd ( rhwn ’ogoniant a ddilewyt )
47:3:008:0	pa wedd na bydd gweinidogeth yr Yspryt ym‐mwy o ’ogoniant ?
47:3:009:0	Can ys a bu gweinidogeth barnedigaeth yn‐gogoniantus , mwy o lawer y rhagora gweinidogaeth cyfiawnder yn gogoniant .
47:3:010:0	Can ys yr hyn ac ’ogoniantwyt , ny ’ogoniantwyt yn y rhan hon , sef a berthyn ir gogoniant trarhagorawl .
47:3:011:0	O bleit a’s hynn a ddilëid ymaith , oedd yn‐gogoniantus , mwy o lawer y bydd hyn a erys , yn ogoniantus .
47:3:012:0	Velly can vot genym gyfryw ’obeith , ydd ym yn arver o ymadrodd mor hyderus .
47:3:013:0	Ac nyd ym ni mal Moysen , yr hvvn a ddodei gudd ar ei wynep , rac y blant yr Israel edrych ar ðiben yr hyn a ddilëid .
47:3:014:0	Am hyny y caledwyt y meddwl hwy : can ys yd y dydd heddyw y mae’r llen‐gudd honno yn aros heb hi ymatguð wrth ddarllen yr hen Testament , yr hon yn‐Christ a dynir ymaith .
47:3:015:0	Eithyr ac yd y dydd heðyw pan ddarllenir Moysen , y dodir y llen‐gudd ar ei calonæ wynt .
47:3:016:0	Er hyny pan ymchoeler ei calon at yr Arglwyð , y tynnir ymaith y llen‐gudd .
47:3:017:0	Weithian yr Arglwydd yw’r Yspryt , a’ lle mae Ysprit yr Arglwydd , yno ymay rhyðdit .
47:3:018:0	Eithyr edrych ydd ym ni oll megis mewn drych ar ’ogoniant yr Arglwydd ac wynep ymatgudd , ac in newidir ni ir vnryw ddelw , o ’ogoniant i ’ogoniant , megis y gan Yspryt yr Arglwydd .
