47:9:001:1	Pen . ix .
47:9:002:1	Achos dyuodiat Titus ef ai gymddeithion atynt wy . Mae et yn eiriol rhoi elusen yn dirion , Gan ddangos pa ffrwyth a ddaw o hyny .
47:9:001:0	CAn ys tuac at am y weinidogeth ir Saintæ , afraid yw i mi scrivenu atoch .
47:9:002:0	Can ys adwaen eich ewyllysgarwch chwi , ’rhwn ydd wyf yn ymffrostio am danoch wrth yr ei o Macedonia , gan ddyvvedyt , bot Achaia gwedi hi pharatoi er ys blwyddyn , ach awyddvryd chwi a annogodd lawer .
47:9:003:0	A’ mi a ddanvoneis y broder , rac y ein gorvoeð ni am danoch vot yn over , yn y rhan hon , val ( vegis y dywedaisym ) y boch parot :
47:9:004:0	rac a’s y Macedonieit a ðawā gyd a mi , a’ch cahel chwi yn amparot , yno bot i ni nyd wy ’n dywedyt vot y chwi gael cywilyð yn yr hyderus ’orvoledd hyn veuvi .
47:9:005:0	Erwyð paam mi a dybiaisvod yn angenrait annoc y brodur y ddyvot yn y blaen atoch , a’ chwplau eich bēdith rac ðarparedic , a’ bot yn parat , a’ ddyuot megis o vendith , ac nyd megis o gympel’ .
47:9:006:0	A’ hyn bid ich cof , may hwn a heua yn eiriachus , a ved hefyt yn eiriachus , a hwn a heuo yn ehelaeth , a ved hëfyt yn ehelaeth .
47:9:007:0	Megis y damuno pop dun yn ei galō , velly may iddo roi , nyd yn athrist neu wrth yr ing : cans Duw a gar roðiawdr tirion .
47:9:008:0	Ac y mae Duw yn abl y beri ir oll rat amylhau arnoch , val y bo ywch ac oll ddigonoldeb genych ym‐pop dim , allu amylhau ym‐pop gweithret da ,
47:9:009:0	megis y mae yn scrivenedic , Ys tanodd ef ar lled a ’rhoddes ir tlodion : ei giried ef a erys yn oes oesoedd .
47:9:010:0	Hefyt yr hwn a bair had ir heuwr , a bair eisioes vara yn ymborth , ac a liosoca eich had , ac a āgwanega ffrwyth eich ciried , val o bop rā ich cyuoethoger y bop calondit‐dda ,
47:9:011:0	yr hyn a weithia trwyddom ni ddiolvvch y Dduw .
47:9:012:0	Can ys gwenidogeth y y gwasanaeth hwn nyd yw yn vnic yn cyflanwy angēreidiae ’r Saintæ , anyd y mae hefyt yn aml gan ddyolch llaweroedd y Dduw ,
47:9:013:0	( yr ei wrth broviad y weinidogaeth hon a volant Dduw dros eich cydsynniol ymddarostwngedigaeth ir Euangel Christ , a’ thros eich dibrin gyfraniat yðynt wy , ac y bawp oll )
47:9:014:0	a’ chan ei gweddi trosoch , gan ych deisyfu chwi yn vawr , am yr ardderchawc‐rat Duw ’sy ynoch .
47:9:015:0	Ac y Dduw bo’r diolvvch dros ei antraethawl ddawn .
