47:5:001:1	Pen . v .
47:5:002:1	Paul yn myned rhacddaw y venegy y budd a ddaw y wrth y
47:5:003:1	*
47:5:004:1	groes
47:5:005:1	groc . Pa wedd y ddylyem ni ymparatoi yddei . Drwy bwy , Ac er pa dervyn . Ef yn espesu am rat Christ , A’ swydd gweinidogion yr Eccles , a’r oll ffyddlonion .
47:5:001:0	CAn ys gwyddam pe a’s ein dayarol duy y pebyll hyn a ddinistrir , vot i ni adailat vvedy roddi gā Duw , nid amgen , tuy nyd o waith llaw ddyn , anyd tragyvythawl yn y nefoedd .
47:5:002:0	Can ys am hyny ydd ym yn vcheneidiaw , gan ddeifu cael ein gwisco a’n tuy , rhwn’syð or nef .
47:5:003:0	O bleit a’s gwiscir‐ni , ny’n ceffir yn noethion .
47:5:004:0	Can ys yn ddiau nyni’r ei ’sydd yn y pebyll hynn , ydym yn vcheneidio , ac yn llwythoc , can nad wyllysem ein diosc , anyd cahel ymwiscaw am danom , val y darllyncid marwolaeth gan vywyt .
47:5:005:0	A’ hwn a’n creawdd ni i’r peth hyn ydy Duw , yr hwn hefyt a roddes y‐ni ernes o yr Yspryt .
47:5:006:0	Am hyny ydd ym bop amser yn hyderus , cyd gwypom mae tra ydym gartref yn y corph , eyn bot yn ymddeith ywrth yr Arglwydd .
47:5:007:0	( Can ys wrth ffydd y rhodiwn , ac nyd wrth ’olwc )
47:5:008:0	er hyny ydd ym yn hyderus ac a vynnem yn hytrach ysmutaw allan o’r corph , a’ thrigiaw y gyd a’r Arglwydd .
47:5:009:0	Am hyny hefyt y chwenychem , a ni yn trigo gartref ac yn mudo o ddygartref , vot yn gymradwy ganto ef .
47:5:010:0	Can ys dir yw y ni oll ymðangos geyr bron brawdle Christ , val yd erbynio pop vn y petheu a vvnaethpvvyt yn ei gorph , erwydd yr hyn a wnaeth , pa vn bynac ai da ai drwc .
47:5:011:0	Velly can y ni wybot ofnhad yr Arglwydd , ydd ym yn peri y ddynion gredu , ac in eglurhawyt i Dduw , ac yddwy yn gobeithio hefyt ddarvot ein egluraw ni yn eich cydwybodae chvvi .
47:5:012:0	Can nad ym yn ymganmol drachefn wrthych , anyd rhoddy ywch achos gorvoledd am danom , val y caffoch beth y atep yn erbyn yr ei ’sy ai gorvoledd yn yr wynep , ac nyd yn y galon .
47:5:013:0	Can ys pa vn bynac ai ampwyllo ydd ym , y Dduw ydd ym : ai ynteu bot yn ein iavvnpwyll , y chwi ydd ym .
47:5:014:0	Can ys cariat Christ a’n cympell : can y ni varnu val hyn , o bleit a’s bu vn varw trosam bavvp oll yno ys meirw oeddynt oll ,
47:5:015:0	ac ef vu varw dros bavvp oll , val y bo ir ei byw , na vyddant vyw rhac llaw yðyn y hunain , anyd i hwn a vu varw drostwynt , ac a adgyvodes .
47:5:016:0	Ac velly , ar ol hyn nyd ym yn adnabot nebun erwydd y cnawt , a’ chyd adnabysem ni Christ erwydd y cnawt , er hynny o hyn allan nyd ym yn y adnabot ef mwy .
47:5:017:0	Can hyny a’d oes nebvn yn‐Christ , byddet ef yn creatur newydd . Yr hen betheu aethan heibio : wely , yr oll petheu sy wedy gwneuthur o newydd .
47:5:018:0	A’r oll petheu ynt o Dduw , hwn a’n cysiliawdd ni yddo ehun , trwy Iesu Christ , ac a roddes i ni weinidogeth cysiliat .
47:5:019:0	Can ys Duw ytoedd yn Christ , ac a gysiliawdd y byt yddo yhun , eb liwio yddynt ei pechotae , ac a ddodes i ni ’air y cysiliat .
47:5:020:0	Wrth hynny ydd ym ni yn genadwri dros Christ : megis pe bai Duw ich adolwyn trywom ni , atolygwn yvvch yn lle Christ , bot ych cysilio a Duw .
47:5:021:0	Can ys gwnaeth ef hwnw y vot yn bechot trosam , yr vn nyd adnabu ddim pechot , val in gwnelit yn gifiawnder Duw ynddo ef .
