47:2:001:1	Pen ij .
47:2:002:1	Dangos ei gariat yddynt y mae ef . Gan erchi hefyd arnynt vot yn esmwyth wrth y godinabwr‐cyfathrach , can iðaw edivarhau . Mae ef hefyt yn ymhoffy yn‐Duw dros nerthowgrwydd ei ðysceidaeth , Can orchvygu dadl y cyfryw‐gwerylwyr , ac wrth ymescus dadleu yny erbyn ef , nyd oeddent yn ceisio dim amgen , na dywreiddiaw y athroaeth ef .
47:2:001:0	EIthr mi tervynais hyn yno y hunan , na ddelwn atoch drachefn yn‐tristit .
47:2:002:0	O bleit a’s mi ach tristaa chwi , pwy yw’r hwn am llawenha vi , dyeithyr hwn a dristawyt y can y vi ?
47:2:003:0	A’ mi a scrivenais hyn yma atoch , rac pan ddelwn , cael o hanof tristit gan yr ei , y dylywn ymlawenhau : mae vy‐gobaith ynoch oll , vot vy llawenydd i yn llavvenydd y’wch ’oll .
47:2:004:0	Can ys yn‐gorthrymder mawr , a’ chyfingder calon ydd yscrivenais atoch gan ddaigrae lawer : nyd val ych tristaid chwi , eithr val y gwybyddech y cariat ys y genyf , yn enwedic y chwi .
47:2:005:0	Ac a gwnaeth nebun dristau , ny wnaeth ef i mi dristau , anyd o ran ( rac i mi bwyso arnavv ) y chwi oll .
47:2:006:0	Digon yvv ir cyfryw vn bod ei geryddu gan lawer .
47:2:007:0	Megis yn hytrach yn‐gwrthwynep y dylyechwi vaddau yddavv , a’ ei ðiddanu rac y llyncit y cyfryw vn y gan ’ormodd tristit .
47:2:008:0	Erwydd paam , yr atolygaf ’ywch , gadarnhau eich cariat arno .
47:2:009:0	Can ys er mwyn hyn hefyt ydd yscrivenais , val y gwybyddwn braw o hanoch , ’sef a vyddech vvyddion i bop peth .
47:2:010:0	Yr hwn y maddeuoch ddim yddaw , y maddeuaf vinheu hefyt : can ys yn wir a’s maddeuais i ddim , ir hwn y maddeuais , er eich mwyn chwi y maddeuais , yn‐golwc Christ ,
47:2:011:0	rac bod y Satan ein gorchvygu : can nad anwybot genym y amcanion ef .
47:2:012:0	Yno , pan ddaethym i Troas er precethu euangel Christ , ac bot agori drws y‐my ’gan yr Arglwydd ,
47:2:013:0	ny chawn lonydd yn vy yspryt , can na vedrwn gael Titus vy‐brawt , anyd canu yn iach yddynt awnaethym , a’ myned ymaith i Macedonia .
47:2:014:0	Anyd y Dduw y ddyolvvch , yr hwn yn wastat a wna yni ’orvot yn‐Christ , ac a eglurha arogle y wybodaeth ef trwyddom ni ym‐pop lle .
47:2:015:0	Cā ys ydd ym ni y Dduw yn ber arwynt Christ , yn yr ei ’n a iachëir , ac yn yr ein a gyfergollir .
47:2:016:0	Ir ei hyn ydd ym yn arogl angeu , i angeu , ac ir llaill yn arogl bywyt , i vywyt , a’ phwy ’sy ddigonol i’r petheu hyn .
47:2:017:0	Can nad ym ni val y mae llawer , yn masnachu gair Duw : eithr val o burdap , eithr val o Dduw yn‐gwydd Duw , ydd ym ni yn ymadrodd yn‐Christ .
