47:11:001:1	Pen . xj .
47:11:002:1	Mae yn dangos mor wyllysgar ydyw ef yðynt . Ardderchawgrwydd ei weinidogeth ef . A’i astudrwydd ynðei . Hoccedion y gau ebestyl . Trawsfarn y Corinthieit . A’i volianneu yntef .
47:11:001:0	OCh na ’oddefech y chydic ar vy ynfydrwydd , ac yn ddilys yð ywch im goddef .
47:11:002:0	Can ys eiddigus wyf am danoch , ac eiddigeð Duwiol : can ys darperais chwi i vn gwra y’ch gosot vegis morwyn bur i Christ :
47:11:003:0	ac ydd wyf yn ofni rac megis y twyllawdd y serph Eua trwy hei challter , velly bot eich meðyliae chwitheu yn l’ygredic a’ diryvvio ywrth y semlrwydd ys ydd yn‐Christ .
47:11:004:0	O bleit a’s hwn a ddaw , a precetha amgen Iesu na’r vn a precethesam ni : neu a’ derbyniwch amgen yspryt nac a dderbyniesoch : neu amgen Euāgel , nac a dderbyniesoch , tec y gallesech y ddyoðe ef .
47:11:005:0	Can ys im tyb nyd oeðwn yn iselach na’r gwir bennaf Apostolon .
47:11:006:0	A’ chyd bvvyf drwscl o ymadrodd , er hyny nyd vvyf velly yn‐gwybodaeth , eithr yn eich plith chwi in eglurhawyt yn ollawl , ym‐pop dim .
47:11:007:0	A wneuthum i ar vai , can i mi ymestwng vy hun , val y derchefit chwi , a’ chan i mi precethu y chwi Euangel Christ yn rhat ?
47:11:008:0	Ecclesidd ereill a espeliais , gan gymeryd cyfloc ganthynt er mvvyn gvvnenthur gwasanaeth y chwi ?
47:11:009:0	A’ phan oeddwn yn presennol y gyd a chwi , ac arnaf eisieu , ny vu vy‐diogi yn ammorth i nebun : can ys hyn a vyddei arnaf ei eisieu , a gwplay ’r brodur a ðelynt o Macedonia , ac ym‐pop dim ydd ymgedwais ac ydd ymgadwaf yn ðibwys arnoch .
47:11:010:0	Y mae gwirionedd Christ ynof , na ’oarchëir y gorvoledd hyn yn v’erbyn yn‐gwledydd Achaia .
47:11:011:0	Paam ? ai can na charaf chwi ? Duw ei gwyr .
47:11:012:0	Eithr yr hyn r’wyf yn ei wneuthur , hyny a wnaf : val y torwyf ymaith achos ywrth yr ei a ðeisyfent gael achos , val y ceffit hwy yn gyffelip i ni yn yr hyn y maent , yn ymhoffy .
47:11:013:0	Can ys cyfryw geu ebestyl , gweithwyr twyllodrus ynt , wedy ’r ymrithiaw yn Ebes ylieit Christ .
47:11:014:0	Ac nyd rhyvedd : o bleit yntef Satan a ymrithia yn Angel y goleuni .
47:11:015:0	Cā hyny nyd mawr yw , cyd ymrithio y wenidogion ef , val peten wenidogion cyfiawnder , yr ei vydd ei dywedd erwydd y gwaithredoedd hwy .
47:11:016:0	Trachefn y dywedaf , na thybiet neb vy‐bot i yn ynfyd : neu ynte cymerwch vi val vn ynfyd , val y gallwy vinef hefyt ymffrostio ycydig .
47:11:017:0	Yr hyn a ðywedaf , ny ðywedaf erwyð yr Arglwyð : eithr val o ynvydrwyð , yn y vawr‐ffrost hon veuvi .
47:11:018:0	Can vot llawer yn ymhoffy erwyð y cnawt , minef a ymhoffa hefyt . Yr Epistol ar y Sul Sexagesima
47:11:019:0	Can ys chwi ddyoddefwch yn llawen vn ynvyt , a chwychwi yn ddoethion .
47:11:020:0	Can ys goddefwch pe caethiwei vn chwi , pe bei vn ich ysu , pe bei vn yn dwyn y arnoch , pe bei vn yn ymðerchafu , pe trawei vn chwi ar eich wynep .
47:11:021:0	Am warthad yð wyf yn dywedyt : megis pe bysem yn weinion : eithr ym‐pa beth bynac y bo neb hyderus ( dywedaf yn ynfyt ) hyderus yw vynef hefyt .
47:11:022:0	Ebraieit ynt , velly vinef : Israelieit ynt , velly vinef : had Abraham ynt , velly vinef :
47:11:023:0	gwenidogion Christ ynt ( dywedaf val ynwyt ) mwy yw vi : mewn travaelion ym amlach : mewn ffonodiae dros vesur : yn carchare yn amlach : yn bron angeue yn vynych .
47:11:024:0	Can yr Iuddeon pempgwaith yd erbyniais ddauugain gvvialennot anyd vn .
47:11:025:0	Teirgwaith im baydwyt a gwiail : vn waith im llapyðwyt : teirgwaith y tores llong arnaf : nos a’dydd y bum yn y dwfn‐vor .
47:11:026:0	Yn ymddeith y bum yn vynych , ym‐periclon llifeiriaint , ym‐periclae llatron , ym‐periclon vy genetleth vyhun , ym‐periclon gan y Cenetloeð , ym‐periclon yn y dinas , ym‐periclon yn y diffeithvvch , ym‐periclon yn y mor , ym‐periclon ym‐plith gauvrodur ,
47:11:027:0	ym‐blinder a’ lluddet , yn‐gwiliae yn vynech , yn newyn a’sychet , yn vmprydie yn wnech , mewn anwyt a’ noethi .
47:11:028:0	Eb law y petheu a ddygvvydd o ddyallan , y mae arnaf gymelri mawr beunydd , nid amgen no gofal tros yr oll Ecclesi .
47:11:029:0	Pwy ’sy wā , ac nyd yw vinef wan ? pwy a dramcwyddir , na loscwy vi ?
47:11:030:0	A’s dir ymi ymhoffy , mi a ymhoffa o betheu vy‐gwendit .
47:11:031:0	Y Duw , ’sef Tat ein Arglwyð Iesu Christ , yr hwn ’sy vendigedic yn oes oesoedd , a wyr nad wyf yn dywedyt cel‐wyd .
47:11:032:0	Yn Damasco llywiawdr y popul y dan Vrenhin Aretas a barawdd wilio dinas y Damascieit , ac a vynesei vy‐dalha i .
47:11:033:0	A’ thrwy ffenestr im gellyngwyt y lawr mewn cawell trwy’r vagwyr , ac a ddiengais rrac ei ddwylaw .
