47:13:001:1	Pen . xiij .
47:13:002:1	Mae ef yn bygwth yr ei anhydyn , Ac yn datcā beth yw y veðiāt ef wrth ei testiolaeth hwy hunain . Hefyd y mae yn dangos beth yw effect yr epistol hwn . Yno gwedy darvod iddo y hannoc y wneuthur a ddylyent , y mae yn damuno yddynt lwyddiant yn gwbl .
47:13:001:0	LLyma ’r drydedd waith i mi y ddyvot atoch . Yn‐geneu dau neu dri o testion y bydd safadwy pop gair .
47:13:002:0	Racddywedais ywch , a’ racddywedaf ywch : megis be bawn wyð‐yn‐gwyð yr ail‐waith , velly yr scrivenaf yn absen wrth yr ei ym blaē llaw a bechasāt , ac wrth bawp ereill , can a’s dawaf drachefn nyd arbedaf .
47:13:003:0	Can y‐chwy geisio profiat o Christ , yr hwn a ymadrodd ynofi , yr hwn tu ac ato‐chwi nyd yw wan , eithr nerthoc ydyw ynoch .
47:13:004:0	Can ys cyd crogit ef o ran ei wendit , er hyny byw ydyw trwy nerth Duw . A’ diau yw ein bo ninheu yn weinion yntho ef : eithr byw vyddwn y gyd ac ef , trwy nerth Duw tu ac at y chwi .
47:13:005:0	Profwch eichunain a ytych yn y ffydd ecsamnwch ychunain : anyd adwaenwch eichunain , ’sef y’r Iesu Christ vot ynoch , a ddyeithr ychwy vot yn ancymeradwy ?
47:13:006:0	A’ gobeithaf y gwybyðwch nad ym ni yn ancymeradwy .
47:13:007:0	A’ mi archaf y Dduw na wneloch ðim drwc , nyd er cael eyn egluro ni yn gimradwy , anyd er y chwi wneuthur yr hyn ’sy sybervv , cyd bom ni megis yn rei ancymeradwy .
47:13:008:0	Can na allwn ni vvneuthur dim yn erbyn y gwirioned , amyn tros y gwirionedd .
47:13:009:0	Can ys llawen yym pan ydym ni yn weinion , a’ch bot chwitheu yn gryfion : hynn hefyd a ddamunem ’sef eich perfeithrwydd chvvi .
47:13:010:0	Am hyny ydd wyf yn eich absen yn scrivennu y petheu hynn , rrac ymy pan vvyf wydd‐yn gwydd , arver o vot yn dost , wrth y meðiant a roes yr Arglwyð y‐my er adailad , ac nyd er dinistrad .
47:13:011:0	Bellach vrodr , ewch yn‐iach : byddwch perfeicth : ymgofforddiwch : ymgydsynniwch : byddwch vyw yn dangneddefus , a’ Duw y cariat a’r tangneddyf a vydd gyd a chwi .
47:13:012:0	Anerchwch eugylydd a chusan sanctaidd .
47:13:013:0	Y mae ’r oll Sainctæ yn erchi ych anerch .
47:13:014:0	Rat ein Arglwyð Iesu Christ , a’ chariat Duw , a chōmundeb yr Yspryt glan a vo gyd a chwi oll , Amen . Yr ail epistol at a Corinthieit , a scrivenwyt o Philippi , dinas ym‐Macedonia , ac anuonwyt trwy law Titus a’ Lucas .
