11:4:001:1	Solomon 's Officials and Governors
11:4:001:0	King Solomon now ruled over all Israel ,
11:4:002:0	and these were his high officials : Azariah son of Zadok was the priest .
11:4:003:0	Elihoreph and Ahijah , the sons of Shisha , were court secretaries.Jehoshaphat son of Ahilud was the royal historian .
11:4:004:0	Benaiah son of Jehoiada was commander of the army.Zadok and Abiathar were priests .
11:4:005:0	Azariah son of Nathan was in charge of the district governors.Zabud son of Nathan , a priest , was a trusted adviser to the king .
11:4:006:0	Ahishar was manager of the palace property.Adoniram son of Abda was in charge of forced labor .
11:4:007:0	Solomon also had twelve district governors who were over all Israel . They were responsible for providing food for the king 's household . Each of them arranged provisions for one month of the year .
11:4:008:0	These are the names of the twelve governors : Ben-hur , in the hill country of Ephraim .
11:4:009:0	Ben-deker , in Makaz , Shaalbim , Beth-shemesh , and Elon-bethhanan .
11:4:010:0	Ben-hesed , in Arubboth , including Socoh and all the land of Hepher .
11:4:011:0	Ben-abinadab , in all of Naphoth-dor . ( He was married to Taphath , one of Solomon 's daughters . )
11:4:012:0	Baana son of Ahilud , in Taanach and Megiddo , all of Beth-shan near Zarethan below Jezreel , and all the territory from Beth-shan to Abel-meholah and over to Jokmeam .
11:4:013:0	Ben-geber , in Ramoth-gilead , including the Towns of Jair ( named for Jair of the tribe of Manasseh ) in Gilead , and in the Argob region of Bashan , including sixty large fortified towns with bronze bars on their gates .
11:4:014:0	Ahinadab son of Iddo , in Mahanaim .
11:4:015:0	Ahimaaz , in Naphtali . ( He was married to Basemath , another of Solomon 's daughters . )
11:4:016:0	Baana son of Hushai , in Asher and in Aloth .
11:4:017:0	Jehoshaphat son of Paruah , in Issachar .
11:4:018:0	Shimei son of Ela , in Benjamin .
11:4:002:1	Solomon 's Prosperity and Wisdom
11:4:019:0	Geber son of Uri , in the land of Gilead , including the territories of King Sihon of the Amorites and King Og of Bashan.There was also one governor over the land of Judah .
11:4:020:0	The people of Judah and Israel were as numerous as the sand on the seashore . They were very contented , with plenty to eat and drink .
11:4:021:0	Solomon ruled over all the kingdoms from the Euphrates River in the north to the land of the Philistines and the border of Egypt in the south . The conquered peoples of those lands sent tribute money to Solomon and continued to serve him throughout his lifetime .
11:4:022:0	The daily food requirements for Solomon 's palace were 150 bushels of choice flour and 300 bushels of meal ;
11:4:023:0	also 10 oxen from the fattening pens , 20 pasture-fed cattle , 100 sheep or goats , as well as deer , gazelles , roe deer , and choice poultry .
11:4:024:0	Solomon 's dominion extended over all the kingdoms west of the Euphrates River , from Tiphsah to Gaza . And there was peace on all his borders .
11:4:025:0	During the lifetime of Solomon , all of Judah and Israel lived in peace and safety . And from Dan in the north to Beersheba in the south , each family had its own home and garden .
11:4:026:0	Solomon had 4,000 stalls for his chariot horses , and he had 12,000 horses .
11:4:027:0	The district governors faithfully provided food for King Solomon and his court ; each made sure nothing was lacking during the month assigned to him .
11:4:028:0	They also brought the necessary barley and straw for the royal horses in the stables .
11:4:029:0	God gave Solomon very great wisdom and understanding , and knowledge as vast as the sands of the seashore .
11:4:030:0	In fact , his wisdom exceeded that of all the wise men of the East and the wise men of Egypt .
11:4:031:0	He was wiser than anyone else , including Ethan the Ezrahite and the sons of Mahol — Heman , Calcol , and Darda . His fame spread throughout all the surrounding nations .
11:4:032:0	He composed some 3,000 proverbs and wrote 1,005 songs .
11:4:033:0	He could speak with authority about all kinds of plants , from the great cedar of Lebanon to the tiny hyssop that grows from cracks in a wall . He could also speak about animals , birds , small creatures , and fish .
11:4:034:0	And kings from every nation sent their ambassadors to listen to the wisdom of Solomon .
