11:8:001:1	The Ark Brought to the Temple
11:8:001:0	Solomon then summoned to Jerusalem the elders of Israel and all the heads of the tribes—the leaders of the ancestral families of the Israelites . They were to bring the Ark of the Lord 's Covenant to the Temple from its location in the City of David , also known as Zion .
11:8:002:0	So all the men of Israel assembled before King Solomon at the annual Festival of Shelters , which is held in early autumn in the month of Ethanim .
11:8:003:0	When all the elders of Israel arrived , the priests picked up the Ark .
11:8:004:0	The priests and Levites brought up the Ark of the Lord along with the special tent and all the sacred items that had been in it .
11:8:005:0	There , before the Ark , King Solomon and the entire community of Israel sacrificed so many sheep , goats , and cattle that no one could keep count !
11:8:006:0	Then the priests carried the Ark of the Lord 's Covenant into the inner sanctuary of the Temple—the Most Holy Place—and placed it beneath the wings of the cherubim .
11:8:007:0	The cherubim spread their wings over the Ark , forming a canopy over the Ark and its carrying poles .
11:8:008:0	These poles were so long that their ends could be seen from the Holy Place , which is in front of the Most Holy Place , but not from the outside . They are still there to this day .
11:8:009:0	Nothing was in the Ark except the two stone tablets that Moses had placed in it at Mount Sinai , where the Lord made a covenant with the people of Israel when they left the land of Egypt .
11:8:010:0	When the priests came out of the Holy Place , a thick cloud filled the Temple of the Lord .
11:8:002:1	Solomon Praises the
11:8:003:1	Lord
11:8:011:0	The priests could not continue their service because of the cloud , for the glorious presence of the Lord filled the Temple of the Lord .
11:8:012:0	Then Solomon prayed , “ O Lord , you have said that you would live in a thick cloud of darkness .
11:8:013:0	Now I have built a glorious Temple for you , a place where you can live forever ! ”
11:8:014:0	Then the king turned around to the entire community of Israel standing before him and gave this blessing :
11:8:015:0	“ Praise the Lord , the God of Israel , who has kept the promise he made to my father , David . For he told my father ,
11:8:016:0	‘ From the day I brought my people Israel out of Egypt , I have never chosen a city among any of the tribes of Israel as the place where a Temple should be built to honor my name . But I have chosen David to be king over my people Israel . ' ”
11:8:017:0	Then Solomon said , “ My father , David , wanted to build this Temple to honor the name of the Lord , the God of Israel .
11:8:018:0	But the Lord told him , ‘ You wanted to build the Temple to honor my name . Your intention is good ,
11:8:019:0	but you are not the one to do it . One of your own sons will build the Temple to honor me . '
11:8:020:0	“ And now the Lord has fulfilled the promise he made , for I have become king in my father 's place , and now I sit on the throne of Israel , just as the Lord promised . I have built this Temple to honor the name of the Lord , the God of Israel .
11:8:004:1	Solomon 's Prayer of Dedication
11:8:021:0	And I have prepared a place there for the Ark , which contains the covenant that the Lord made with our ancestors when he brought them out of Egypt . ”
11:8:022:0	Then Solomon stood before the altar of the Lord in front of the entire community of Israel . He lifted his hands toward heaven ,
11:8:023:0	and he prayed , “ O Lord , God of Israel , there is no God like you in all of heaven above or on the earth below . You keep your covenant and show unfailing love to all who walk before you in wholehearted devotion .
11:8:024:0	You have kept your promise to your servant David , my father . You made that promise with your own mouth , and with your own hands you have fulfilled it today .
11:8:025:0	“ And now , O Lord , God of Israel , carry out the additional promise you made to your servant David , my father . For you said to him , ‘ If your descendants guard their behavior and faithfully follow me as you have done , one of them will always sit on the throne of Israel . '
11:8:026:0	Now , O God of Israel , fulfill this promise to your servant David , my father .
11:8:027:0	“ But will God really live on earth ? Why , even the highest heavens can not contain you . How much less this Temple I have built !
11:8:028:0	Nevertheless , listen to my prayer and my plea , O Lord my God . Hear the cry and the prayer that your servant is making to you today .
11:8:029:0	May you watch over this Temple night and day , this place where you have said , ‘ My name will be there . ' May you always hear the prayers I make toward this place .
11:8:030:0	May you hear the humble and earnest requests from me and your people Israel when we pray toward this place . Yes , hear us from heaven where you live , and when you hear , forgive .
11:8:031:0	“ If someone wrongs another person and is required to take an oath of innocence in front of your altar in this Temple ,
11:8:032:0	then hear from heaven and judge between your servants—the accuser and the accused . Punish the guilty as they deserve . Acquit the innocent because of their innocence .
11:8:033:0	“ If your people Israel are defeated by their enemies because they have sinned against you , and if they turn to you and acknowledge your name and pray to you here in this Temple ,
11:8:034:0	then hear from heaven and forgive the sin of your people Israel and return them to this land you gave their ancestors .
11:8:035:0	“ If the skies are shut up and there is no rain because your people have sinned against you , and if they pray toward this Temple and acknowledge your name and turn from their sins because you have punished them ,
11:8:036:0	then hear from heaven and forgive the sins of your servants , your people Israel . Teach them to follow the right path , and send rain on your land that you have given to your people as their special possession .
11:8:037:0	“ If there is a famine in the land or a plague or crop disease or attacks of locusts or caterpillars , or if your people 's enemies are in the land besieging their towns—whatever disaster or disease there is—
11:8:038:0	and if your people Israel pray about their troubles , raising their hands toward this Temple ,
11:8:039:0	then hear from heaven where you live , and forgive . Give your people what their actions deserve , for you alone know each human heart .
11:8:040:0	Then they will fear you as long as they live in the land you gave to our ancestors .
11:8:041:0	“ In the future , foreigners who do not belong to your people Israel will hear of you . They will come from distant lands because of your name ,
11:8:042:0	for they will hear of your great name and your strong hand and your powerful arm . And when they pray toward this Temple ,
