11:1:001:1	David in His Old Age
11:1:001:0	King David was now very old , and no matter how many blankets covered him , he could not keep warm .
11:1:002:0	So his advisers told him , “ Let us find a young virgin to wait on you and look after you , my lord . She will lie in your arms and keep you warm . ”
11:1:003:0	So they searched throughout the land of Israel for a beautiful girl , and they found Abishag from Shunem and brought her to the king .
11:1:002:1	Adonijah Claims the Throne
11:1:004:0	The girl was very beautiful , and she looked after the king and took care of him . But the king had no sexual relations with her .
11:1:005:0	About that time David 's son Adonijah , whose mother was Haggith , began boasting , “ I will make myself king. ” So he provided himself with chariots and charioteers and recruited fifty men to run in front of him .
11:1:006:0	Now his father , King David , had never disciplined him at any time , even by asking , “ Why are you doing that ? ” Adonijah had been born next after Absalom , and he was very handsome .
11:1:007:0	Adonijah took Joab son of Zeruiah and Abiathar the priest into his confidence , and they agreed to help him become king .
11:1:008:0	But Zadok the priest , Benaiah son of Jehoiada , Nathan the prophet , Shimei , Rei , and David 's personal bodyguard refused to support Adonijah .
11:1:009:0	Adonijah went to the Stone of Zoheleth near the spring of En-rogel , where he sacrificed sheep , cattle , and fattened calves . He invited all his brothers — the other sons of King David — and all the royal officials of Judah .
11:1:010:0	But he did not invite Nathan the prophet or Benaiah or the king 's bodyguard or his brother Solomon .
11:1:011:0	Then Nathan went to Bathsheba , Solomon 's mother , and asked her , “ Have n't you heard that Haggith 's son , Adonijah , has made himself king , and our lord David does n't even know about it ?
11:1:012:0	If you want to save your own life and the life of your son Solomon , follow my advice .
11:1:013:0	Go at once to King David and say to him , ‘ My lord the king , did n't you make a vow and say to me , “ Your son Solomon will surely be the next king and will sit on my throne ” ? Why then has Adonijah become king ? '
11:1:014:0	And while you are still talking with him , I will come and confirm everything you have said . ”
11:1:015:0	So Bathsheba went into the king 's bedroom . ( He was very old now , and Abishag was taking care of him . )
11:1:016:0	Bathsheba bowed down before the king. “ What can I do for you ? ” he asked her .
11:1:017:0	She replied , “ My lord , you made a vow before the Lord your God when you said to me , ‘ Your son Solomon will surely be the next king and will sit on my throne . '
11:1:018:0	But instead , Adonijah has made himself king , and my lord the king does not even know about it .
11:1:019:0	He has sacrificed many cattle , fattened calves , and sheep , and he has invited all the king 's sons to attend the celebration . He also invited Abiathar the priest and Joab , the commander of the army . But he did not invite your servant Solomon .
11:1:020:0	And now , my lord the king , all Israel is waiting for you to announce who will become king after you .
11:1:021:0	If you do not act , my son Solomon and I will be treated as criminals as soon as my lord the king has died . ”
11:1:022:0	While she was still speaking with the king , Nathan the prophet arrived .
11:1:023:0	The king 's officials told him , “ Nathan the prophet is here to see you. ” Nathan went in and bowed before the king with his face to the ground .
11:1:024:0	Nathan asked , “ My lord the king , have you decided that Adonijah will be the next king and that he will sit on your throne ?
