11:20:001:1	Ben-Hadad Attacks Samaria
11:20:001:0	About that time King Ben-hadad of Aram mobilized his army , supported by the chariots and horses of thirty-two allied kings . They went to besiege Samaria , the capital of Israel , and launched attacks against it .
11:20:002:0	Ben-hadad sent messengers into the city to relay this message to King Ahab of Israel : “ This is what Ben-hadad says :
11:20:003:0	‘ Your silver and gold are mine , and so are your wives and the best of your children ! ' ”
11:20:004:0	“ All right , my lord the king , ” Israel 's king replied . “ All that I have is yours ! ”
11:20:005:0	Soon Ben-hadad 's messengers returned again and said , “ This is what Ben-hadad says : ‘ I have already demanded that you give me your silver , gold , wives , and children .
11:20:006:0	But about this time tomorrow I will send my officials to search your palace and the homes of your officials . They will take away everything you consider valuable ! ' ”
11:20:007:0	Then Ahab summoned all the elders of the land and said to them , “ Look how this man is stirring up trouble ! I already agreed with his demand that I give him my wives and children and silver and gold . ”
11:20:008:0	“ Do n't give in to any more demands , ” all the elders and the people advised .
11:20:009:0	So Ahab told the messengers from Ben-hadad , “ Say this to my lord the king : ‘ I will give you everything you asked for the first time , but I can not accept this last demand of yours . ' ” So the messengers returned to Ben-hadad with that response .
11:20:010:0	Then Ben-hadad sent this message to Ahab : “ May the gods strike me and even kill me if there remains enough dust from Samaria to provide even a handful for each of my soldiers . ”
11:20:011:0	The king of Israel sent back this answer : “ A warrior putting on his sword for battle should not boast like a warrior who has already won . ”
11:20:002:1	Ahab 's Victory over Ben-Hadad
11:20:012:0	Ahab 's reply reached Ben-hadad and the other kings as they were drinking in their tents . “ Prepare to attack ! ” Ben-hadad commanded his officers . So they prepared to attack the city .
11:20:013:0	Then a certain prophet came to see King Ahab of Israel and told him , “ This is what the Lord says : Do you see all these enemy forces ? Today I will hand them all over to you . Then you will know that I am the Lord . ”
11:20:014:0	Ahab asked , “ How will he do it ? ” And the prophet replied , “ This is what the Lord says : The troops of the provincial commanders will do it. ” “ Should we attack first ? ” Ahab asked. “ Yes , ” the prophet answered .
11:20:015:0	So Ahab mustered the troops of the 232 provincial commanders . Then he called out the rest of the army of Israel , some 7,000 men .
11:20:016:0	About noontime , as Ben-hadad and the thirty-two allied kings were still in their tents drinking themselves into a stupor ,
11:20:017:0	the troops of the provincial commanders marched out of the city as the first contingent.As they approached , Ben-hadad 's scouts reported to him , “ Some troops are coming from Samaria . ”
11:20:018:0	“ Take them alive , ” Ben-hadad commanded , “ whether they have come for peace or for war . ”
11:20:019:0	But Ahab 's provincial commanders and the entire army had now come out to fight .
11:20:020:0	Each Israelite soldier killed his Aramean opponent , and suddenly the entire Aramean army panicked and fled . The Israelites chased them , but King Ben-hadad and a few of his charioteers escaped on horses .
11:20:021:0	However , the king of Israel destroyed the other horses and chariots and slaughtered the Arameans .
11:20:003:1	Ben-Hadad 's Second Attack
11:20:022:0	Afterward the prophet said to King Ahab , “ Get ready for another attack . Begin making plans now , for the king of Aram will come back next spring . ”
11:20:023:0	After their defeat , Ben-hadad 's officers said to him , “ The Israelite gods are gods of the hills ; that is why they won . But we can beat them easily on the plains .
11:20:024:0	Only this time replace the kings with field commanders !
