39:1:001:1	Bóhólníihii éí Jéíkab dine'é ayóó'áyó'ní
39:1:001:0	Ízrel dine'é bide áhoot'éii éí Málakai binahjį' Bóhólníihii hach'į' haadzíí'. 
39:1:002:0	Bóhólníihii ání, Ayóó'ánihíínísh'níí nít'éé'. Nidi nihí ádadohní, Haash yit'éego ayóó'ánihííní'níí nít'éé'? Áko Bóhólníihii ánáánihidi'ní, Íísa éí Jéíkab bik'is nilį́ ya'? Nidi Jéíkab ayóó'íínísh'níí nít'éé'. 
39:1:003:0	Áádóó Íísa éí jooshłáago dah daask'idii bíí' dooleełgo baa deet'áanii honoojíígóó mą'ii bá t'áá ádzaaí íishłaa. 
39:1:004:0	Nihił hóóchxǫ' yę́ęgi nináhidiikahgo kin dááchxǫ' yę́ę áńdadiilnííł, azhą́ Íídam kózhdííniid nidi, t'áá ałtsoní bee Bóhólníihii kóní, Kin áńdajiidlaa nidi, hats'ą́ą́' nahideeshkał. Áádóó éí kódabidi'níi doo, Doo yá'áshóonii bee hoodzo, áádóó, Dadine' é éí hool'áágóó Bóhólníihii bich'į' hashké nídzinii, daolyée doo. 
39:1:002:1	Bóhólníihii éí nááda'iiłniihii yideezteh
39:1:005:0	Díí t'áá nihí nihináá' bee deidoołtséełgo ádadidoohniił, Ízrel dine'é bikéyah bilááhdę́ę́' Bóhólníihii ayóó át'éii nilį́. 
39:1:006:0	Aye' éí bizhé'é bił nilį́, índa naal'a'í éí binanit'a'í bił nilį́. Áko aTaa' nishłį́įgo bee nihił nishłíiniishą' háájí? Áádóó nihiNanit'a'í nishłį́įgo bee shits'ąąh hasti'iishą' háájí? nihiłní t'áá ałtsoní bee Bóhólníihii. Náá'iiłniihii danohłíinii, shízhi' daah'įįd. Nidi ádadohní, Haash yit'éego nízhi' deiit'įįd? 
39:1:007:0	Shibikáá' náá'iiniihí bikáa'jį' ch'iyáán dááchǫ'ígíí náádahoołnii' lá. Índa ádadohní, Haash yit'éego daniilchxǫ'? Bóhólníihii bibikáá' adání bá nahat'i', dadohníigo ádaaht'į́į́ lá. 
39:1:008:0	T'áá ałtsoní bee Bóhólníihii ání, Alį́į́' doo da'oo'íinii náádahołniihgo éí ts'ídá doo yá'áshǫ́ǫ da. Alį́į́' nida'niłhodígíí índa bąąh nidahałniihígíí náádahołníihgo éí ts'ídá doo yá'áshǫ́ǫ da. Éí nihinanit'a'í baa nohłéego daats'í bił yá'át'éeh doo? Doodaii' éí nihich'į'ísh k'énídzin doo? 
39:1:009:0	K'ad Diyin God yá'át'éehii baa nideinohkąąhgo daats'í nihaa jooba' doo. Ákódaat'éii náádahoołnii'ígíí daats'í binahjį' nihaa jooba' doo? ní t'áá ałtsoní bee Bóhólníihii. 
39:1:010:0	Shibikáá' náá'iiniihí bikáá' t'áadoo biniyéhígóó doo kǫ' didoołtłiłgo nááda'iyołniih da doo biniyé nihitahdóó naagháii ła' shikin bii' sohodizin bich'į' ahóót'i'ígíí yidádi'doołkał laanaa nisin. Doo shił dahonohshǫ́ǫ da doo índa náádahołniihii doo ła' nihílák'eedóó nidideeshłéeł da, ní t'áá ałtsoní bee Bóhólníihii. 
39:1:011:0	Jó, háá'át' ááhdóó aná'át'áahjį' ał'ąą dine'é bitahgóó shízhi' ayóó át'ée doo. Índa t'áá ałtsogóó tsin bijeeh dilidgo łikání halchinii áádóó nááhániihii chin bąąh ádinii shich'į' náádayiiłniih doo. Háálá ał'ąą dine'é bitahgóó shízhi' ayóó át'ée doo, ní t'áá ałtsoní bee Bóhólníihii. 
39:1:012:0	Bóhólníihii bibikáá' adání t'óó baa'ih áádóó bikáa'gi ch'iyánígíí éí baa'ih hasin, dadohníigo t'áá nihí doo dílzingóó ádaahłaa. 
39:1:013:0	Dooládó' t'óó ádił na'ídááh át'ée da, jó'akon! ałdó' dadohníigo daałchingo bits'ą́ąjį' háádanołniih, ní t'áá ałtsoní bee Bóhólníihii. Índa naaldlooshii ałchinii dabíí'aalii áádóó nida'niłhodii índa bąąh nidahałniihii nidahishoo'eezhgo náádahołniih. Da' díísh nihits'ą́ą́dóó nídideeshłééł? ní Bóhólníihii. 
39:1:014:0	Bina'adlo'ii bilį́į́' bitahdóó biką'ii ła' yee ádee haadzíi' go, nidi doo hadaałt'éhígíí Bóhólníihii yich'į' nááyiisnii'ígíí hóyée'go bá ha'doodzih, háálá shí naat'áanii ayóó át'éii nishłį́ índa ał'ąą dine'é bitahgóó shízhi' dílzin, ní t'áá ałtsoní bee Bóhólníihii.
