19:72:001:1	Aláahgo naat'áanii t'áá ákogi át'éii nant'á
19:72:001:0	Diyin God nílíinii, ánihoyí'aahígíí aláahgo naat'áanii baa diní'aah, áádóó t'áá ákogi ánít'éii aláahgo naat'áanii biye' baa diní'aah! 
19:72:002:0	Áko éí t'áá ákogi át'éii yee nidine'é yá yaa nídóot'įįł, áádóó doo haada yit'éii yee nidine'é badahojoobá'íígíí yá yaa nídóot'įįł! 
19:72:003:0	Dził dabits'ą́ą́dę́ę́' t'áá ałtsoní bee diné bá hasht'ehodít'ée doo, áádóó t'áá ákogi át'éii biniinaa dayílk'idígíí bits'ą́ą́dę́ę́' ach'į' hózhǫ́ǫ doo! 
19:72:004:0	Diné bitahdóó badahojoobá'íígíí yá ainít'į́į doo. Diné hojooba' has'áanii ba'áłchíní yisdéidoonił, áádóó diné ade ádahósinii yitah hodiyootih! 
19:72:005:0	Jį́honaa'éí índa ooljéé' bá nihonít'i' bijį́įjį' oochííłgóó t'áá ałtso dandósin doo. 
19:72:006:0	Tł'oh yilzhée'ii bik'i nahałtin áádóó nahasdzáán bik'i nidizhołgo náltłeehígi át'éego aláahgo naat'áanii nant'áa doo. 
19:72:007:0	Bíyoołkááłgóó t'áá ákogi ááníiłii k'ee'ąą yilzhish doo. Ooljéé' t'áá ahééhédáahjį' t'áá ałtsogóó hasht'ehodít'ée doo. 
19:72:008:0	Tónteel siyį́į́dóó tónteel náánásgį́įjį' áádóó tooh nílínídóó nahasdzáán nidahonees'ą́ąjį' bee bóhólníih doo. 
19:72:009:0	Honoojíidi kéédahat'íinii bich'į' yaa ádadoonííł áádóó bi'ana'í danilíinii łeezh dibahí deiłnaad doo. 
19:72:010:0	Társhishdóó índa táyi'dę́ę́' kéyah hadaaz'áádóó aláahgo naat'áanii danilíinii hada'iilée doo, Shíibadóó índa Síibadóó aláahgo naat'áanii nilíinii aa yílyáii haidoonił! 
19:72:011:0	Aláahgo naat'áanii danilíinii t'áá ałtso hayaajį' nitsidadidoogoh; ał'ąą dine'é t'áá ałtso há nidaal'a' doo. 
19:72:012:0	Háálá diné hojooba' has'áanii bich'į' ániihgo yisdéíłtééh. Índa diné badahojoobá'íii áádóó t'áadoo bíká oolyeedíii bich'į' ániihgo yisdéinił. 
19:72:013:0	Badahojoobá'íii áádóó hojooba' nahas'áanii yik'édí nilį́, áádóó hojooba' nahas'áanii bida'iina' yisdáyiinííł. 
19:72:014:0	Éí ade ádahósinii áádóó ti'da'iyoołníihii bits'ą́ąjį' bida'iina' háidoo'nił índa dabidiłígíí t'áá íiyisí bił nilį́įgo yaa nitsíkees doo. 
19:72:015:0	Aláahgo naat'áanii nízaadgóó hináa doo. Shíiba hoolyéédóó óola baa ha'níił doo. T'áá áłahjį' ałdó' bá sohodizin doo, áádóó shá bíighah baa ha'niih doo. 
19:72:016:0	Dziłghą́ą'di álástsii' t'óó ahayóigo k'idoolyáhígíí hanoot'ą́ągo Dził Lébanandi gad bich'į' níyolgo gad deílk'oołígíí nahalingo neest'ą́ągo deílk'ooł doo; ch'il hááhinoot'į́į́ł nahalingo kin hadaas'áádóó diné hááhinoot'į́įł doo. 
19:72:017:0	Bízhi' hool'áágóó hólǫ́ǫ doo; jį́honaa'éí has'ahgóó hólónígi át'éego házhi' has'ahgóó náás yit'ih doo. Hanahjį' diné bik'idahojidlíi doo; ał'ąą dine'é t'áá ałtso, Baa hózhóonii, dahałníi doo. 
19:72:018:0	Bóhólníihii Diyin God baa ha'niih le'! T'áá bí Ízrel dine'é yiDiyin God nilį́. Éí t'éiyá t'óó bik'eda'ayóii áyoolííł. 
19:72:019:0	Bízhi' ayóó át'éii bee hool'áágóó baa ha'niih le'! Yee ayóó át'éii nahasdzáán t'áá át'éé nít'éé' bił si'ą́ą le'! T'áá ákót'é áádóó t'áá ákót'ée le'! 
19:72:020:0	David éí Jésii biye' nilíinii bisodizin kojį' nidahaazt'i'.
