19:32:001:1	A'át'e' yóó'adoot'áanii bee ak'ihojidlí
19:32:001:0	Diné éí bee haz'áanii jiizti'ii há yóó'ańdoot'áanii, éí ádił ni'dziisíi'ii ałtso há bik'éé hoodziidii éí hoł hózhǫ́. 
19:32:002:0	Doo ákwii ájíít'įįdii Bóhólníihii doo hach'į' nayółta'ii éí hoł hózhǫ́, áádóó hwii' sizíinii anót'ááh bii' ádinii hoł hózhǫ́.  
19:32:003:0	Doo ádaa hashne'góó shá bíighah dishnínígíí shits'íís yąąh niníyá. 
19:32:004:0	Háálá t'áá ákwíí jį́ índa t'áá ákwíí tł'éé' yéego atíshíł'į́įgo shį́įgo ałtso náhooltsei nahalingo shidziil ałtso shits'áldoh. Síilah. 
19:32:005:0	Ádił ni'iyísíi'ii nich'į' bee ádaa ákoniiszį́į́', áádóó doo ákwii áát'įįdii t'áadoo nídíł'į́į' da; Bee haz'áanii híti'ii éí Bóhólníihii bee bił hodeeshnih, dííniid; ákohgo doo ákwii át'éii bee ádił ni'iyísíi'ii shá yóó'ańdííní'ą́. Síilah. 
19:32:006:0	Éí bąą Diyin God k'ehgo ádaat'éii bá ashja'ósindą́ą́' t'ááłá'í nítínígo nich'į' sodadilzin le'; ayóó át'éego tó dadzíłhaał nidi, doo baa doonah da. 
19:32:007:0	Bine' nínádísht'į́įhii shá nílį́; ach'į' nahwii'ná bits'ąą shaa áhólyą́ą doo, yisdáho'dooltį́į́jí sin danilíinii shináhaazláago áshidíílííł. Síilah. 
19:32:008:0	Díníyáágóó bínandínéeshtįįł áádóó bínaninishtin doo; nik'i dísh'į́į'go nineeshtį́įł doo. 
19:32:009:0	Łį́į́' índa dzaanééz doo ak'i'diitįįh da; éí azáát'i'í bee t'ą́ą́' kóólzin, éí doodaii' doo t'áá áyídídóó nich'į' nidoogáał da; t'áadoo éigi ádanoht'éhí. 
19:32:010:0	Doo yá'ádaashóonii t'óó ahayóígóó yínííł danilį́, nidi Bóhólníihii yaa dzólíii t'éí aa a'ááh hasinii binázlį́į doo. 
19:32:011:0	T'áá ákogi ádaahníiłii, Bóhólníihii bee nihił dahózhǫ́, áádóó baa nihił nidahoozhǫǫh, áádóó nihijéí bee t'áá ákóne' ádanoht'éii, nihił dahózhǫ́ǫgo chánahgo baa dahohniih!
