19:19:001:1	Ádaalyaii bee Diyin God yee ayóó át'éii bééhózin
19:19:001:0	Yót'áahdi hiníláii éí Diyin God yee ayóó át'éii yaa dahalne', áádóó yádiłhił éí Diyin God bíla' yee yinaashnishii ííshjání áyósin. 
19:19:002:0	T'áá ákwíí jį́ yáłti', índa t'áá ákwíí tł'éé' Diyin God ił ééhózin yit'íní áyoolííł. 
19:19:003:0	Doo yádaałti' da, índa bizaad ádaadin; biinéé' doo dadiits'a' da, 
19:19:004:0	nidi nahasdzáán bikáa'gi t'áá ałtsogóó dabiinéé' adahideezdláád, índa nahasdzáán nidanees'ą́ąjį' dahalne'. Yádiłhił biyi'di Diyin God éí jį́honaa'éí bá haz'ą́ągo áyiilaa; 
19:19:005:0	hooghandóó iiyehii ch'íghááh nahalingo áádóó diné bidziilii bił hózhǫ́ǫgo yiiltéhígíí nahalingo ha'a'ááh. 
19:19:002:1	Bóhólníihii bibee haz'áanii
19:19:006:0	Yádiłhił nidahinees'ą́ą́dę́ę́' hidighááh, áádóó yádiłhi ł nineel'ą́ąjį' ahénínádááh, áko bits'áhonigahígíí t'áadoo bits'ąą nant'iní da. 
19:19:007:0	Bóhólníihii yee has'áanii hadaałt'é, éí ii' sizíinii hasht'ééyoodlííł; Bóhólníihii yee hahaasdzí'ígíí bee bééhániihii éí t'áádóo nídí t'áá aaníí, áádóó doo dahóyáanii dahóyą́ągo ádeile'; 
19:19:008:0	Bóhólníihii yee nihwiiz'áanii t'áá ákogi ádaat'é; éí ajéí yił dahóshǫ́. Bóhólníihii bibik'eh ó'oo'níiłii t'áadoo haada yit'éhí ił ch'í'diiłdlaad. 
19:19:009:0	Bóhólníihii jidósingo t'áadoo át'éhí da; éí hool'áágóó hólǫ́; Bóhólníihii yee nihodiiz'áanii éí ts'ídá t'áá aaníí, áádóó t'áá ákogi ádaat'é. 
19:19:010:0	Éí óola biláahgo, óola t'áá íiyisí yá'át'éehii nidzinígíí nidi, biláahgo da'ílį́; tsés'ná bitł'izh bits'a' bąąhdę́ę́' tsés'ná bitł'izh nidahidilch'ą́łígíí nidi biláahgo ayóó ádahalniih. 
19:19:011:0	Éí t'ah náábíláhígo ninaal'a'í nilíinii bee bínabidi'niltin; éí ye'eł'į́įgo ayóó át'éego bich'į' niná'doolyééł. 
19:19:012:0	Nidi háishą' t'áá bí ni'iisíihgo ádaa ákondzin? Sha'át'e' néés'į́į'ii shąąh áníłdįįh. 
19:19:013:0	Ná naal'a'í nishłíinii t'áadoosti'ee ádił ni'iisíhígíí ałdó' bits'ąą áshíínísin; éí t'áadoo shee ádíhólníhí le'! Áko t'áá ákóne' ánísht'ée dooleeł, áádóó bee haz'áanii ayóó át'éego hetíihii shąąh ádin doo. 
19:19:014:0	Bee shidziil nílíinii, shik'é niná'íínídláii, Bóhólníihii nílíinii, saad bee hahasdziihii áádóó shijéí bee nabik'ítsískeesii hiniizįįh le'.
