19:77:001:1	Diyin God ayóó át'éego ó'oolíiłii bééhániihgo bee ha'ahóní
19:77:001:0	Diyin God bich'į' yéego ádíshní. T'áá shí shiinéé' bee bich'į' hadeesdzihgo shididoots'į́į́ł. 
19:77:002:0	Shich'į' hodiis'náá' yę́ędą́ą́' Bóhólníihii bíká íít'įįd; tł'ée'go dah deeshnihgo doo díníshnéeh da nít'éé'. Shii' sizíinii habidi'yóolniiłgi doo yinízin da nít'éé'. 
19:77:003:0	Diyin God bénáshniihgo dinish'níí nít'éé'; nitséskeesgo shii' sizíinii yéego bąąh nááháka'. Síilah. 
19:77:004:0	Shináá' shá ąą íínísin; t'áá íiyisí shide áhoot'éhígíí bąą hadeesdzih yę́ęgi doo bíneesh'ą́ą da. 
19:77:005:0	Ałk'idą́ą́' yę́ęgóó baa nitsínísíkééz; ałk'idą́ą́' nináháhááh yę́ęgóó baa nitsínísíkééz. 
19:77:006:0	Tł'ée'go bee hóótáalii bénáshniih; shijéí biyi'di nabik'ítsískees; nitséskeesgo níłch'i shii' sizíinii haleebee niná'ádílkaah. 
19:77:007:0	Hool'áágóósh Bóhólníihii doo nihidínóozįįł da? Índa doósh nihich'ijí náánídlį́į da doo? 
19:77:008:0	Aa a'ááh níziniísh hool'áágóó nihaa ánéísįįd? Yee nihoní'áaniísh hool'áágóó doo bohodoolníił da? 
19:77:009:0	Diyin God bibee ajooba'ásh yaa yooznah? Báháchį'goósh aa a'ááh nízinii yidádi'níłkaal? Síilah. 
19:77:010:0	Áko ádíshní, Díí bee shąąh dahaz'ą́: Aláahgo Ayóó'át'éii bigaan nish'náájí łahgo ádzaa nisin. 
19:77:011:0	Bóhólníihii áát'įįdii bénáshniih doo; ałk'idą́ą́' t'óó bik'eda'ayóigo íínít'įįdii bénáshniih doo. 
19:77:012:0	Ninaanish nilíinii ałdó' t'áá ałtso nabik'ítséskees doo, áádóó baa nisíníyáhígíí bee ádił yáshti' doo. 
19:77:013:0	Diyin God nílíinii, bee ánít'éii éí diyin. Háí diyin dabidi'níí shį́įshą' nihiDiyin Godgi át'éego ayóó át'é? 
19:77:014:0	Diyin God nílíinii, t'óó bik'eda'ayóigo baa nanináii nílį́. Dadine'é bitahgóó nidziilígíí yit'íní íínísin. 
19:77:015:0	Jéíkab áádóó Jóseph ba'áłchíní náás ahoolchíiłii éí nidine'é danilį́įgo nigaan bee bik'éniná'íínídlá. Síilah. 
19:77:016:0	Diyin God nílíinii, tó daniiłtsą́; tó daniiłtsą́ągo nídaasdzííd; tónteel ayóó íídéetą́'ígíí ałdó' dahidees'náá'. 
19:77:017:0	K'os tó yadayiinil; yá bits'ą́ą́dóó dahodiists'ą́ą́'; nik'a' ałdó' t'áá ałtsogóó adahalnood. 
19:77:018:0	K'os diłhił bii'di ne'ii'ni' biinéé' dadiists'ą́ą́'; nahasdzáán bikáá'góó atsiniltł'ish bee ni'deezdláád; nahasdzáán dahidees'náá'. 
19:77:019:0	Tónteel biyi'góó nik'eh honít'i'; tó ayóó át'éii bii'góó ne'atiin, nidi nikék'eh hashchíín doo bééhózin da. 
19:77:020:0	Dibé joo'ish nahalingo Mózes áádóó Éran bíla' bee nidine'é yíní'eezh.
