19:40:001:1	Éédoochidgo baa ha'niih
19:40:001:0	T'áadoo ák'íhoditéhí Bóhólníihii biba' ánísht'éé nít'éé'; shich'į' dah díníit'ą́ áádóó náoshkąąhgo shidiizts'ą́ą́'. 
19:40:002:0	Hashtł'ish dits'idí biyi'dóó a'áán báhádzidę́ę́' hááshííłtį́; tsé'éłkáa'gi dah shiisį' áádóó yishááłgóó hasht'eyiilaa. 
19:40:003:0	NihiDiyin God éí sin bee baa ha'niihii, sin ániidíii shizaiyíílá. Lą'í deidoołtséełgo dahodísin doo, áádóó Bóhólníihii yaa dadzólíi doo. 
19:40:004:0	Diné ádaa daha'niihii áádóó dabiyooch'íidii yich'į' yóó'ádahakáhígíí éí doo hoł nilíinii índa Bóhólníihii beijólíii éí hak'ihojidlí. 
19:40:005:0	Bóhólníihii shiDiyin God nílíinii, dooládó' ayóó ádaat'éii t'óó ahayóí ła' yinilaa da lá, áádóó bee nihaa nitsíníkeesígíí t'óó ahayóí lá, áko éí baa hashne'ii doo bee nił ahozh'noolnííh át'ée da, áádóó baa aho'niishne'go doo jóołta' ánéelą́ą' da doo. 
19:40:006:0	Naaztseedgo nááhániihii índa t'áadoo le'é náádahaniihii doo nił hóshǫ́ǫ da; shijaa' bee adiists'a'go áshiinilaa. Didlidgo náádahaniihii índa ádił ni'iidzííhjí náádahaniihii ałdó' doo yíníkeed da. 
19:40:007:0	Áko ádíshní, Jó'akon, níyá; naaltsoos biyi' shee bee ak'e'ashchį́įgo bee si'ą́. 
19:40:008:0	ShiDiyin God nílíinii, íinínízinii baa nideeshaałgo baa shił nihoozhǫǫh. Nibee haz'áanii shijéí bii' hólǫ́.  
19:40:009:0	Diné t'óó ahayóí áłah nilį́įgi t'áá ákogi ádaat'éii baa hweeshne'; jó, doo t'óó bił áhodííníszée' da nít'éé'; Bóhólníihii nílíinii, éí nił bééhózin. 
19:40:010:0	Nit'áá ákogi át'éii doo t'áá shijéí biyi'ídi bił ánísht'ée da nít'éé'; na'ahódlíhígíí áádóó yisdá'ayíníiłii baa hweeshne'; diné t'óó ahayóí áłah nilį́įgi éí aa a'ááh nínízinii índa nit'áá aaníinii t'áadoo ła' bits'ąą nídíł'į́į' da. 
19:40:011:0	Bóhólníihii nílíinii, aa a'ááh nínízinii t'áadoo shits'ą́ąjį' kwíínísiní; aa a'ááh nínízinii índa nit'áá aaníinii éí áłahjį' shaa áhályą́ą le'! 
19:40:012:0	Háálá daashíínéelą́ą́' doo yá'ádaashóonii shináshzhiizh. Doo ákwii áát'įįdii shide ádzaago biniinaa doo haoshxaał át'ée da sélį́į́'; éí shitsii' bilááh ánéelą́ą́'; éí bąą ch'ééh ásht'į́. 
19:40:013:0	Bóhólníihii nílíinii, íinínízinii bee yisdáshíłteeh! Bóhólníihii nílíinii, tsxį́įłgo shíká anilyeed! 
19:40:014:0	Hwe'iina' ádadiildįįł danízingo nahjį' kódashiléhígíí t'óó bił dahodííłkéełgo baa yáhásingo ádadííliił, índa atídashił'íinii t'ą́ą́' anáhodíí'niłgo doo da'jílį́į́góó ádahodííliił! 
19:40:015:0	Ts'íigo, ts'íigo lą́ą, dashiłníinii, t'óó baa yáhásinígi ádaat'íinii biniinaa háni'dii yóó'adoot'áanii dajileeh. 
19:40:016:0	Nidi níká ádaat'íinii t'áá ałtso t'áá íiyisí naa bił nidahoozhǫǫh le' áádóó t'áá íiyisí bił dahózhǫ́ǫ le'! Bee yisdá'iyíníiłii ayóó'ádayó'níinii, t'áá áłahjį', Bóhólníihii éí ayóó át'é, daaníi le'! 
19:40:017:0	Shí shahojoobá'í áádóó hojooba' hoséł'ą́ągo Bóhólníihii shaa nitsíkees. Shíká análwo'ii nílį́ áádóó hááshiiłteehii nílį́; shiDiyin God nílíinii, t'áadoo t'ah níníziní!
