19:59:001:1	Ana'í bits'ąą adoodzih bíká sohodizin
19:59:001:0	ShiDiyin God nílíinii, shi'ana'í danilíinii bits'ą́ąjį' yisdáshíłteeh. Shich'į' náádadiibahígíí bits'ąą shaa áhólyą́. 
19:59:002:0	Doo ákwii ádaaníiłii bits'ą́ąjį' yisdáshíłteeh áádóó diné nideiiłtseedgo dił bits'ádaazlį́įgo ádeile'ii bits'ą́ąjį' yisdáshíłteeh. 
19:59:003:0	Háálá shizéé' deidoot'įįł yiniyé shaa nidaa'na', jó'akon. Bóhólníihii nílíinii, diné ayóó ádaat'éego dabidziilii shiniyé ahínéikah. Bee haz'áanii héti'ígíí índa ádił ni'iiszíhígíí doo yiniinaa ádaat'į́į da. 
19:59:004:0	Ádąąh dahosist'ánígíí doo yiniinaa ahaninájahgo hasht'e'ánídadiil'įįh da.Nídiidááh, shiníníł'į́įgo shíká anilyeed! 
19:59:005:0	T'áá ałtsoní bee Bóhólníihii Diyin God nílíinii, Ízrel biDiyin God nílíinii, ał'ąą dine'é t'áá ałtso atídíílííł biniyé díldzííł. Doo yá'ádaashǫ́ǫ́góó nináda'dii'aahii t'áá ałtso t'áadoo ła' baa a'ááh níníziní. Síilah. 
19:59:006:0	T'áá e'e'ááh bik'eh nináhákahgo łééchąą'í wąąh daanínígi át'éego kin haal'áagi nidaakai. 
19:59:007:0	Háí lá nihididoots'į́į́ł lá danízingo saad badaa'ihii yee dadizééh. Diltłish deeníinii nahalingo saad bizéé' daahééł. 
19:59:008:0	Nidi Bóhólníihii nílíinii, éí t'óó haídloh doo. Ał'ąą dine'é t'áá ałtso t'óó baa oodlohgo íínísin doo. 
19:59:009:0	Nidziilígíí bąą niba' ánísht'ée doo, háálá shiDiyin God nilíinii bine' adziihii shá nilį́. 
19:59:010:0	ShiDiyin God shaa a'ááh nízinii shidááh doogááł. Shi'ana'í danilíinii bik'eh hodeesdlį́į'go éí dínéesh'įį łgo shiDiyin God shadi'doo'ááł. 
19:59:011:0	Bóhólníihii, nihinaage' nílíinii, shidine'é doo deidiyoonahígíí biniyé ana'í t'áadoo naniłtseedí! Nidi nidziilígíí bee tanoołkaadgo bik'eh dídleeh! 
19:59:012:0	Bąąhági át'éego saad yee yádaałti'go biniinaa yee ádaa dadzódlíhígíí háni'dii łoh nahalingo yiih hikááh. Háálá da'ódziih áádóó dabiyooch'íidgo yádaałti'. 
19:59:013:0	T'óó báhádzidgo bee atí'íílíiłii bee áníłdįįh áádóó nahasdzáán t'áá náhwiiz'ą́ą́ nít'éé' bikáá'góó dadine'é éí Jéíkab dine'é bitahgi Diyin God nant'áago bił béédahodoozįį ł biniyé áhółdįįh. Síilah. 
19:59:014:0	T'áá e'e'ááh bik'eh nináhákahgo łééchąą'í wąąh daanínígi át'éego kin haal'áagi nidaakai. 
19:59:015:0	Ch'iyáán yiniyé nidaakai áádóó doo hwiih daaleehgóó bii' nidahodi'ni' doo. 
19:59:016:0	Nidziil baa hashne'go hashtaał doo. T'áá aaníí, abínígo aa a'ááh nínízinii yéego baa hashne'go hashtaał doo. Háálá shich'į' nahwii'náago ninahjį' nehesdzííh nít'éé' áádóó bine' ahinishchéehii nílį́. 
19:59:017:0	Shidziilgo áshíínísinii, nich'į' hashtaał doo. Háálá shiDiyin God bine' ahinishchéehii shá nilį́, jó'akon. Diyin God shaa a'ááh nízinii nilį́.
