19:108:001:1	Da'ana'í bik'ijį' áká adoolwoł biniyé sohodizin
19:108:001:0	Diyin God nílíinii, shijéí hasht'eet'é! Hashtaałgo shii' sizíinii bee naa hashniihgo nich'į' hashtaał doo! 
19:108:002:0	Tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii áádóó tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii nohłíinii, ch'éénóhdzííd! T'óó hoos'įįdą́ą́' ch'éédeesdził. 
19:108:003:0	Bóhólníihii nílíinii, diné bitahgóó naa hashniih doo. Ał'ąą dine'é bitahgóó naa hashniihgo nich'į' hashtaał doo. 
19:108:004:0	Háálá aa a'ááh nínízinii yót'ááh hiníláii bilááh át'é áádóó nit'áá aaníinii k'os bíneel'ą́. 
19:108:005:0	Diyin God nílíinii, yót'ááh hiníláii biláahgo ayóó ánít'ée le'! Bee ayóó ánít'éii nahasdzáán t'áá náhwiiz'ą́ą́ nít'éé' biláahgo baa ha'niih le'! 
19:108:006:0	Shich'į' ééhonísįįh! Ayóó'ííní'níinii yisdádooltéłígíí biniyé nigaan nish'náájí bee shíká anilyeed. 
19:108:007:0	Diyin God diyinii nilį́įgo díí yee haadzíí': Baa shił hózhǫ́ǫgo Shííkem ahádeesoh, áádóó Sákath honíteel bídí'néesh'ąął. 
19:108:008:0	Gíliyad éí shí; Manáseh éí shí; Íífreiyim éí shibéésh ch'ah át'é, Júdah éí bee haz'áanii ííł'íní shá nilį́. 
19:108:009:0	Mó'ab éí shibii' tá'ádísgisí át'é. Íídam bikáa'jį' shikee' ahideeshxą́ą́ł. Filístiya dine'é éí bik'eh díshdlį́į'go hadideeshwosh. 
19:108:010:0	Bohoníłdzilgo kin haal'áajį' háishą' shił doo'ash? Íídam kéyahgóoshą' háí shił doo'ash? 
19:108:011:0	Diyin God nílíinii, doósh nahjį' ninihidííní'ą́ą da? Diyin God nílíinii, nihisiláo dah yinéełii t'áadoo bił yínínáa da. 
19:108:012:0	Nihi'ana'í bich'į' nihíká anilyeed, háálá diné t'éiyá áká iilwo'go t'áadoo nádleehí da! 
19:108:013:0	Diyin God biłgo doo nídaniilyées da doo, háálá bí nihi'ana'í nihá yik'i nidoogaał.
