19:76:001:1	Diyin God ak'eh deesdlį́į'ii áádóó ánihwii'aahii
19:76:001:0	Júdah kéyahgi Diyin God béého'dílzin; Ízrel kéyahgi bízhi' ayóó át'é. 
19:76:002:0	Séílemgi biníbaal bii' hodílzinii bii' si'ą́; Záíyangi éí kééhat'į́. 
19:76:003:0	Ákwii k'aa' áádóó naagé, diltłish índa bee na'abaahii yiyiizti'. Síilah. 
19:76:004:0	Ayóó át'éego nits'ádi'nílííd; dziłdi ana'í binaalye'é nidadeeztąądígíí biláahgo ayóó ánít'é. 
19:76:005:0	Bijéí hada'ólnínígíí bik'eh hodeesdlį́į́'; aniné yił ada'iishhaazh; diné nidaabaah yę́ę t'áá ałtso dabíla' t'áadoo chonáádayoos'įįd da. 
19:76:006:0	Jéíkab biDiyin God nílíinii, adíínítehgo tsinaabąąs bijáád naakiígíí nideiłbąąsii índa dabilį́į́' nidabi'diztseed. 
19:76:007:0	Nidi ni éí nits'ąą hasti' doo nít'éé'! Náháchįįhgo háishą' nidááhdóó yidoozįįł? 
19:76:008:0	Yá'ąąshdę́ę́' ánihwiit'aah dazdiizts'ą́ą'go íinilaa, áko nihokáá' dine'é nídaasdzíidgo hodiiyeel. 
19:76:009:0	Nahasdzáán bikáá'góó diné ádaa dahojoolbá'íii t'áá ałtso yisdéidoonił biniyé Diyin God deesdzilgo na'ak'íyáshti' yę́ędą́ą́' ákódzaa. Síilah. 
19:76:010:0	T'áá aaníí nihokáá' dine'é bádahachį'go hózhǫ́ naa ha'niih doo. Bádahachį' daadzíi'ii t'ą́ą́' kwíínísin doo. 
19:76:011:0	Bóhólníihii nihiDiyin God nilíinii bich'į' ádee hadahidoohdzí'ígíí bida'ohłééh. Binaagóó nidaakaii t'áá ałtso Diyin God dólzin dooleełígíí éí aa doolyéełii yaa dayiiníił le'. 
19:76:012:0	Naat'áanii danilíinii yee ádaa daha'niihii yąąh nahwiiłkaad. Nahasdzáán bikáá'góó aláahgo naat'áanii t'áá íiyisí bits'ąą daasti'.
