19:27:001:1	Bóhólníihii éí shá adinídíín áádóó bee yisdááyáii nilį́
19:27:001:0	Bóhólníihii éí shá adinídíín áádóó bee yisdááyáii nilį́; háishą' bik'ee ádíyanahasyiz doo? Bóhólníihii adziil yee shaa áhályą́ągo hinishná; háishą' binásdzid doo? 
19:27:002:0	Doo yá'ádaashóonii, shi'ana'í danilíinii índa shidadiilkaalii, éí naaldlooshii nidahalingo dashidoolghał biniyé shaatįįh yínáago dadeezgo'go naa'aníídee'. 
19:27:003:0	Azhą́ t'óó ahayóí shik'iidoojah biniyé shinaagóó niheeznáa nidi, shijéí doo bee nitsináshtłi' da doo; azhą́ shik'i dah adishjée' nidi, Bóhólníihii baa jííníshłíi doo. 
19:27:004:0	Ts'ídá t'ááłá'í t'éí Bóhólníihii bííkeed: éí íiyisí hásht'į́įgo Bóhólníihii yee ayóó ánóolninii haasíidgo bikin bii' sohodizin biyi' na'ídíshkid doo biniyé bii' kééhasht'į́įgo shíyoołkáał dooleeł. 
19:27:005:0	Háálá ach'į' nahwii'ná biyi' shíídíiską́ągo biníbaal biyi' góne' nínáshidił'į́įh doo; biníbaal biyi' doo hoot'į́įdi shinées'į́į' doo; tséghą́ą'jį' hashidoołtééł. 
19:27:006:0	K'ad lá índa shida'ana'í bik'eh dishdlį́įgo de áshidi'doolnííł, áádóó biníbaal bii' hodílzinii biyi' shił hózhǫ́ǫgo Bóhólníihii bich'į' náá'iishniih doo; t'áá aaníí, Bóhólníihii baa hashniihgo bich'į' hashtaał doo. 
19:27:007:0	Bóhólníihii nílíinii, t'áá íiyisí nánooshkąąhgo shíísíníłts'ą́ą́', shaa jiiníbaah, shich'į' ééhonísįįh! 
19:27:008:0	Háshidíní'į́į́', shidííníniidgo shijéí áníłní, Bóhólníihii nílíinii, hándésh'į́į́'. 
19:27:009:0	T'áadoo shits'ąą na'ádiníl'iní. Ninaal'a'í nishłíinii náháchį'go doo nahgóó shi'dííłnih da; jó, shíká anánílwo' nít'éé'. ShiDiyin God bee yisdááyáii nílíinii, doo t'óó shi'dííłnih da, doo yóó'ashididíí'áał da! 
19:27:010:0	Azhą́ shizhé'é áádóó shimá yóó'ashidíí'ą́ą nidi, Bóhólníihii náshididoołtééł. 
19:27:011:0	Bóhólníihii nílíinii, nik'ehgo áhoot'éii bínashiníłtin; shi'ana'í biniinaa k'íhoneezláágóó shiyííłááł. 
19:27:012:0	Shida'ana'í doo baa shididíí'áał da, háálá t'áá ádzaagóó aa nidahalne'ii shich'į' ádéé dahooldzíidgo shik'ijį' náhidiikááh. 
19:27:013:0	Dahináanii bitahdi Bóhólníihii bee ajooba' yideestsééł nisingo t'áadoo yisisdląądgóó shichoo'į' ásdįįd doo nít'éé'! 
19:27:014:0	Bóhólníihii biba' ánít'ée le'; chánah nílį́į le', áko nijéí bidziilgo íidoolííł; t'áá aaníí, Bóhólníihii biba' ánít'ée le'!
