19:30:001:1	Aniné bits'ąą yisdá'iildéehii baa ahééh hasin
19:30:001:0	Bóhólníihii nílíinii, yéego naa hashniih doo, háálá hááshííníłtį́, áádóó shi'ana'í danilíinii doo shaa bił dahózhǫ́ǫ́góó íinilaa. 
19:30:002:0	Bóhólníihii shiDiyin God nílíinii, nániisiskango nááshidinisá. 
19:30:003:0	Bóhólníihii nílíinii, ch'į́įdiitah bidáá'dóó shii' sizíinii háíníłtį́; a'áán góyaa deeshłeełígíí bits'ąą she'iina' shá baa áhólyą́ą́ nít'éé'. 
19:30:004:0	Diyin God bidiyį́į́' danohłíinii, Bóhólníihii baa dahohniihgo bich'į' dahohtaał, áádóó bízhi' diyinii béédaołniihgo baa ahééh danohsin. 
19:30:005:0	Háálá t'óó kónígháníjį' báháchįįh, nidi ni'jiłdįįh bijį́įjį' bee ach'oha'níinii yee hak'ijidliih. Tł'éé' bíighah níjícha, nidi biiskání hoł hózhǫ́ǫ łeh. 
19:30:006:0	Shí éí t'áá ałtsoní shoosánígo ádííniid, Ts'ídá doo nahjį' kóshidoolíłí da. 
19:30:007:0	Bóhólníihii nílíinii, shich'ijí nílínígíí bee dził niłdzilgo si'ánígíí nahalingo áshiinilaa; doo shiníníł'į́į́góó shich'į' nahwii'náá nít'éé'. 
19:30:008:0	Bóhólníihii nílíinii, haleebee nániisiskan; Bóhólníihii néisiskan. 
19:30:009:0	Dasétsą́ągo a'áán góyaa yishłeehgo shidił ha'át'íísh nídoodleeł? Shits'íís łeezh násdlį́į'goósh naa haniih doo? Nit'áá aaníiniísh ná yaa halne' doo? 
19:30:010:0	Bóhólníihii nílíinii, shidiits'į́įhgo shaa jiiníbaah! Bóhólníihii nílíinii, shíká anánílwo'! 
19:30:011:0	Atínídinishdleeh yę́ę bitsásk'ehgi shił hózhǫ́ǫgo ashzhishgo áshiinilaa; tł'oh yishbizh shi'é'ígíí shaa nídiniłtsoozgo bee ił hózhóonii bee áká shííníłzaaz, 
19:30:012:0	áko shii' sizíinii naa haniihgo nich'į' hataał doo, índa doo t'óó déesxéel da doo. Bóhólníihii shiDiyin God nílíinii, ahóyéel'áágóó nich'į' ahééh nisin dooleeł.
