19:2:001:1	Bóhólníihii yiyíísį́į'ii nant'áa doo
19:2:001:0	Ha'át'íí lá biniyé ał'ąą dine'é ádá nídahojilchįįh, índa dadine'é éí t'áadoo biniyéhígóó nidahoji'á? 
19:2:002:0	Nihokáá'góó aláahgo naat'áanii hasht'e'ádadiilyaa, áádóó Bóhólníihii Diyin God jílíinii índa Ak'ah Bik'i Yadziiziidgo Jíísį́į'ii t'áá bił naat'áanii danilíinii hach'į' nídahididookah biniyé ahidahidiikaigo kódaaní, 
19:2:003:0	Haa'íshą' binaa'nil dasiidlį́į'ii yee dah nihiistł'óonii dahidii'nishgo nahgóó adahidiiltł'ił. 
19:2:004:0	Yá gháhóką́ądi Bóhólníihii dah sidáii haa ch'ídidooldlohgo há nahodoołt'ih. 
19:2:005:0	Áádóó índa t'áá íiyisí doo bił hózhǫ́ǫ́góó hoł yéé' ádahodoolíiłgo hashké nídzingo kóníigo hach'į' hadoodzih, 
19:2:006:0	Záíyan shidził diyinii bighą́ą́'dóó aláahgo naat'áanii shá nant'áa dooleełii dah biníłdá. 
19:2:007:0	Bee nihodeet'áanii bee hadeesdzih: Bóhólníihii áshidííniid, Shiye' nílį́, díí jį́ nishchíinii sélį́į́'. 
19:2:008:0	Shííníkeed, áko níí' dooleełígíí biniyé ał'ąą dine'é, índa nahasdzáán nidanees'ą́ąjį' níí' dooleeł biniyé naa dideesh'ááł. 
19:2:009:0	Éí béésh hał bee k'ídahidííłhał; ásaa' ííł'íinii bileets'aa' nihízdeestsxis nahalingo nihídadidííłtxisgo ałtso didoozéí. 
19:2:010:0	Éí bąą aláahgo naat'áanii danohłíinii, dahonohsą́; nahasdzáán bikáá'góó ánihwii'aahii danohłíinii, nidanihidi'nitin le'. 
19:2:011:0	Bóhólníihii dadíínóhsingo bich'į' nidahohłá, áádóó nidanihiiłnáago nihił dahózhǫ́ǫ le'. 
19:2:012:0	Doo nihich'į' báhodoochįįłígíí biniyé índa deínókááhgóó doo ádadoohdįįł da biniyé biYe' nilíinii t'óó baa ádadiyoht'aah. Diné éí Diyin God yaa deidzólíhígíí t'áá ałtso bił dahózhǫ́.
