19:18:001:1	Yisdá'oodzáájí David biyiin
19:18:001:0	Bóhólníihii bee shidziilii nílíinii, ayóó'ánósh'ní. 
19:18:002:0	Bóhólníihii éí tsé shá nilį́, índa bine' adziihii shá nilį́, áádóó yisdáshiiłteehii nilį́; shiDiyin God éí bee shidziilii nilį́įgo bine' ahinishchééh; shinaage' índa adziil bee yisdáhásháahii nilį́įgo bikáá' nehesdzíihii nilį́. 
19:18:003:0	Bóhólníihii aa ha'niih yą́ą́h nilíinii náoshkąąh doo, áko shi'ana'í danilíinii yits'ą́ąjį' yisdáshiiłteeh dooleeł. 
19:18:004:0	Aniné bik'ee yínííł shináhaazláá nít'éé' áádóó doo Diyin God k'ehgo ádaat'éii t'áadoo bee néelą́'ígóó nááséełii shił yéé' dahasłį́į́'. 
19:18:005:0	Hool'áágóó ti'hoo'nííh bik'ee yínííł na'adáii shináhaazláá nít'éé'; aniné biloh shiyah náhodiłhis nít'éé'. 
19:18:006:0	Shił nahodít'é sélį́į'go Bóhólníihii néisiskan; ShiDiyin God, shíká anilyeed, bidííniid. Bikin bii' sohodizin bii' dę́ę́' shidiizts'ą́ą́', áko náoshkąąhígíí yidiizts'ą́ą́'. 
19:18:007:0	Ákohgo nahasdzáán hidees'náa'go ditłid silį́į́'; báhóóchįįdígíí bąą dził bee daniłdzilii ałdó' nidahaas'náa'go daditłid nít'éé'. 
19:18:008:0	Bíníí'dę́ę́' łid ha'ííjool, índa bizéé'dę́ę́' kǫ' ó'oołdįįłii hadíínóodgo bee tsííd dadiiltłah. 
19:18:009:0	Yót'ááh hiníláii ąą ádeile'go hadááyáago bikee' biyaagi chahałheeł dah yildoh. 
19:18:010:0	Áko diyingo naal'a'í chérab wolyéii yik'i dah sidáago éí bił yít'a'; t'áá aaníí níłch'i bąąh diits'a'go honílįįd. 
19:18:011:0	Níłtsą́ k'os diłhił éí bik'i hííkaadgo chahałheeł bił dashoogishgo í'diilyaa. 
19:18:012:0	Bits'ádi'nílídígíí bilą́ąjį' k'os biyi'dę́ę́' níló tsé nahalingo áádóó tsííd dadiltłi'ii nááłdááz. 
19:18:013:0	Bóhólníihii ii'ni' nahalingo yádiłhił biyi'dę́ę́' biinéé' diists'ą́ą́', áádóó Aláahgo Ayóó'át'éii haadzíí', áko níló éí tsé nahalingo áádóó tsííd dadiltłi'ii aheesdááz. 
19:18:014:0	Bik'aa' yee adziiłt'óohgo ana'í tainooskaad; nída'iilgęshgo áyiilaago yik'ee t'óó bił dahóóląąd. 
19:18:015:0	Bóhólníihii nílíinii, adínítehgo níníí'dę́ę́' niyolígíí bee tó dahidinééh yę́ęgóó yit'į́ daazlį́į́', áko nahasdzáán bee niłdzilii ííshjání daazlį́į́'. 
19:18:016:0	Aghánáhóó'áádę́ę́' shíká adoolnii'go tó daditáanii biyi'dę́ę́' hááshííłtį́. 
19:18:017:0	Shi'ana'í bidziilii yits'ą́ąjį' yisdáshííłtį́, índa dashijoołá nít'ée'ii yits'ą́ąjį' yisdáshííłtį́, háálá éí shiláahgo ádabóodziil nít'éé'. 
19:18:018:0	Shich'į' nahwii'náago yoołkááł yę́ędą́ą́' shaatįįh yíná, nidi Bóhólníihii bee nisdzil nít'éé'. 
19:18:019:0	Hóteelgo haz'ą́ąjį' shił íí'áazhgo yisdáshííłtį́, háálá shaa bił hózhǫ́. 
19:18:020:0	T'áá ákogi ánísht'éii bik'ehgo Bóhólníihii shich'į' na'nílá; a'át'e' shąąh ádinígíí bik'ehgo Bóhólníihii shich'į' na'nílá. 
19:18:021:0	Háálá Bóhólníihii bik'eh honish'į́įgo yishááł nít'éé', índa doo yá'ádaashóonii doo baa naasháágóó t'áadoo shiDiyin God bits'áníyáa da. 
