19:69:001:1	T'áá ałtsoní bąąh háni'go bik'ee chazhnízin
19:69:001:0	Diyin God nílíinii, yisdáshíłteeh, háálá shii' sizíinii tó bilááh néés'ąąd. 
19:69:002:0	Hashtł'ish dits'idí doo bii' dzoozįįh át'éegi nahodits'ǫ' bii' yaadítłizh. Tó ditáanii biih yíyá áádóó tó shik'i diilkǫ'. 
19:69:003:0	Yishchago bąąh nídínísdzá. Shidáyi' náhooltsei. ShiDiyin God biba' ánísht'éego biniinaa shináá' doo hózhǫ́ bee hoot'į́į da silį́į́'. 
19:69:004:0	T'áadoo baanígóó shik'ee dadiniihii shitsii' bilááh ánéelą́ą́'. T'áadoo biniinaanígóó dahodiyiilyééł dashó'níinii shi'ana'í daazlį́į'go ayóó ádabóodziil. T'áadoo bits'ą́ą́' nídiiláhí da nidi baa nídeeshdlééł. 
19:69:005:0	Diyin God nílíinii, t'óó ádee naash'néhígíí nił bééhózin. Ádił ni'iisíhígíí doo nits'ąą nízhdół'į́į́ł át'ée da. 
19:69:006:0	T'áá ałtsoní bee Bóhólníihii Diyin God nílíinii, nee bił chodahoo'íinii shiniinaa t'ááká t'óó baa yáhásinígi ádabi'dólne' lágo. Ízrel biDiyin God nílíinii, níká ádaat'íinii shiniinaa t'ááká bąąh nidahókaad lágo. 
19:69:007:0	Háálá niniinaa shi'déédzíí' índa t'óó ádaa yániisdzį́į́'. 
19:69:008:0	Shik'isóó danilíinii bich'į' dé'éyóní sélį́į́'; shimá ba'áłchíní bich'į' ayóní sélį́į́'. 
19:69:009:0	Háálá nikin t'áá íiyisí baa hą́ą́h nisingo bíneeshdlínígíí t'áá áshidoołdįįłgo shide át'é, áádóó danéédzíi'ii yee danéédzíí' yę́ę shik'ijį' silį́į́'. 
19:69:010:0	Yíchago t'áadoo ashání shii' sizíinii bich'į' nahoyéłná'ígíí bąą t'óó bee shá nahazt'i'. 
19:69:011:0	Tł'oh yishbizh shi'éé' áshłaago shi'ana'í yá nidahałt'i'ii sélį́į́'. 
19:69:012:0	Dáń'dítį́įhgi nidaháaztánígíí shaa yádaałti' áádóó adláanii shída'dił'a'. 
19:69:013:0	Nidi, Bóhólníihii nílíinii, shí éí nich'į' sodiszin. Diyin God nílíinii, hwíídéests'įįł nínízinjį' ahoolzhiizhgo aa a'ááh nínízinii t'óó ahayóígíí áádóó nibee yisdá'iildéehii t'áá aaníiniígíí binahjį' shich'į' ééhodíísįįł. 
19:69:014:0	Hashtł'ish dits'idí biyi'dę́ę́' hááshí łteeh. Áko doo nahodits'ǫ' adeeshtłish da. Shik'ee dadiniihii áádóó tó ditáanii bits'ą́ąjį' yisdáshíłteeh. 
19:69:015:0	T'áadoo tó shik'i nídiilkǫǫhí áádóó tó ayóó íídéetą́ą́' góyaa ooshgeeh lágo índa a'áán góyaa shik'i hoołdaas lágo. 
19:69:016:0	Bóhólníihii nílíinii, shich'į' ééhonísįįh, háálá aa a'ááh nínízinii éí yá'át'ééh; aa a'ááh nínízinii t'óó ahayóígíí bik'ehgo shich'į' náhínááh. 
19:69:017:0	Ninaal'a'í nishłíinii t'áadoo shits'ą́ąjį' ánít'éhí, háálá shich'į' nahwii'ná. Tsxį́įłgo shich'į' ééhonísįįh. 
19:69:018:0	Shaa nínáahgo shik'é niná'nídléego shii' sizíinii yisdáníłteeh! Shi'ana'í danilíinii biniinaa doo shihodiit'i'góó áshílééh! 
19:69:019:0	Shá nahat'i' áádóó t'óó baa yáhásinígi áshi'di'ní índa diné doo bił nishłį́į daígíí nił bééhózin. Shi'ana'í danilíinii t'áá ałtso bééhonísin. 
19:69:020:0	Shá nahazt'i'ígíí bik'ee atídiníshdlį́į́', áko t'áá íiyisí yínííł naashá. Shik'édí hodoodleeł niizį́į́', nidi t'áadoo shik'édí silį́'í da. Bee ha'ahóníinii biniyé tádííyá, nidi t'áadoo ła' bik'íníyáa da. 
19:69:021:0	Atł'izh nahalingo dích'íi'ii yił shada'astsood áádóó dibáá' nishłínígi ch'il na'atł'o'ii bitoo' dók'ǫ́zhígíí shaa deizką́.  
19:69:022:0	Háni'dii bidáahgi bi'áda'azįįd łoh yileeh. Bił yá'ádahoot'éehgi ákwe'é háni'dii łoh yileeh. 
19:69:023:0	Bíni'dii doo da'oo'į́į da dooleeł biniyé bił daatł'ée'go ánílééh, áádóó áłahjį' bitah dahoditłidgo ánílééh. 
19:69:024:0	T'áá íiyisí bich'į' hashké niidzįįh áádóó nił halchíi'go náháchį'ígíí yik'ee nisinákah le'. 
19:69:025:0	Bíni'dii dabighangi doo naagháhí da doo, índa dabiníbaal doo ła' yii' kééhat'íní da doo. 
19:69:026:0	Háálá náníníłtsxasígíí atídeiił'į́; tídadinilaii bąąh yínínígi át'éego bik'e'ashch'íi'go yik'ijį' yádaałti'. 
19:69:027:0	Bíni'dii doo ákwii át'éii bá bídahiniidééh, áádóó t'áá ákogi ánít'éhígíí doo yiih dadookah da. 
19:69:028:0	Bíni'dii iináájí naaltsoos biyi'dóó bízhi' t'óó k'ééda'íłchxǫǫh. T'áá ákogi ádaat'éii bitahjí ts'ídá t'áadoo bízhi' daasdzohí. 
19:69:029:0	Nidi shí éí shahojoobá'í áádóó yínííł nishłį́. Diyin God nílíinii, bíni'dii nibee yisdá'iildéehii bee chánah nishłį́įgo áshílééh! 
19:69:030:0	Diyin God bízhi' baa hashniihgo bee hashtaał doo. Hach'į' ahééh nisingo ayóó át'éego haa hashniih doo. 
19:69:031:0	Béégashii, doodaii' dóola bikee' áádóó bidee' hólóonii nááhániihii biláahgo Bóhólníihii díí yaa bił hózhǫ́ǫ doo. 
19:69:032:0	A'ohgo ádaa nitsídaakeesii díí dayiiłtsą́ągo bił dahózhǫ́ǫ doo. Nihí Diyin God há daoht'íinii, nihijéí hááda'iiłdįįh le'. 
19:69:033:0	Háálá Bóhólníihii éí hojooba' ádeinízinii yidiits'a' áádóó bidine'é awáalyaaí nidahaleehii doo yi'į́į da. 
19:69:034:0	Háni'dii yádiłhił áádóó nahasdzáán baa ha'niih le'. Háni'dii tónteel índa bii' naaldeehii nináneel'ą́ąjį' t'áá ałtso Bóhólníihii yaa dahaniih le'. 
19:69:035:0	Háálá Diyin God éí Záíyangi kin haal'áhígíí yisdéidoonił, áádóó Júdahgi kin hadaas'áago ánéidoodlííł. Áko bá nidaal'a'í ákwii kéédahat'į́į doo áádóó daabí dooleeł. 
19:69:036:0	Bá nidaal'a'í náás ahoolchííłgóó daabí dooleeł. Áádóó Diyin God bízhi' ayóó'ádayó'níinii ákwii kéédahat'į́į dooleeł.
