19:75:001:1	Diyin God éí doo yá'ádaashóonii yaa áyósin áádóó t'áá ákogi ádaat'éii de áyósin
19:75:001:0	Diyin God nílíinii, ahééh daniidzin, nich'į' ahééh daniidzin; nízhi' áhą́dígóó hólǫ́. Diné éí t'óó bik'eda'ayóii baa nisíníyáhígíí yaa dahalne'. 
19:75:002:0	Nihoní'ánígi bik'íhoolzhiizhgo aheełt'éego haa nídadéesht'įįł. 
19:75:003:0	Nahasdzáán áádóó bikáa'gi kéédahat'ínígíí nidíníizhoozh; shíyee' bíyah da'nii'áago íínísin. Síilah. 
19:75:004:0	Diné ádaa daha'niihii ábidishní, T'áadoo akódanoht'éhí. Áádóó diné doo yá'ádaashóonii éí ábidishní, Nihidee' bił t'áadoo dah nídadínóoht'áhí. 
19:75:005:0	Ayóó lá áshóodziil ni, t'áadoo danohsiní índa t'áadoo ádaa dahohniihgo nihinídahaz'áago yádaałti'í. 
19:75:006:0	Háálá ha'a'aahdę́ę́' índa e'e'aahdę́ę́' áádóó shádi'ááhdę́ę́' ayóó át'é á'doolíiłii ádin. 
19:75:007:0	Nidi Diyin God éí ánihwii'aahii nilį́. Ła' yaa yidiyiiłt'e', ła' éí de yidiyiiłt'e'. 
19:75:008:0	Háálá Bóhólníihii éí wáin łichíi'go ałtaa násdziidgo bee adlání yee dah yookááł; éí yeidooził áádóó nahasdzáán bikáa'gi diné doo yá'ádaashóonii t'áá ałtso t'áá bitł'ááshjáníjį' deidoodlį́į́ł. 
19:75:009:0	Nidi shí éí hool'áágóó Jéíkab biDiyin God baa hashne' áádóó baa hashniihgo bich'į' hashtaał doo. 
19:75:010:0	Diné doo yá'ádaashóonii dabidziilii nahjį' kódeeshłííł, nidi diné t'áá ákogi ádaat'éii ayóó át'éego bidziil dadooleeł.
