19:17:001:1	Ade áhósinii bich'ą́ą́h sohodizin
19:17:001:0	Bóhólníihii nílíinii, t'áá ákogi át'éii yíníłts'ą́ą́'; bíká ádíshníinii baa ákonínízin; shí doo saad bee shina'adlo'góó nich'į' sodiszinígíí shá diits'į́į́h. 
19:17:002:0	Háni'dii honílǫ́ǫ́dóó t'áá ni shaa nánít'į́į le'; háni'dii ádahat'ínígíí aheełt'éego níníł'į́į le'. 
19:17:003:0	Tł'ée'go shaa hwííníle'go shijéí át'éegi háínísidgo nabínínítą́ą́'; doo yá'ádaat'éehii doo ła' shii' hólǫ́ǫ́góó nił bééhózin; doo t'áá k'ad bee haz'áanii heshtíihgo hahideesdzih da niizį́į́'. 
19:17:004:0	Nizaad bee hahídziihii baa ákonisingo bąą diné yaa deíkááhjí, éí ádéédahooldzíidgo atída'ał'íinii doo bił naashkai da nít'éé'. 
19:17:005:0	Nikék'eh hashchį́į́góó nihidishtaałgo yishááł nít'éé'; t'áadoo ałtádiighaz da. 
19:17:006:0	Diyin God nílíinii, nániisiskan, háálá shich'į' ééhodíísįįł; shich'į' dah díníit'aahgo ádíshnínígíí diits'į́į́h. 
19:17:007:0	Yisdá'iiníiłii nílíinii, diné naa dadzólíii bik'ijį' danilíinii bits'ą́ąjį' nigaan nish'náájí bee yisdáhíníiłii, bik'ee t'óó ił ahayóigo aa a'ááh nínízinii yit'íní ánílééh. 
19:17:008:0	Anáá' baa áháyánígi át'éego shaa áhólyą́; nit'a' biyaagi náshidíł'įįh; 
19:17:009:0	diné shide ádahósinii áádóó agháago shi'ana'í danilį́įgo shinás'áhígíí bits'ąą náshidíł'įįh. 
19:17:010:0	T'áá bí dabijéí doo bił adahojoobá'ígóó ádaa dadzódlíigo yádaałti'. 
19:17:011:0	Deíníikááhgóó nihináshzhiizh; naa'adanihidiyoołtł' ił biniyé danihinéł'į́; 
19:17:012:0	náshdóítsoh bitsiijį' daditł'ooígíí t'áá k'adę́ę oolghalígíí nidahalin, áádóó náshdóí yáázh bitsiijį' daditł'ooígíí t'áá nant'inee aa naa'na'ígíí nidahalin. 
19:17:013:0	Bóhólníihii nílíinii, díldzííł! Shi'ana'í bidááh nínáahgo bik'eh dídleeh! Diné doo yá'ádaashóonii bits'ą́ąjį' nidiltłish bee shii' sizíinii yisdáníłteeh, 
19:17:014:0	Bóhólníihii nílíinii, diné bits'ą́ąjį' yisdáshíłteeh, éí diné nihokáá' bił nidahazt'i'ii t'éiyá yiniyé dahiná. T'ah dahináago bíí' dooleełii bá hasht'e'nihínínil; t'áá éí bee bibid bii' hadadeezbin le', ba'áłchíní t'óó ahayóí, áádóó daneeznáago dabinaalye'é yę́ę ba'áłchíní nídeididoolééł. 
19:17:015:0	Shí éí t'áá ákogi ánísht'éego ninísh'į́į doo; ch'éénísdzidgo ánít'éegi nísh'į́įgo shił yá'át'éeh doo.
