19:16:001:1	Bíí' silį́į'ii yá'át'éehii
19:16:001:0	Diyin God nílíinii, shaa áhólyą́, háálá t'áá ni naa jííníshłí. 
19:16:002:0	Bóhólníihii ábidishní, ShiBóhólníihii nílį́, yá'ádaat'éehii t'áá ałtso nits'ą́ą́dę́ę́' t'éiyá shaa hindééh. 
19:16:003:0	Nidi nahasdzáán bikáa'gi Diyin God bidiyį́į́' danilíinii éí t'áá íiyisí ił danilíinii ádaat'éego baa shił nihoozhǫǫh. 
19:16:004:0	Diyin dabidi'níinii yada'ólíii t'óó tsé'édin yínííł bide ádaanííł; dił yanáadzi'go náádayiiłniihii doo bee atah deeshłeeł da. Índa dabízhi' doo ła' bee hadeesdzih da. 
19:16:005:0	Bóhólníihii éí shíí' dooleełii índa shibee adlání shá ats'éiní'áanii nilį́; shíí' nilíinii shá baa áhólyą́. 
19:16:006:0	Yá'ádahoot'éehgo nidahaz'ą́ą́góó shá nídahasdzoh; aoo', bidziilgo dah aashłééł. 
19:16:007:0	Bóhólníihii shá na'ak'íyáłti'ii baa hashniih doo; tł'ée'go ałdó' shijéí nashinitin łeh. 
19:16:008:0	Bóhólníihii t'áá áłahjį' shilą́ąjį' hólǫ́ǫgo íínísin, háálá shinish'náájí hólǫ́ǫgo doo shił na'ii'náa da doo. 
19:16:009:0	Éí bąą shijéí bił hózhǫ́, áádóó shii' sizíinii bił nihoozhǫǫh, índa shits'íís ałdó' hasih haz'ą́ągi hanályį́į́h. 
19:16:010:0	Háálá shii' sizíinii doo t'áá hool'áágóó ti'hoo'níihdi hólǫ́ǫgo ádíílíił da; niDiyin Nilíinii ałdó' didoołdziłjį' doo ninádidíí'áał da.  
19:16:011:0	Iiná bá honít'i'ígíí shił bééhózingo áshiinilaa; honílǫ́ǫgi t'áá íiyisí bee ił hózhóonii hólǫ́; ninish'náájí baa honeeninii hólǫ́ǫgo ahóyéel'á. 
