19:144:001:1	Yisdá'iildééh áádóó t'áá ałtsoní oosą́ągo bíká sohodizin
19:144:001:0	Bóhólníihii bee shidziilii baa ha'niih doo; éí anaa' biniyé shíla' choosh'į́įgo nashinitin; anaa' dashił'íinii bich'į' shíla' bidziilgo áyósin. 
19:144:002:0	Shaa a'ááh nízinii áádóó bine' nehesdzíihii shá nilį́; kin niłdzilgo yaa'áii bine' nehesdzíihii áádóó yisdáshiiłteehii shá nilį́; shinaage' índa biniiłt'aajį' anáníshchéehii shá nilį́; bí shidine'é shiyaa sinilgo ádeile'. 
19:144:003:0	Bóhólníihii nílíinii, dinéshą' ha'át'íí át'éego nił nilį́įgo baa nitsíníkees; nihokáá' dine'éshą' ha'át'íí át'éego atisgo baa nitsíníkees? 
19:144:004:0	Diné éí t'áadoo jílíní da; hóyoołkáałii chaha'oh eeldooígíí nahalin. 
19:144:005:0	Bóhólníihii nílíinii, yót'ááh hiníláii ąą áníléehgo nił hadaoldóóh! Daadził bidinílníihgo daałid doo! 
19:144:006:0	Atsiniltł'ish ahíłtáadgo bee tanoołkaad; yíníłkáahgo bił ałtaa hó'aah! 
19:144:007:0	Aghánáhóó'áádę́ę́' shaa níts'ǫǫdgo nááshidiiłteeh; tó ayóó íídéetą́ą'ii biyi'dóó hááshíłteeh; shi'ana'í bílák'eedę́ę́' yisdáshíłteeh. 
19:144:008:0	Dabiyooch'íidgo yádaałti', áádóó binda'adlo'go nish'náájí yee yáádadidiilnih. 
19:144:009:0	Diyin God nílíinii, sin ániidíii bee nich'į' hashtaał doo; tsin tł'óół bąąh daneelzhee'go, tsin tł'óół neeznáá bąąh daneelzhee'go bee ná naashnéego naa hashniih doo. 
19:144:010:0	Ni éí aláahgo naat'áanii danilíinii yisdáhíjááh; diltłish báhádzidii bits'ą́ąjį' ná naal'a'í David yisdáhíłteeh. 
19:144:011:0	Hááshíłteeh; shi'ana'í danilíinii bílák'eedę́ę́' yisdáshíłteeh; éí dabiyooch'íidgo yádaałti', áádóó binda'adlo'go nish'náájí yee yáádadidiilnih. 
19:144:012:0	Áko ch'il nooséłígíí nahalingo nihiye'ké t'ah ániid nidaakaii bidziilgo danéeséeł le'; nihitsi'ké danilíinii éí naat'áanii bikin naanídaaz'áágóó tsé hasht'e'nibída'astséelgo áyah danii'áhígíí nidahalin doo. 
19:144:013:0	Kin bii' nooh nída'achíhígíí t'áá ałtso t'áá ałtsoní bii' hadadeezbin le'. Nihikéyah bikáá'góó nihidibé miildóó neeznáadi miildóó yówehjį' bits'ą́ą́dóó nídahoodleeł doo. 
19:144:014:0	Nihibéégashii daaltsą́ągo áádóó t'áá ałtso nida'iiłchíihgo doo ła' bitsą́ hada'ii'eeł da doo. Áko tł'óó'góó kintah nida'aztiingóó chahasin ádin doo! 
19:144:015:0	Diné kót' éego bik'idahojidlíhígíí éí bił dahózhǫ́! T'áá aaníí, diné éí Bóhólníihii biDiyin God ádayósinii bił dahózhǫ́!
