19:50:001:1	Diyin God éí ánihwii'aahii nilį́
19:50:001:0	Diyin God Ayóó'át'éii, Bóhólníihii nilíinii, nihokáá' dine'é hágo yiłníigo ha'ii'aah áádóó i'ii'aah. 
19:50:002:0	Záíyan ayóó ánóolninii hadaałt'éii biyi'dóó, Diyin God adiníłdíín. 
19:50:003:0	NihiDiyin God doogáałgo doo déesxéel da doo. Bilą́ąjį' kǫ' ó'oołdįįł doo. Binaagóó ayóó át'éego níyol doo. 
19:50:004:0	Bidine'é yá nihodiyoo'ááł biniyé yót'ááh hiníláii áádóó nahasdzáán yich'į' ání, 
19:50:005:0	Náá'iiniih bee shidiyį́į́' bił aha'dadi'nisht'ánígíí éí shaa áłah ółééh! 
19:50:006:0	Yót'ááh hiníláii éí Bóhólníihii t'áá ákogi ááníłígíí yaa dahalne', háálá Diyin God t'áá bí ánihwii'aahii nilį́! Síilah. 
19:50:007:0	Shidine'é danohłíinii, dashíísółts'ą́ą'go nihich'į' hadeesdzih. Shoo, Ízrel nihidi'níinii, nihik'ijį' hadeesdzih. Diyin God nishłį́įgo nihí nihiDiyin God nishłį́. 
19:50:008:0	Nááda'ayołniihígíí biniinaa doo nihidideeshteh da. Didlidgo náádahołniihígíí t'áá áłahjį' shidáahgi hólǫ́. 
19:50:009:0	Nihighandóó dóola índa nihidibé bighandóó tł'ízíchǫǫh doo ła' dínéesįįł da. 
19:50:010:0	Háálá tsintahgóó naaldlooshii t'áá ałtso shí, índa t'ááłáhídi mííl deílk'idgo bighą́ą́'góó béégashii deíl'áhígíí ałdó' t'áá ałtso shí. 
19:50:011:0	Dziłdi tsídii naaldeehii t'áá ałtso bééhasin. Áádóó halgaidi naaldlooshii da'a łchinii t'áá ałtso shí. 
19:50:012:0	Dichin sélį́į'go doo bee nihił hodeeshnih da, háálá nahasdzáán éí shí áádóó bikáa'gi dahólóonii t'áá ałtso shí. 
19:50:013:0	Da' dóola bitsį'ísh yishghał, índa tł'ízí bidiłísh yishdlą́? 
19:50:014:0	Diyin God bich'į' ahééh hasin náádahołniih áádóó t' áá aaníí ádadohníigo Aláahgo Ayóó'át'éii bich'į' bee ádee hadadoohdzíi'ii bida'dohłííł. 
19:50:015:0	Nihide áhoot'įįhgo nídashiinohkąąh, áko yisdánihideeshnił áádóó ayóó át'éego shaa dahohniih doo. 
19:50:016:0	Nidi Diyin God éí diné doo yá'áshóonii ííłní, Bee nihoyí'áanii baa hólne'go índa shibee aha'deet'áanii baa yáníłti'go doo bee ná haz'ą́ą da. 
19:50:017:0	Háálá na'nitin jiiníłá, áádóó shizaad nidinínáágóó ahíłkaad. 
19:50:018:0	Ani'įįhii ła' yiiłtséehgo bił ałch'oní'níi łeh índa diné da'diléii bił nanildeeh łeh. 
19:50:019:0	Saad doo adaaníinii t'éiyá bee yáníłti'go ánósin. Áádóó nitsoo' na'adlo' ííł'į́. 
19:50:020:0	T'áá ni nik'is nibíyáníłti'go sínídáa łeh; t'áá ni nimá biyáázh t'áá ádzaagóó aa yáníłti' łeh. 
19:50:021:0	Díí baa nisíníyá. Shí éí t'óó dííníshhéél nít'éé'. T'áá shígi ájít'é nínízingo shaa nitsíníkees nít'éé'. Nidi k'ad éí nidideeshteh, baa nisíníyáhígíí ałkéé' sinilgo bee nił hashne' doo. 
19:50:022:0	Nihí Diyin God baa dayoohnéehii, k'ad díí baa ntsídaohkees; doo ádaoht'į́į́góogo t'óó nanihidiyeeshdlałgo doo ła'da yisdánihidiyoonił da. 
19:50:023:0	T'áá háiida ahééh nízingo shich'į' náá'iiłniihii éí shaa haniih, áádóó t'áá háiida t'áá ákogi át'éego yinaha'áii Diyin God bee yisdá'iildéehii bich'į' ííshjání ádeeshłííł.
