19:41:001:1	Hadaałt'é ní'doodleeł bíká sohodizin
19:41:001:0	Diné badahojoobá'íii yaa nitsíkeesii éí bik'ihojidlí! Hach'į' nahwii'náago biyi'dę́ę́' Bóhólníihii hááhwiiłteeh. 
19:41:002:0	Bóhólníihii haa áhályą́ągo jiináago áhósin. Éí nihokáa'gi hak'ihojidlíi dooleeł. Bóhólníihii nílíinii, hwe'ana'í laanaa danízinígíí baa hodóó'ááł lágo. 
19:41:003:0	Bitah honeezgaigo t'óó sitį́įgo bidziilgo Bóhólníihii ánábidoodlííł. Daatsaahgo bitsásk'eh yikáá' sitį́įgo hadaałt'é áńdíídlííł. 
19:41:004:0	Shí ádíshní, Bóhólníihii nílíinii, shaa jiiníbaah! Shii' sizíinii hadaałt'é ánánídlééh, háálá nich'į' ádił asésiih. 
19:41:005:0	Shida'ana'í doo yá'áshǫ́ǫ́góó shaa yádaałti'go ádaaní, Hahgo lá dadootsaałgo bízhi' doo bééhodoozįįł da lá? 
19:41:006:0	Ła' shaa yigháahgo t'áadoo biniyéhígóó shich'į' yáłti' łeh; bijéí biyi'di doo ákwii át'éii bii' héełgo ch'ínádáahgo t'áá níłtéél nít'éé' yaa táhodilníih łeh. 
19:41:007:0	Shik'ee dadiniihii t'áá ałtso ałjeeh nídanilniihgo shik'ijį' danilį́įgo shaa nídaat'į́. Atídideeshníiłgo shindahagiz. 
19:41:008:0	Naałniih na'ałtseedii ła' bidoolna'go sitį́; dziztį́į́dóó doo náázhdidoodáał da, daaní. 
19:41:009:0	T'áá aaníí, áhánígo shik'is nilíinii baa jííníshłíigo shits'ą́ą́' ná'ádį́į́h nít'éé' yę́ę łeezh shik'ijį' yiztał. 
19:41:010:0	Nidi, Bóhólníihii nílíinii, shaa jiiníbaah; k'éédahodideeshdlííł biniyé nááshidiiłááh. 
19:41:011:0	Shi'ana'í doo shik'eh didlínígíí bee shaa nił hózhónígíí shił bééhózin. 
19:41:012:0	Áko shí éí doo shina'adlo'ígíí biniinaa shidziilgo sézį́įgo áshíínísin. Áádóó nidááhdóó honishłǫ́ǫgo ahool'áa doo. 
19:41:013:0	Hool'áágóó ahóyéel'áágóó Ízrel biDiyin God, Bóhólníihii baa ha'niih le'! T'áá ákót'ée doo, t'áá ákót'ée le'.
