19:104:001:1	Bóhólníihii áyiilaii yaa áhályą́
19:104:001:0	Shii' sizíinii nílíinii, Bóhólníihii baa hóniih! Bóhólníihii shiDiyin God nílíinii, t'áá íiyisí ayóó ánít'é; ił ílį́ áádóó ayóó é'ét'éii bee hadíínít'é! 
19:104:002:0	Éé' ák'ídzísti' nahalingo ák'idi'nildíingo ádíí'nílzin; níbaal nahalingo yá ahééhiníkaadgo íinilaa; 
19:104:003:0	nikin wódahdi ts'ídá aláahdi haz'ánígíí bitsé siláii táłkáá'dóó dah sínílá; k'os deílzhoodii éí nitsinaabąąs bijáád naakiígíí ádanile'; níyol bit'a' bikáá' naniná. 
19:104:004:0	Nidiyingo nidaal'a'í níłch'i danilį́įgo índa ná nidaal'a'í kǫ' dah nídadino'ígíí danilį́įgo ánáádlííł. 
19:104:005:0	Nahasdzáán nee niłdzil, áko hool'áágóó doo hididoo'náał da. 
19:104:006:0	Éé' ts'ídá ditáanii ák'ídzísti' nahalingo tónteel bik'i dilkǫǫhgo íinilaa. Dził naaznilii biláahgo tó da'néés'ąąd. 
19:104:007:0	Díínítehgo tó yaa'aná'nool'ąąd; ne'ii'ni' diists'ą́ą'go tsxį́įłgo anída'neeshhaazh. 
19:104:008:0	Dził naaznilgóó báátis adadziisxaalgo dził bąąh nidaasdzisdę́ę́' hadahidiina' áádóó bá háínídzí'ídi deiye'. 
19:104:009:0	Tó doo nahasdzáán bił náádidoolkǫǫł da biniyé bich'ą́ą́h adínízoh, áko doo bilááhgóó anáázdoołhał da. 
19:104:010:0	Deíldzisgóó tó hadaazlį́į́dóó danílį́įgo áyósin, áko dah daask'idígíí bita'góó danílį́. 
19:104:011:0	Naaldlooshii nináneel'ą́ąjį' ákwii da'adlą́. Télii da'ałchinii áajį' tó yee hwiih nídaadleeh. 
19:104:012:0	Tábąąhgóó tsin deíl'áago ákwii tsídii ádaaní áádóó bit'oh ádahale'. 
19:104:013:0	Níléí wódahdi hólónídę́ę́' dził naaznilígíí nínéíłtłoh; binaanish bits'ą́ą́dóó hólóonii yee nahasdzáán hwiih nilį́. 
19:104:014:0	Béégashii bá ch'il hááhinoot'į́į́ł áádóó diné éí k'éédeididléehii yąąhdóó da'ayą́ą doo biniyé k'éédeididléehii bá hááhinoot'į́įłgo áyósin. 
19:104:015:0	Áádóó diné éí wáin bee bijéí bił hózhǫ́ǫgo áyósin áádóó ak'ah bee binii' bik'izdiidíingo índa ch'iyáán bee bidziilgo áyósin. 
19:104:016:0	Bóhólníihii bitsin naazkaadii éí Lébanan kéyahgi gadtsoh naazkaadii k'ideideezláhígíí bił dahoditłéé'. 
19:104:017:0	Ákwii tsídii bit'oh ádahale'. Tsídii jáásnézí éí ch'ó bílátahdi dabit'oh. 
19:104:018:0	Dził aghánídahaz'áágóó tsétah tł'ízí bá nahaz'ą́. Dlǫ́'ii nahalinígíí éí tsé yine' anídanichééh. 
19:104:019:0	Ahééhwiidááh biniyé ooljéé' áyiilaa. Jį́honaa'éí anádáahgo baa náhwiilzhíshígíí t'áá bí bił bééhózin. 
19:104:020:0	Chanáháłhiłgo ánéinil'įįh, áko tł'éé' łeh. Ákohgo tsintahdę́ę́' naaldlooshii dahashkéii ch'éédaakah. 
19:104:021:0	Náshdóí yáázh bitsiijį' daditł'ooígíí yéego ádaaní áádóó Diyin God sha'doołtsoł danízingo deidoolghałii hadaalzheeh. 
19:104:022:0	Ha'a'áahgo a'ánídaakahgo ákóyaa danjah. 
19:104:023:0	Abínídóó e'e'áahjį' diné nidoolnish yiniyé nídahidii'néehgo dah hidilníísh. 
19:104:024:0	Bóhólníihii nílíinii, dooládó' binishínílnishii lą'í ał'ąą ádaat'ée da! Baa honíyą́ągo t'áá ałtso ádeinilaa. Nahasdzáán bii' nit'íinii hadeezbin. 
19:104:025:0	Níléidi tónteel ayóó áníłtéelgo siyį́. Biyi' dahináanii ádaałts'ísígíí índa ayóó ádaat'éii doo jóołta' ánéelą́ą́'góó yii' naaldeeh. 
19:104:026:0	Bikáá'góó tsinaa'eełtsoh nídadi'oł. Ákǫ́ǫ́ táyi'góó łóó'tsoh Liiváíyathan wolyéii nída'diłkǫ́ǫhgo nidaanéego íinilaa. 
19:104:027:0	Baa náhwiilzhíishgo díí t'áá ałtso shazh'doołtsoł danízingo nich'į' dadéez'į́į́'. 
19:104:028:0	Baná'íłtso'ígíí nínádayiidlah. Níla' ąą ánéinil'įįhgo yá'át'éehii ba'iyíłtsódígíí yee hwiih danilį́. 
