19:86:001:1	Diyin God náásgóó aa a'ááh nízin dooleełgi biniyé sohodizin
19:86:001:0	Bóhólníihii nílíinii, shich'į' yaa ánínéehgo shich'į' ééhoonísįįh, háálá shaa hojoobá'í áádóó hojooba' hoséł'ą́. 
19:86:002:0	Shii' sizíinii baa áhólyą́, háálá Diyin God bik'ehgóó ánísht'é; shiDiyin God nílíinii, ná naal'a'í naa dzólíii nishłį́įgo yisdáshíłteeh. 
19:86:003:0	Bóhólníihii, shaa jiiníbaah, háálá shá bíighah nánooshkąąh. 
19:86:004:0	Ná naal'a'í nishłíinii, shii' sizíinii bił hózhǫ́ǫgo ánílééh, háálá, Bóhólníihii nílíinii, shii' sizíinii na'ólíigo nich'į' déez'į́į́'. 
19:86:005:0	Háálá ni, Bóhólníihii nílíinii, yá'át'éehii nílį́ áádóó ádi ł oodzíí' á yóó'ahidí'aah áádóó nídanookąąhii t'áá ałtso bich'į' nił hadlee'go baa a'ááh nínízin. 
19:86:006:0	Bóhólníihii nílíinii, shisodizin shá diits'į́į́h; chánahgo nánooshkąąhígíí baa ákonínízin. 
19:86:007:0	Shich'į' hodiis'náá' bijį́įdi nániideeshkąął, háálá shich'į' énáhodíísįįł. 
19:86:008:0	Bóhólníihii nílíinii, diyin dabidi'níinii doo ła' nigi át'ée da, índa naanish danilíinii doo ła' ninaanishígi ádaat'ée da. 
19:86:009:0	Bóhólníihii nílíinii, ał'ąą dine'é ádeinilaii t'áá ałtso nidááhdę́ę́' nidahakáahgo nich'į' nidahałáa doo, áádóó nízhi' bee ni'dójíigo naa dahaniih doo. 
19:86:010:0	Háálá ni ayóó ánít'é, áádóó t'óó bik'eda'ayóii baa naniná; t'áá ni t'éí Diyin God nílį́. 
19:86:011:0	Bóhólníihii nílíinii, nik'ehgo áhoot'éii bínashiníłtin; nit'áá aaníinii bee hinishnáa doo; nízhi' dinisin doo biniyé shijéí bii'dóó t'ááłá'í bee nitséskeesgo áshílééh. 
19:86:012:0	Bóhólníihii shiDiyin God nílíinii, nich'į' ahééh nisin doo, áádóó shijéí t'áá át'é bee nízhi' baa hashniihgo ahool'áa doo. 
19:86:013:0	Háálá ayóó át'éego shaa a'ááh nínízin, áádóó ch'į́įdiitah nihoneel'ą́ą́dę́ę́' shii' sizíinii háíníłtį́. 
19:86:014:0	Diyin God nílíinii, diné ádaa daha'niihii shich'į' nídahidiikai. Áádóó diné doo daats'íidii, doo bilą́ąjį' honílǫ́ǫ́góó ádanósinii dashidiyoołhééł biniyé hadashineeztą́ą́'. 
19:86:015:0	Nidi ni, Bóhólníihii nílíinii, Diyin God t'áá íiyisí aa a'ááh nízinii áádóó jooba'ii índa nízaadgóó ha'ólníinii nílį́; aa a'ááh hasinii áádóó t'áá aaníinii nił dlee'. 
19:86:016:0	Shich'į' náníyisgo shaa jiiníbaah; shí ná naal'a'í nishłį́įgo nee shidziilgo áshílééh, áádóó asdzání ná naal'a'í biyáázh nishłį́įgo yisdáshíł teeh. 
19:86:017:0	Shich'ijí nílį́įgo bee bééhózinii ła' shich'į' bééhonísįįh, áko diné shik'ee dadiniihii éí dayiiłtsą́ągo t'óó ádaa yádadínóodzįįł, háálá shíká íínílwod áádóó ha'ííníshníigo áshiinilaa, Bóhólníihii nílíinii.
