19:74:001:1	Diyin God bidine'é bi'ana'í bik'ijį' sohodizin
19:74:001:0	Diyin God nílíinii, ha'át'íísh biniinaa hool'áágóó yóó'anihiníníłkaad? Ha'át'íísh biniinaa náhóóchįįdígíí łid nahalingo nidibé hootsogóó naakaígíí bik'ijį' nítsxaaz? 
19:74:002:0	Nidine'é áłah nádleehii ałk'idą́ą́' nahíníłnii'ígíí níí' dooleeł biniyé háíní'nilii béénílniih! Díí Dził Záíyangi kééhót'į́į́ nít'éé' yę́ęgi béénílniih. 
19:74:003:0	Kints'iil hazlį́'ígóó ch'ídíínááł, áadi kin bii' sohodizin góne' ana'í t'áá ałtsoní nidayiishchxǫ'! 
19:74:004:0	Naa áłah ná'ádleeh yę́ę góne' ni'ana'í danilíinii nidahodeesdláád; t'áá bí yik'ehgo naaldeehii yadeidíníishin. 
19:74:005:0	Tsin yíl'áagi diné da'íítséél nahalin silį́į́'. 
19:74:006:0	Áádóó tsin nidaask'ęę'ígíí t'áá ałtso tsénił áádóó bee atsidítsoh yee adah ayídadziisne'. 
19:74:007:0	Nikin bii' sohodizin yidahodeeznilgo adeideesk'ą́ą́'; nízhi' bee wójíigo si'ą́ą́ nít'éé' yę́ę ahiih nídayiiskaadgo doo hodiyingóó ádahoolaa. 
19:74:008:0	T'áá biyi'ídi ádaaní, Haa'íyee' Bóhólníihii bidine'é ałtso ádadiildįįł. Kéyah bikáá'góó Diyin God bikin bii' áłah nída'adleehgo naaznilii t'áá át'é adeideesk'ą́ą́'. 
19:74:009:0	Bik'ehgo neiildeeh yę́ę doo deiit'į́į da; Diyin God yá dahalne'ii doo ła' naagháa da, áádóó haa nízahjį' kót'ée dooleełígíí éí nihitahdóó doo ła' bił bééhóziní da. 
19:74:010:0	Diyin God nílíinii, haa nízáágóoshą' nihi'ana'í nihá nidahałt'i' doo? Da' ana'íísh hool'áágóó nízhi' doo ílį́į́góó yaa yádaałti' doo? 
19:74:011:0	Ha'át'íísh biniyé níla' nish'náájí t'ą́ą́' kwíínísin? Nich'éíyahdę́ę́' hadílníihgo ana'í áníłdįįh. 
19:74:012:0	Áko Diyin God t'áá náshiinídą́ą'dii aláahgo shinanit'a'í nilį́; éí nahasdzáán bikáa'gi yisdá'iinííł. 
19:74:013:0	Nidziil bee tónteel aháíníłk'ol. Tónteel biyi'góó ayóó ádaníldíilgo nidaaldeehii bitsiits'iin dashíníłjizh. 
19:74:014:0	Łóó'tsoh Liiváíyathan wolyéii dabitsiits'iin dashíníłjizhgo honoojíidi naaldeehii dabich'iyą' biniyé baa dííní'ą́. 
19:74:015:0	Tó hadaazlį́į doo biniyé áádóó tó danílį́į doo biniyé ąą bídazdííníłhaal, áádóó tooh ayóó ánéelą́ą́' danílį́į́ nít'éé' yę́ę nídéíníłtsei. 
19:74:016:0	Jínígíí áádóó tł'é'ígíí ałdó' ni. Adinídínígíí áádóó jį́honaa'éí íinilaago dah sínínil. 
19:74:017:0	Nahasdzáán t'áá át'é nidanees'ą́ągo íinilaa. Nináháshį́įhgo índa nináháháahgo íinilaa. 
19:74:018:0	Bóhólníihii nílíinii, ana'í nándahałt'i' yę́ę índa diné doo ádahalyáanii nízhi' doo ílį́į́góó ádeił'į́į́ nít'éé' yę́ę béénílniih. 
19:74:019:0	Hasbídí nahalingo diné ayóó'ííní'níinii bii' sizíinii t'ááká naaldlooshii dahashkéii baa dóó'ááł lágo. Nidine'é badahojoobá'íígíí hool'áágóó doo beidiyíínah da. 
19:74:020:0	Bee aha'deet'áanii béénílniih, háálá nahasdzáán bikáa'gi chadahałheełgóó ádílááh hadadeezbin. 
19:74:021:0	Diné t'óó bik'i na'aldeehii ádaa yádandzingo t'ą́ą́' hahakáah dooígíí doo bee hwiidííł'aał da. Badahojoobá'íii áádóó hojooba' nahas'áanii éí bíni'dii nízhi' yaa dahaniih. 
19:74:022:0	Diyin God nílíinii, díldzííł, ádá yánílti'! Diné doo áhályáanii shá bíighah ná nahałt'i'ii béénílniih! 
19:74:023:0	Ni'ana'í danilíinii hahóół'áago hahosiyiilts'įįhígíí áádóó nik'ijį' nídahidiikáahii t'áá áłahjį' t'óó honaałgo nidahodiłdlaadígíí doo beidiyíínah da!
